"Step","phase1-reasoning - train/layers/l20_mse","phase1-reasoning - train/layers/l20_mse__MIN","phase1-reasoning - train/layers/l20_mse__MAX"
"92","6.703168034553528","6.703168034553528","6.703168034553528"
"93","6.625683665275574","6.625683665275574","6.625683665275574"
"94","7.147225201129913","7.147225201129913","7.147225201129913"
"96","6.407175660133362","6.407175660133362","6.407175660133362"
"97","6.378019034862518","6.378019034862518","6.378019034862518"
"98","5.65402889251709","5.65402889251709","5.65402889251709"
"99","6.41024112701416","6.41024112701416","6.41024112701416"
"100","6.40829199552536","6.40829199552536","6.40829199552536"
"101","6.519426643848419","6.519426643848419","6.519426643848419"
"102","6.8987298011779785","6.8987298011779785","6.8987298011779785"
"103","6.690570056438446","6.690570056438446","6.690570056438446"
"104","6.778462111949921","6.778462111949921","6.778462111949921"
"105","7.092017292976379","7.092017292976379","7.092017292976379"
"106","6.546879947185516","6.546879947185516","6.546879947185516"
"107","6.548546314239502","6.548546314239502","6.548546314239502"
"108","6.332774758338928","6.332774758338928","6.332774758338928"
"109","6.431737124919891","6.431737124919891","6.431737124919891"
"110","6.7433799505233765","6.7433799505233765","6.7433799505233765"
"111","7.172731637954712","7.172731637954712","7.172731637954712"
"112","6.472419381141663","6.472419381141663","6.472419381141663"
"113","6.096445858478546","6.096445858478546","6.096445858478546"
"114","6.833223402500153","6.833223402500153","6.833223402500153"
"115","6.546651721000671","6.546651721000671","6.546651721000671"
"116","6.804666519165039","6.804666519165039","6.804666519165039"
"117","6.230919778347015","6.230919778347015","6.230919778347015"
"118","6.536344110965729","6.536344110965729","6.536344110965729"
"119","6.817732572555542","6.817732572555542","6.817732572555542"
"120","6.823652744293213","6.823652744293213","6.823652744293213"
"122","6.4968202114105225","6.4968202114105225","6.4968202114105225"
"123","6.620087027549744","6.620087027549744","6.620087027549744"
"124","7.222674190998077","7.222674190998077","7.222674190998077"
"125","6.5908015966415405","6.5908015966415405","6.5908015966415405"
"126","6.025879919528961","6.025879919528961","6.025879919528961"
"127","6.195746421813965","6.195746421813965","6.195746421813965"
"128","6.73859828710556","6.73859828710556","6.73859828710556"
"129","6.315694510936737","6.315694510936737","6.315694510936737"
"130","6.0781431794166565","6.0781431794166565","6.0781431794166565"
"131","6.738822817802429","6.738822817802429","6.738822817802429"
"132","6.769251704216003","6.769251704216003","6.769251704216003"
"133","6.575829446315765","6.575829446315765","6.575829446315765"
"134","6.942836880683899","6.942836880683899","6.942836880683899"
"135","6.906629264354706","6.906629264354706","6.906629264354706"
"136","6.71650892496109","6.71650892496109","6.71650892496109"
"137","6.593144953250885","6.593144953250885","6.593144953250885"
"138","6.78993958234787","6.78993958234787","6.78993958234787"
"139","6.638696551322937","6.638696551322937","6.638696551322937"
"140","7.9852182269096375","7.9852182269096375","7.9852182269096375"
"141","6.8728771805763245","6.8728771805763245","6.8728771805763245"
"142","6.600840151309967","6.600840151309967","6.600840151309967"
"143","6.523752599954605","6.523752599954605","6.523752599954605"
"144","6.999924123287201","6.999924123287201","6.999924123287201"
"145","6.690671682357788","6.690671682357788","6.690671682357788"
"146","6.37291818857193","6.37291818857193","6.37291818857193"
"148","6.842110753059387","6.842110753059387","6.842110753059387"
"149","6.776254296302795","6.776254296302795","6.776254296302795"
"150","6.559082329273224","6.559082329273224","6.559082329273224"
"151","6.6152151226997375","6.6152151226997375","6.6152151226997375"
"152","6.478321194648743","6.478321194648743","6.478321194648743"
"153","6.837897002696991","6.837897002696991","6.837897002696991"
"154","6.3002946972846985","6.3002946972846985","6.3002946972846985"
"155","6.587682723999023","6.587682723999023","6.587682723999023"
"156","6.78330135345459","6.78330135345459","6.78330135345459"
"157","6.721400320529938","6.721400320529938","6.721400320529938"
"158","5.999183654785156","5.999183654785156","5.999183654785156"
"159","6.700163125991821","6.700163125991821","6.700163125991821"
"160","6.457091808319092","6.457091808319092","6.457091808319092"
"161","6.7629202008247375","6.7629202008247375","6.7629202008247375"
"162","8.10475492477417","8.10475492477417","8.10475492477417"
"163","6.5026450753211975","6.5026450753211975","6.5026450753211975"
"164","6.586143970489502","6.586143970489502","6.586143970489502"
"165","6.652310788631439","6.652310788631439","6.652310788631439"
"166","6.787404656410217","6.787404656410217","6.787404656410217"
"167","6.026915729045868","6.026915729045868","6.026915729045868"
