"Step","phase1-reasoning - val/layers/l30_mse","phase1-reasoning - val/layers/l30_mse__MIN","phase1-reasoning - val/layers/l30_mse__MAX"
"17","19.923670377731323","19.923670377731323","19.923670377731323"
"43","22.11263243675232","22.11263243675232","22.11263243675232"
"69","19.816057538986207","19.816057538986207","19.816057538986207"
"95","19.72298975944519","19.72298975944519","19.72298975944519"
"121","19.72506241798401","19.72506241798401","19.72506241798401"
"147","19.57966736793518","19.57966736793518","19.57966736793518"
"173","19.612786693573","19.612786693573","19.612786693573"
"199","19.627418270111082","19.627418270111082","19.627418270111082"
