"Step","phase1-reasoning - train/mse","phase1-reasoning - train/mse__MIN","phase1-reasoning - train/mse__MAX"
"0","20.482187032699585","20.482187032699585","20.482187032699585"
"1","19.701937437057495","19.701937437057495","19.701937437057495"
"2","21.588409662246704","21.588409662246704","21.588409662246704"
"3","20.83128261566162","20.83128261566162","20.83128261566162"
"4","20.034989833831787","20.034989833831787","20.034989833831787"
"5","20.675782203674316","20.675782203674316","20.675782203674316"
"6","21.04328751564026","21.04328751564026","21.04328751564026"
"7","20.50207030773163","20.50207030773163","20.50207030773163"
"8","20.352246642112732","20.352246642112732","20.352246642112732"
"9","20.367087364196777","20.367087364196777","20.367087364196777"
"10","21.54566192626953","21.54566192626953","21.54566192626953"
"11","18.50118899345398","18.50118899345398","18.50118899345398"
"12","20.82532572746277","20.82532572746277","20.82532572746277"
"13","20.85964584350586","20.85964584350586","20.85964584350586"
"14","20.9319965839386","20.9319965839386","20.9319965839386"
"15","21.057816743850708","21.057816743850708","21.057816743850708"
"16","19.66240119934082","19.66240119934082","19.66240119934082"
"18","20.297127962112427","20.297127962112427","20.297127962112427"
"19","20.36897897720337","20.36897897720337","20.36897897720337"
"20","21.091016054153442","21.091016054153442","21.091016054153442"
"21","21.151596784591675","21.151596784591675","21.151596784591675"
"22","19.11441159248352","19.11441159248352","19.11441159248352"
"23","21.263911485671997","21.263911485671997","21.263911485671997"
"24","20.026917934417725","20.026917934417725","20.026917934417725"
"25","21.286375522613525","21.286375522613525","21.286375522613525"
"26","20.726606607437134","20.726606607437134","20.726606607437134"
"27","21.267638683319092","21.267638683319092","21.267638683319092"
"28","19.382094860076904","19.382094860076904","19.382094860076904"
"29","20.840482473373413","20.840482473373413","20.840482473373413"
"30","21.04745078086853","21.04745078086853","21.04745078086853"
"31","19.70107674598694","19.70107674598694","19.70107674598694"
"32","21.476032495498657","21.476032495498657","21.476032495498657"
"33","20.03643572330475","20.03643572330475","20.03643572330475"
"34","22.17637872695923","22.17637872695923","22.17637872695923"
"35","19.024216413497925","19.024216413497925","19.024216413497925"
"36","20.720738172531128","20.720738172531128","20.720738172531128"
"37","20.603350281715393","20.603350281715393","20.603350281715393"
"38","19.47217571735382","19.47217571735382","19.47217571735382"
"39","19.705586194992065","19.705586194992065","19.705586194992065"
"40","20.34271252155304","20.34271252155304","20.34271252155304"
"41","21.108173847198486","21.108173847198486","21.108173847198486"
"42","21.03725838661194","21.03725838661194","21.03725838661194"
"44","20.902351021766663","20.902351021766663","20.902351021766663"
"45","20.567898988723755","20.567898988723755","20.567898988723755"
"46","20.36439800262451","20.36439800262451","20.36439800262451"
"47","20.13458561897278","20.13458561897278","20.13458561897278"
"48","20.313048839569092","20.313048839569092","20.313048839569092"
"49","20.905980825424194","20.905980825424194","20.905980825424194"
"50","20.521775484085083","20.521775484085083","20.521775484085083"
"51","18.563188195228577","18.563188195228577","18.563188195228577"
"52","21.213071823120117","21.213071823120117","21.213071823120117"
"53","20.93516778945923","20.93516778945923","20.93516778945923"
"54","20.4564471244812","20.4564471244812","20.4564471244812"
"55","21.223313808441162","21.223313808441162","21.223313808441162"
"56","20.76905870437622","20.76905870437622","20.76905870437622"
"57","19.63263976573944","19.63263976573944","19.63263976573944"
"58","20.665430068969727","20.665430068969727","20.665430068969727"
"59","22.952954530715942","22.952954530715942","22.952954530715942"
"60","24.237138271331787","24.237138271331787","24.237138271331787"
"61","21.40928053855896","21.40928053855896","21.40928053855896"
"62","22.360193729400635","22.360193729400635","22.360193729400635"
"63","19.897025227546692","19.897025227546692","19.897025227546692"
"64","21.479604959487915","21.479604959487915","21.479604959487915"
"65","20.20050287246704","20.20050287246704","20.20050287246704"
"66","20.425787925720215","20.425787925720215","20.425787925720215"
"67","20.224469661712646","20.224469661712646","20.224469661712646"
"68","19.5150887966156","19.5150887966156","19.5150887966156"
"70","20.667136907577515","20.667136907577515","20.667136907577515"
"71","19.88578748703003","19.88578748703003","19.88578748703003"
"72","21.725759863853455","21.725759863853455","21.725759863853455"
"73","20.518179893493652","20.518179893493652","20.518179893493652"
"74","20.580140590667725","20.580140590667725","20.580140590667725"
"75","20.039653062820435","20.039653062820435","20.039653062820435"
"76","22.025916576385498","22.025916576385498","22.025916576385498"
"77","19.81494450569153","19.81494450569153","19.81494450569153"
"78","20.68215799331665","20.68215799331665","20.68215799331665"
"79","20.2971408367157","20.2971408367157","20.2971408367157"
"80","20.56956696510315","20.56956696510315","20.56956696510315"
"81","20.350815176963806","20.350815176963806","20.350815176963806"
"82","21.97088861465454","21.97088861465454","21.97088861465454"
"83","20.609126091003418","20.609126091003418","20.609126091003418"
"84","21.11763644218445","21.11763644218445","21.11763644218445"
"85","20.50109052658081","20.50109052658081","20.50109052658081"
"86","20.180997848510742","20.180997848510742","20.180997848510742"
"87","21.21269130706787","21.21269130706787","21.21269130706787"
"88","21.267652988433838","21.267652988433838","21.267652988433838"
"89","20.52485990524292","20.52485990524292","20.52485990524292"
"90","19.85122513771057","19.85122513771057","19.85122513771057"
"91","27.556881427764893","27.556881427764893","27.556881427764893"
"92","21.55484628677368","21.55484628677368","21.55484628677368"
"93","20.2834734916687","20.2834734916687","20.2834734916687"
"94","21.067724466323853","21.067724466323853","21.067724466323853"
"96","20.317925453186035","20.317925453186035","20.317925453186035"
"97","21.210057020187378","21.210057020187378","21.210057020187378"
"98","20.269917011260986","20.269917011260986","20.269917011260986"
"99","20.54958200454712","20.54958200454712","20.54958200454712"
"100","20.037466526031494","20.037466526031494","20.037466526031494"
"101","20.49880814552307","20.49880814552307","20.49880814552307"
"102","21.26639413833618","21.26639413833618","21.26639413833618"
"103","20.386558055877686","20.386558055877686","20.386558055877686"
"104","20.714350700378418","20.714350700378418","20.714350700378418"
"105","20.806086778640747","20.806086778640747","20.806086778640747"
"106","19.58883285522461","19.58883285522461","19.58883285522461"
"107","21.498878002166748","21.498878002166748","21.498878002166748"
"108","19.75007724761963","19.75007724761963","19.75007724761963"
"109","20.781319856643677","20.781319856643677","20.781319856643677"
"110","23.18944215774536","23.18944215774536","23.18944215774536"
"111","21.609490633010864","21.609490633010864","21.609490633010864"
"112","19.850899934768677","19.850899934768677","19.850899934768677"
"113","20.235713243484497","20.235713243484497","20.235713243484497"
"114","20.863221406936646","20.863221406936646","20.863221406936646"
"115","20.13199806213379","20.13199806213379","20.13199806213379"
"116","20.689922332763672","20.689922332763672","20.689922332763672"
"117","20.060735940933228","20.060735940933228","20.060735940933228"
"118","21.33209455013275","21.33209455013275","21.33209455013275"
"119","20.519304275512695","20.519304275512695","20.519304275512695"
"120","20.895631074905396","20.895631074905396","20.895631074905396"
"122","21.771095991134644","21.771095991134644","21.771095991134644"
"123","19.15787136554718","19.15787136554718","19.15787136554718"
"124","21.34937071800232","21.34937071800232","21.34937071800232"
"125","21.42790126800537","21.42790126800537","21.42790126800537"
"126","19.245758652687073","19.245758652687073","19.245758652687073"
"127","18.805641174316406","18.805641174316406","18.805641174316406"
"128","20.358919620513916","20.358919620513916","20.358919620513916"
"129","21.582101106643677","21.582101106643677","21.582101106643677"
"130","20.675525426864624","20.675525426864624","20.675525426864624"
"131","21.133652448654175","21.133652448654175","21.133652448654175"
"132","20.01338505744934","20.01338505744934","20.01338505744934"
"133","20.712735891342163","20.712735891342163","20.712735891342163"
"134","21.43076229095459","21.43076229095459","21.43076229095459"
"135","21.085843086242676","21.085843086242676","21.085843086242676"
"136","19.730714797973633","19.730714797973633","19.730714797973633"
"137","20.38209080696106","20.38209080696106","20.38209080696106"
"138","21.323665380477905","21.323665380477905","21.323665380477905"
"139","19.77030301094055","19.77030301094055","19.77030301094055"
"140","21.45102858543396","21.45102858543396","21.45102858543396"
"141","21.64337468147278","21.64337468147278","21.64337468147278"
"142","21.922931432724","21.922931432724","21.922931432724"
"143","21.034031867980957","21.034031867980957","21.034031867980957"
"144","21.97877836227417","21.97877836227417","21.97877836227417"
"145","19.32591223716736","19.32591223716736","19.32591223716736"
