"Step","phase1-reasoning - val/layers/l20_mse","phase1-reasoning - val/layers/l20_mse__MIN","phase1-reasoning - val/layers/l20_mse__MAX"
"17","6.719102785587311","6.719102785587311","6.719102785587311"
"43","9.004395949840546","9.004395949840546","9.004395949840546"
"69","6.6200071549415584","6.6200071549415584","6.6200071549415584"
"95","6.621860499382019","6.621860499382019","6.621860499382019"
"121","6.636507005691528","6.636507005691528","6.636507005691528"
"147","6.6059237313270565","6.6059237313270565","6.6059237313270565"
"173","6.609876921176911","6.609876921176911","6.609876921176911"
"199","6.662529740333557","6.662529740333557","6.662529740333557"
