"Step","phase1-reasoning - val/mse","phase1-reasoning - val/mse__MIN","phase1-reasoning - val/mse__MAX"
"17","21.285507745742798","21.285507745742798","21.285507745742798"
"43","23.917440719604492","23.917440719604492","23.917440719604492"
"69","21.137789697647094","21.137789697647094","21.137789697647094"
"95","21.009690465927125","21.009690465927125","21.009690465927125"
"121","21.091257858276368","21.091257858276368","21.091257858276368"
"147","20.882967433929444","20.882967433929444","20.882967433929444"
"173","20.91920739173889","20.91920739173889","20.91920739173889"
"199","21.048620719909668","21.048620719909668","21.048620719909668"
