"Step","phase1-reasoning - val/kl","phase1-reasoning - val/kl__MIN","phase1-reasoning - val/kl__MAX"
"17","406.7219204711914","406.7219204711914","406.7219204711914"
"43","388.3428335571289","388.3428335571289","388.3428335571289"
"69","372.3908334350586","372.3908334350586","372.3908334350586"
"95","358.6925973510742","358.6925973510742","358.6925973510742"
"121","344.30985931396486","344.30985931396486","344.30985931396486"
"147","333.5671038818359","333.5671038818359","333.5671038818359"
"173","322.1244958496094","322.1244958496094","322.1244958496094"
"199","311.5625823974609","311.5625823974609","311.5625823974609"
