"Step","phase1-reasoning - train/kl","phase1-reasoning - train/kl__MIN","phase1-reasoning - train/kl__MAX"
"0","413.3851509094238","413.3851509094238","413.3851509094238"
"1","412.8176574707031","412.8176574707031","412.8176574707031"
"2","412.776424407959","412.776424407959","412.776424407959"
"3","414.49173736572266","414.49173736572266","414.49173736572266"
"4","413.10099029541016","413.10099029541016","413.10099029541016"
"5","413.0287094116211","413.0287094116211","413.0287094116211"
"6","413.8762893676758","413.8762893676758","413.8762893676758"
"7","413.7380676269531","413.7380676269531","413.7380676269531"
"8","412.1575508117676","412.1575508117676","412.1575508117676"
"9","411.517032623291","411.517032623291","411.517032623291"
"10","410.7003288269043","410.7003288269043","410.7003288269043"
"11","410.35461807250977","410.35461807250977","410.35461807250977"
"12","410.93324279785156","410.93324279785156","410.93324279785156"
"13","408.69625091552734","408.69625091552734","408.69625091552734"
"14","409.5497627258301","409.5497627258301","409.5497627258301"
"15","407.7836608886719","407.7836608886719","407.7836608886719"
"16","407.4730796813965","407.4730796813965","407.4730796813965"
"18","407.4554672241211","407.4554672241211","407.4554672241211"
"19","405.0434379577637","405.0434379577637","405.0434379577637"
"20","406.0013618469238","406.0013618469238","406.0013618469238"
"21","405.02435302734375","405.02435302734375","405.02435302734375"
"22","403.5580253601074","403.5580253601074","403.5580253601074"
"23","403.4150581359863","403.4150581359863","403.4150581359863"
"24","403.8307189941406","403.8307189941406","403.8307189941406"
"25","405.759033203125","405.759033203125","405.759033203125"
"26","403.00463104248047","403.00463104248047","403.00463104248047"
"27","401.1589546203613","401.1589546203613","401.1589546203613"
"28","400.8287887573242","400.8287887573242","400.8287887573242"
"29","401.20969009399414","401.20969009399414","401.20969009399414"
"30","400.406925201416","400.406925201416","400.406925201416"
"31","399.4712371826172","399.4712371826172","399.4712371826172"
"32","396.62431716918945","396.62431716918945","396.62431716918945"
"33","397.17366790771484","397.17366790771484","397.17366790771484"
"34","395.1988754272461","395.1988754272461","395.1988754272461"
"35","394.9309272766113","394.9309272766113","394.9309272766113"
"36","393.7542953491211","393.7542953491211","393.7542953491211"
"37","395.56570053100586","395.56570053100586","395.56570053100586"
"38","393.46656036376953","393.46656036376953","393.46656036376953"
"39","393.502140045166","393.502140045166","393.502140045166"
"40","392.06047439575195","392.06047439575195","392.06047439575195"
"41","390.79791259765625","390.79791259765625","390.79791259765625"
"42","389.78186798095703","389.78186798095703","389.78186798095703"
"44","388.7661781311035","388.7661781311035","388.7661781311035"
"45","386.7423553466797","386.7423553466797","386.7423553466797"
"46","387.65869522094727","387.65869522094727","387.65869522094727"
"47","388.0957717895508","388.0957717895508","388.0957717895508"
"48","386.06617736816406","386.06617736816406","386.06617736816406"
"49","384.1241111755371","384.1241111755371","384.1241111755371"
"50","382.71303939819336","382.71303939819336","382.71303939819336"
"51","384.66616439819336","384.66616439819336","384.66616439819336"
"52","381.42265701293945","381.42265701293945","381.42265701293945"
"53","381.4757080078125","381.4757080078125","381.4757080078125"
"54","380.3746147155762","380.3746147155762","380.3746147155762"
"55","379.2377128601074","379.2377128601074","379.2377128601074"
"56","379.92248153686523","379.92248153686523","379.92248153686523"
"57","380.6142272949219","380.6142272949219","380.6142272949219"
"58","379.474609375","379.474609375","379.474609375"
"59","377.9466857910156","377.9466857910156","377.9466857910156"
"60","376.8415946960449","376.8415946960449","376.8415946960449"
"61","375.55873107910156","375.55873107910156","375.55873107910156"
"62","376.9151725769043","376.9151725769043","376.9151725769043"
"63","376.70151138305664","376.70151138305664","376.70151138305664"
"64","374.5744514465332","374.5744514465332","374.5744514465332"
"65","375.79045486450195","375.79045486450195","375.79045486450195"
"66","373.55073165893555","373.55073165893555","373.55073165893555"
"67","374.79852294921875","374.79852294921875","374.79852294921875"
"68","375.1001625061035","375.1001625061035","375.1001625061035"
"70","373.1725425720215","373.1725425720215","373.1725425720215"
"71","372.7308349609375","372.7308349609375","372.7308349609375"
"72","372.20827865600586","372.20827865600586","372.20827865600586"
"73","371.61500549316406","371.61500549316406","371.61500549316406"
"74","369.75848388671875","369.75848388671875","369.75848388671875"
"75","370.3492546081543","370.3492546081543","370.3492546081543"
"76","369.0307388305664","369.0307388305664","369.0307388305664"
"77","370.4710578918457","370.4710578918457","370.4710578918457"
"78","366.6526641845703","366.6526641845703","366.6526641845703"
"79","368.21349716186523","368.21349716186523","368.21349716186523"
"80","366.51891326904297","366.51891326904297","366.51891326904297"
"81","366.9001884460449","366.9001884460449","366.9001884460449"
"82","366.07116317749023","366.07116317749023","366.07116317749023"
"83","365.5859146118164","365.5859146118164","365.5859146118164"
"84","363.7149848937988","363.7149848937988","363.7149848937988"
"85","364.45620346069336","364.45620346069336","364.45620346069336"
"86","362.9317817687988","362.9317817687988","362.9317817687988"
