"Step","phase1-reasoning - val/layers/l30_cos","phase1-reasoning - val/layers/l30_cos__MIN","phase1-reasoning - val/layers/l30_cos__MAX"
"17","0.3175282382965088","0.3175282382965088","0.3175282382965088"
"43","0.31674475491046905","0.31674475491046905","0.31674475491046905"
"69","0.31709000408649446","0.31709000408649446","0.31709000408649446"
"95","0.3147826999425888","0.3147826999425888","0.3147826999425888"
"121","0.3146284997463226","0.3146284997463226","0.3146284997463226"
"147","0.3123276835680008","0.3123276835680008","0.3123276835680008"
"173","0.31301965355873107","0.31301965355873107","0.31301965355873107"
"199","0.3125469636917114","0.3125469636917114","0.3125469636917114"
