"Step","phase1-reasoning - train/layers/l30_mse","phase1-reasoning - train/layers/l30_mse__MIN","phase1-reasoning - train/layers/l30_mse__MAX"
"0","19.371755599975586","19.371755599975586","19.371755599975586"
"1","17.892795205116272","17.892795205116272","17.892795205116272"
"2","20.881330966949463","20.881330966949463","20.881330966949463"
"3","19.229487657546997","19.229487657546997","19.229487657546997"
"4","18.669737815856934","18.669737815856934","18.669737815856934"
"5","19.369476437568665","19.369476437568665","19.369476437568665"
"6","19.175533890724182","19.175533890724182","19.175533890724182"
"7","19.56892693042755","19.56892693042755","19.56892693042755"
"8","19.4512619972229","19.4512619972229","19.4512619972229"
"9","19.044999361038208","19.044999361038208","19.044999361038208"
"10","19.470381379127502","19.470381379127502","19.470381379127502"
"11","15.906626462936401","15.906626462936401","15.906626462936401"
"12","18.61935794353485","18.61935794353485","18.61935794353485"
"13","20.14855647087097","20.14855647087097","20.14855647087097"
"14","18.7624773979187","18.7624773979187","18.7624773979187"
"15","19.133820295333862","19.133820295333862","19.133820295333862"
"16","17.238067984580994","17.238067984580994","17.238067984580994"
"18","18.717318177223206","18.717318177223206","18.717318177223206"
"19","18.801308393478394","18.801308393478394","18.801308393478394"
"20","20.775437116622925","20.775437116622925","20.775437116622925"
"21","18.722198247909546","18.722198247909546","18.722198247909546"
"22","16.82001483440399","16.82001483440399","16.82001483440399"
"23","20.26510226726532","20.26510226726532","20.26510226726532"
"24","18.43202519416809","18.43202519416809","18.43202519416809"
"25","20.137186884880066","20.137186884880066","20.137186884880066"
"26","19.345039010047913","19.345039010047913","19.345039010047913"
"27","20.14000964164734","20.14000964164734","20.14000964164734"
"28","17.696670055389404","17.696670055389404","17.696670055389404"
"29","20.151328921318054","20.151328921318054","20.151328921318054"
"30","19.79349970817566","19.79349970817566","19.79349970817566"
"31","18.535902738571167","18.535902738571167","18.535902738571167"
"32","21.173828840255737","21.173828840255737","21.173828840255737"
"33","18.126349091529846","18.126349091529846","18.126349091529846"
"34","20.264089465141296","20.264089465141296","20.264089465141296"
"35","16.699163675308228","16.699163675308228","16.699163675308228"
"36","20.361740946769714","20.361740946769714","20.361740946769714"
"37","19.318572521209717","19.318572521209717","19.318572521209717"
"38","17.29815423488617","17.29815423488617","17.29815423488617"
"39","17.723931789398193","17.723931789398193","17.723931789398193"
"40","18.74152946472168","18.74152946472168","18.74152946472168"
"41","20.623199701309204","20.623199701309204","20.623199701309204"
"42","19.582348942756653","19.582348942756653","19.582348942756653"
"44","19.613761067390442","19.613761067390442","19.613761067390442"
"45","19.09971833229065","19.09971833229065","19.09971833229065"
"46","18.793832778930664","18.793832778930664","18.793832778930664"
"47","18.501946806907654","18.501946806907654","18.501946806907654"
"48","18.74684190750122","18.74684190750122","18.74684190750122"
"49","19.39517652988434","19.39517652988434","19.39517652988434"
"50","19.94570767879486","19.94570767879486","19.94570767879486"
"51","16.583969593048096","16.583969593048096","16.583969593048096"
"52","20.237619400024414","20.237619400024414","20.237619400024414"
"53","20.809895277023315","20.809895277023315","20.809895277023315"
"54","19.55649173259735","19.55649173259735","19.55649173259735"
"55","19.95790183544159","19.95790183544159","19.95790183544159"
"56","19.314767241477966","19.314767241477966","19.314767241477966"
"57","17.64779269695282","17.64779269695282","17.64779269695282"
"58","18.182971715927124","18.182971715927124","18.182971715927124"
"59","20.66679573059082","20.66679573059082","20.66679573059082"
"60","21.727348804473877","21.727348804473877","21.727348804473877"
"61","20.930874347686768","20.930874347686768","20.930874347686768"
"62","21.497142553329468","21.497142553329468","21.497142553329468"
"63","18.286608457565308","18.286608457565308","18.286608457565308"
