"Step","phase1-reasoning - val/layers/l20_cos","phase1-reasoning - val/layers/l20_cos__MIN","phase1-reasoning - val/layers/l20_cos__MAX"
"17","0.3680833297967911","0.3680833297967911","0.3680833297967911"
"43","0.3673880535364151","0.3673880535364151","0.3673880535364151"
"69","0.36865900993347167","0.36865900993347167","0.36865900993347167"
"95","0.3666923260688782","0.3666923260688782","0.3666923260688782"
"121","0.3681305712461472","0.3681305712461472","0.3681305712461472"
"147","0.36413553535938264","0.36413553535938264","0.36413553535938264"
"173","0.36543844163417816","0.36543844163417816","0.36543844163417816"
"199","0.3671091485023499","0.3671091485023499","0.3671091485023499"
