step,loss
1,12.399771571159363
2,11.050031423568726
3,9.99857223033905
4,8.747885823249817
5,9.762717604637146
6,8.90799593925476
7,9.078437447547913
8,9.127317726612091
9,9.315583229064941
10,8.74234026670456
11,8.577084362506866
12,8.847408175468445
13,8.678468942642212
14,8.755886495113373
15,8.815799355506897
16,8.623495817184448
17,8.069495379924774
18,8.165493667125702
19,7.69621342420578
20,8.486749053001404
21,8.117563426494598
22,7.740415632724762
23,7.572483777999878
24,8.315706312656403
25,8.34370744228363
26,8.015126287937164
27,8.253998935222626
28,7.852032780647278
29,7.937067210674286
30,7.881650328636169
31,8.10152143239975
32,8.357239365577698
33,7.733506619930267
34,8.031526267528534
35,8.02339482307434
36,8.04179322719574
37,7.699872255325317
38,8.0376256108284
39,7.783204257488251
40,7.7549744844436646
41,7.196795701980591
42,7.602758586406708
43,7.892193853855133
44,7.110108196735382
45,7.471699237823486
46,8.092483818531036
47,7.690236508846283
48,7.691043019294739
49,7.072124600410461
50,7.830840885639191
51,7.715835213661194
52,6.968992292881012
53,7.496309816837311
54,7.743104159832001
55,6.913008272647858
56,7.6518701910972595
57,7.884676098823547
58,7.0298792719841
59,7.110976457595825
60,7.208624362945557
61,7.492858946323395
62,6.9477240443229675
63,7.842115342617035
64,7.295456171035767
65,7.444577097892761
66,6.589213669300079
67,7.572899341583252
68,7.266527891159058
69,7.44892817735672
70,7.398969233036041
71,7.130470514297485
72,7.0890695452690125
73,7.023619890213013
74,7.176608920097351
75,7.131096839904785
76,6.976100504398346
77,7.401470422744751
78,7.373459219932556
79,7.33957713842392
80,6.962897539138794
81,6.2214014530181885
82,6.772343575954437
83,6.683022737503052
84,6.710750699043274
85,6.832586705684662
86,6.619038701057434
87,7.109144330024719
88,6.656676709651947
89,7.043394923210144
90,6.812020897865295
91,7.062016248703003
92,7.008103907108307
93,6.883234083652496
94,6.171301543712616
95,7.049107134342194
96,6.874689221382141
97,6.76776522397995
98,6.4180572628974915
99,6.655398666858673
100,6.65067845582962
101,6.917624771595001
102,6.9764169454574585
103,6.4017234444618225
104,6.236286163330078
105,6.836472392082214
106,6.558336138725281
107,6.770035564899445
108,6.687095880508423
109,6.607515215873718
110,6.220747590065002
111,6.199057400226593
112,6.29902309179306
113,6.51504772901535
114,6.747775912284851
115,6.115113377571106
116,6.836702942848206
117,6.281528353691101
118,6.623077929019928
119,7.0458128452301025
120,6.700780212879181
121,6.718688368797302
122,6.662305474281311
123,6.213850438594818
124,6.862893342971802
125,6.822426438331604
126,6.337218761444092
127,6.513800263404846
128,6.514020383358002
129,6.842823803424835
130,6.245458126068115
131,6.236142158508301
132,6.541458904743195
133,6.461317956447601
134,7.008028090000153
135,6.517769157886505
136,6.118679702281952
137,6.103788733482361
138,5.982184708118439
139,6.887116551399231
140,5.9691662192344666
141,6.011910498142242
142,6.366130590438843
143,6.6860315799713135
144,6.2242209911346436
145,6.185263276100159
146,6.4433979988098145
147,5.881701588630676
148,6.097138166427612
149,6.768240332603455
150,5.998497426509857
151,5.81347918510437
152,5.807093501091003
153,6.756597876548767
154,6.214002430438995
155,6.162442088127136
156,6.579741895198822
157,6.686094522476196
158,6.1176066398620605
159,6.1907156109809875
160,6.141419470310211
161,5.8954176902771
162,6.174933314323425
163,6.303212404251099
164,6.014714539051056
165,6.465431213378906
166,6.506188631057739
167,6.453009605407715
168,5.5640594363212585
169,6.375343203544617
170,6.201461434364319
171,5.872674643993378
172,5.927830874919891
173,5.852908670902252
174,6.417764902114868
175,6.0791608691215515
176,6.382045269012451
177,6.119499444961548
178,5.878888249397278
179,6.269837439060211
180,5.912682056427002
181,5.798951327800751
182,6.1712037324905396
183,5.729959607124329
184,6.576246857643127
185,6.3625582456588745
186,6.019844889640808
187,6.238973677158356
188,5.753988206386566
189,6.068609297275543
190,6.539585113525391
191,6.221319854259491
192,6.174759209156036
193,6.211000859737396
194,6.687806189060211
195,6.287442684173584
196,5.661954998970032
197,6.02344137430191
198,6.284947752952576
199,5.917156636714935
200,6.067236661911011
201,5.848057746887207
202,5.661276042461395
203,6.204027771949768
