"Step","phase1-reasoning - train/loss","phase1-reasoning - train/loss__MIN","phase1-reasoning - train/loss__MAX"
"0","41.95873498916626","41.95873498916626","41.95873498916626"
"1","48.87574052810669","48.87574052810669","48.87574052810669"
"2","42.566473960876465","42.566473960876465","42.566473960876465"
"3","48.70712184906006","48.70712184906006","48.70712184906006"
"4","42.62566137313843","42.62566137313843","42.62566137313843"
"5","44.54184675216675","44.54184675216675","44.54184675216675"
"6","44.277706146240234","44.277706146240234","44.277706146240234"
"7","39.20022487640381","39.20022487640381","39.20022487640381"
"8","44.332334995269775","44.332334995269775","44.332334995269775"
"9","44.32258701324463","44.32258701324463","44.32258701324463"
"10","45.9883017539978","45.9883017539978","45.9883017539978"
"11","40.13581323623657","40.13581323623657","40.13581323623657"
"12","41.242013454437256","41.242013454437256","41.242013454437256"
"13","39.32750844955444","39.32750844955444","39.32750844955444"
"14","40.90268516540527","40.90268516540527","40.90268516540527"
"15","46.178964614868164","46.178964614868164","46.178964614868164"
"16","38.10194110870361","38.10194110870361","38.10194110870361"
"17","43.63358736038208","43.63358736038208","43.63358736038208"
"18","49.14919090270996","49.14919090270996","49.14919090270996"
"19","42.294739723205566","42.294739723205566","42.294739723205566"
"20","39.63389301300049","39.63389301300049","39.63389301300049"
"21","39.2817177772522","39.2817177772522","39.2817177772522"
"22","43.125487327575684","43.125487327575684","43.125487327575684"
"23","38.917964458465576","38.917964458465576","38.917964458465576"
"24","40.022603034973145","40.022603034973145","40.022603034973145"
"26","39.16066312789917","39.16066312789917","39.16066312789917"
"27","39.525150775909424","39.525150775909424","39.525150775909424"
"28","44.405715465545654","44.405715465545654","44.405715465545654"
"29","39.216848611831665","39.216848611831665","39.216848611831665"
"30","41.35605573654175","41.35605573654175","41.35605573654175"
"31","39.41009044647217","39.41009044647217","39.41009044647217"
"32","38.863929271698","38.863929271698","38.863929271698"
"33","40.593242168426514","40.593242168426514","40.593242168426514"
"34","39.08204412460327","39.08204412460327","39.08204412460327"
"35","38.8857741355896","38.8857741355896","38.8857741355896"
"36","38.35942792892456","38.35942792892456","38.35942792892456"
"37","39.48558235168457","39.48558235168457","39.48558235168457"
"38","38.70415496826172","38.70415496826172","38.70415496826172"
"39","42.4915452003479","42.4915452003479","42.4915452003479"
"40","38.41209650039673","38.41209650039673","38.41209650039673"
"41","37.57156467437744","37.57156467437744","37.57156467437744"
"42","37.59891939163208","37.59891939163208","37.59891939163208"
"43","38.70596981048584","38.70596981048584","38.70596981048584"
"44","36.39357614517212","36.39357614517212","36.39357614517212"
"45","41.51264142990112","41.51264142990112","41.51264142990112"
"46","41.857619762420654","41.857619762420654","41.857619762420654"
"47","38.0432333946228","38.0432333946228","38.0432333946228"
"48","38.90181350708008","38.90181350708008","38.90181350708008"
"49","37.07202959060669","37.07202959060669","37.07202959060669"
"50","35.68412780761719","35.68412780761719","35.68412780761719"
"52","38.218231201171875","38.218231201171875","38.218231201171875"
"53","40.27056360244751","40.27056360244751","40.27056360244751"
"54","37.775859117507935","37.775859117507935","37.775859117507935"
"55","41.75973844528198","41.75973844528198","41.75973844528198"
"56","43.34231734275818","43.34231734275818","43.34231734275818"
"57","44.71786880493164","44.71786880493164","44.71786880493164"
"58","37.34393835067749","37.34393835067749","37.34393835067749"
"59","40.37665605545044","40.37665605545044","40.37665605545044"
"60","37.054325103759766","37.054325103759766","37.054325103759766"
"61","37.4447340965271","37.4447340965271","37.4447340965271"
"62","38.669737815856934","38.669737815856934","38.669737815856934"
"63","36.86858797073364","36.86858797073364","36.86858797073364"
"64","38.02190589904785","38.02190589904785","38.02190589904785"
"65","36.44678211212158","36.44678211212158","36.44678211212158"
"66","38.373937129974365","38.373937129974365","38.373937129974365"
"67","36.41651630401611","36.41651630401611","36.41651630401611"
"68","37.43816375732422","37.43816375732422","37.43816375732422"
"69","38.69193649291992","38.69193649291992","38.69193649291992"
"70","38.99650478363037","38.99650478363037","38.99650478363037"
"71","41.270888805389404","41.270888805389404","41.270888805389404"
"72","37.272337913513184","37.272337913513184","37.272337913513184"
