"Step","phase1-reasoning - val/layers/l40_cos","phase1-reasoning - val/layers/l40_cos__MIN","phase1-reasoning - val/layers/l40_cos__MAX"
"25","0.3286770284175873","0.3286770284175873","0.3286770284175873"
"51","0.3294406813383102","0.3294406813383102","0.3294406813383102"
"77","0.31772281765937804","0.31772281765937804","0.31772281765937804"
"103","0.30933462738990786","0.30933462738990786","0.30933462738990786"
"129","0.30442093551158905","0.30442093551158905","0.30442093551158905"
"155","0.3009574729204178","0.3009574729204178","0.3009574729204178"
"181","0.2960990631580353","0.2960990631580353","0.2960990631580353"
"207","0.2874131786823273","0.2874131786823273","0.2874131786823273"
"233","0.2844109123945236","0.2844109123945236","0.2844109123945236"
"259","0.27689367294311523","0.27689367294311523","0.27689367294311523"
"285","0.2841025710105896","0.2841025710105896","0.2841025710105896"
"311","0.2750621747970581","0.2750621747970581","0.2750621747970581"
"337","0.27271484017372133","0.27271484017372133","0.27271484017372133"
"363","0.2745944255590439","0.2745944255590439","0.2745944255590439"
