"Step","phase1-reasoning - train/mse","phase1-reasoning - train/mse__MIN","phase1-reasoning - train/mse__MAX"
"60","21.834672451019287","21.834672451019287","21.834672451019287"
"61","23.06173300743103","23.06173300743103","23.06173300743103"
"62","23.98183798789978","23.98183798789978","23.98183798789978"
"63","22.964904308319092","22.964904308319092","22.964904308319092"
"64","22.504108428955078","22.504108428955078","22.504108428955078"
"65","21.657297134399414","21.657297134399414","21.657297134399414"
"66","23.86999273300171","23.86999273300171","23.86999273300171"
"67","21.957730054855347","21.957730054855347","21.957730054855347"
"68","23.505260467529297","23.505260467529297","23.505260467529297"
"69","22.931401014328003","22.931401014328003","22.931401014328003"
"70","23.560019969940186","23.560019969940186","23.560019969940186"
"71","24.885996103286743","24.885996103286743","24.885996103286743"
"72","23.072320222854614","23.072320222854614","23.072320222854614"
"73","26.35754418373108","26.35754418373108","26.35754418373108"
"74","23.229979515075684","23.229979515075684","23.229979515075684"
"75","24.1668598651886","24.1668598651886","24.1668598651886"
"76","21.869852542877197","21.869852542877197","21.869852542877197"
"78","23.317754983901978","23.317754983901978","23.317754983901978"
"79","23.392369031906128","23.392369031906128","23.392369031906128"
"80","22.035143971443176","22.035143971443176","22.035143971443176"
"81","23.361246824264526","23.361246824264526","23.361246824264526"
"82","22.963486909866333","22.963486909866333","22.963486909866333"
"83","22.58703637123108","22.58703637123108","22.58703637123108"
"84","22.79036784172058","22.79036784172058","22.79036784172058"
"85","23.136182069778442","23.136182069778442","23.136182069778442"
"86","23.91348695755005","23.91348695755005","23.91348695755005"
"87","22.260329246520996","22.260329246520996","22.260329246520996"
"88","24.062682628631592","24.062682628631592","24.062682628631592"
"89","23.296589374542236","23.296589374542236","23.296589374542236"
"90","22.278452396392822","22.278452396392822","22.278452396392822"
"91","23.046271324157715","23.046271324157715","23.046271324157715"
"92","22.751497983932495","22.751497983932495","22.751497983932495"
"93","23.441041946411133","23.441041946411133","23.441041946411133"
"94","21.347312927246094","21.347312927246094","21.347312927246094"
"95","22.954589366912842","22.954589366912842","22.954589366912842"
"96","21.31570863723755","21.31570863723755","21.31570863723755"
"97","22.70329999923706","22.70329999923706","22.70329999923706"
"98","21.82581377029419","21.82581377029419","21.82581377029419"
"99","22.141377449035645","22.141377449035645","22.141377449035645"
"100","22.0893235206604","22.0893235206604","22.0893235206604"
"101","22.781001567840576","22.781001567840576","22.781001567840576"
"102","22.12952494621277","22.12952494621277","22.12952494621277"
"104","22.457587480545044","22.457587480545044","22.457587480545044"
"105","21.780111074447632","21.780111074447632","21.780111074447632"
"106","22.39980459213257","22.39980459213257","22.39980459213257"
"107","22.8774631023407","22.8774631023407","22.8774631023407"
"108","20.57016110420227","20.57016110420227","20.57016110420227"
"109","20.130850315093994","20.130850315093994","20.130850315093994"
"110","23.25811243057251","23.25811243057251","23.25811243057251"
"111","21.595951557159424","21.595951557159424","21.595951557159424"
"112","22.49824094772339","22.49824094772339","22.49824094772339"
"113","22.625728368759155","22.625728368759155","22.625728368759155"
"114","20.930035829544067","20.930035829544067","20.930035829544067"
"115","21.806835174560547","21.806835174560547","21.806835174560547"
"116","21.058470010757446","21.058470010757446","21.058470010757446"
"117","21.25890350341797","21.25890350341797","21.25890350341797"
"118","22.05656909942627","22.05656909942627","22.05656909942627"
"119","21.808804273605347","21.808804273605347","21.808804273605347"
"120","21.03199028968811","21.03199028968811","21.03199028968811"
"121","23.41079354286194","23.41079354286194","23.41079354286194"
"122","22.35114812850952","22.35114812850952","22.35114812850952"
"123","23.640735626220703","23.640735626220703","23.640735626220703"
"124","21.370707273483276","21.370707273483276","21.370707273483276"
"125","21.90673851966858","21.90673851966858","21.90673851966858"
"126","22.163706064224243","22.163706064224243","22.163706064224243"
"127","23.642214059829712","23.642214059829712","23.642214059829712"
"128","22.80556869506836","22.80556869506836","22.80556869506836"
"130","22.143974781036377","22.143974781036377","22.143974781036377"
"131","22.982003211975098","22.982003211975098","22.982003211975098"
"132","21.489266633987427","21.489266633987427","21.489266633987427"
"133","21.382940530776978","21.382940530776978","21.382940530776978"
"134","21.92734718322754","21.92734718322754","21.92734718322754"
"135","21.339205980300903","21.339205980300903","21.339205980300903"
"136","22.226619005203247","22.226619005203247","22.226619005203247"
"137","22.636731386184692","22.636731386184692","22.636731386184692"
"138","21.354987144470215","21.354987144470215","21.354987144470215"
"139","22.540714740753174","22.540714740753174","22.540714740753174"
"140","21.810026168823242","21.810026168823242","21.810026168823242"
"141","21.03117001056671","21.03117001056671","21.03117001056671"
"142","24.191587209701538","24.191587209701538","24.191587209701538"
"143","22.020392179489136","22.020392179489136","22.020392179489136"
"144","22.336214065551758","22.336214065551758","22.336214065551758"
"145","21.414388418197632","21.414388418197632","21.414388418197632"
"146","24.35995626449585","24.35995626449585","24.35995626449585"
"147","21.777405738830566","21.777405738830566","21.777405738830566"
"148","20.59521222114563","20.59521222114563","20.59521222114563"
"149","22.915117740631104","22.915117740631104","22.915117740631104"
"150","20.666762113571167","20.666762113571167","20.666762113571167"
"151","23.28128218650818","23.28128218650818","23.28128218650818"
"152","21.621822714805603","21.621822714805603","21.621822714805603"
"153","21.598328113555908","21.598328113555908","21.598328113555908"
"154","42.71826243400574","42.71826243400574","42.71826243400574"
"156","22.722615718841553","22.722615718841553","22.722615718841553"
"157","21.981626987457275","21.981626987457275","21.981626987457275"
"158","22.50624656677246","22.50624656677246","22.50624656677246"
"159","22.546110153198242","22.546110153198242","22.546110153198242"
"160","21.46071457862854","21.46071457862854","21.46071457862854"
"161","22.764334678649902","22.764334678649902","22.764334678649902"
"162","22.143242359161377","22.143242359161377","22.143242359161377"
"163","21.630029916763306","21.630029916763306","21.630029916763306"
"164","21.308345079421997","21.308345079421997","21.308345079421997"
"165","21.63857877254486","21.63857877254486","21.63857877254486"
"166","21.701701164245605","21.701701164245605","21.701701164245605"
"167","24.01488161087036","24.01488161087036","24.01488161087036"
"168","21.08961033821106","21.08961033821106","21.08961033821106"
"169","23.602614641189575","23.602614641189575","23.602614641189575"
"170","20.864537477493286","20.864537477493286","20.864537477493286"
"171","20.770196318626404","20.770196318626404","20.770196318626404"
"172","23.296220779418945","23.296220779418945","23.296220779418945"
"173","21.76397156715393","21.76397156715393","21.76397156715393"
"174","22.560720920562744","22.560720920562744","22.560720920562744"
"175","21.306207537651062","21.306207537651062","21.306207537651062"
"176","22.969648122787476","22.969648122787476","22.969648122787476"
"177","20.974174976348877","20.974174976348877","20.974174976348877"
"178","23.44136881828308","23.44136881828308","23.44136881828308"
"179","22.440178155899048","22.440178155899048","22.440178155899048"
"180","21.663399934768677","21.663399934768677","21.663399934768677"
"182","22.940914154052734","22.940914154052734","22.940914154052734"
"183","22.327171564102173","22.327171564102173","22.327171564102173"
"184","21.846779584884644","21.846779584884644","21.846779584884644"
"185","22.143988847732544","22.143988847732544","22.143988847732544"
"186","21.30117654800415","21.30117654800415","21.30117654800415"
"187","20.94049870967865","20.94049870967865","20.94049870967865"
"188","20.24783492088318","20.24783492088318","20.24783492088318"
"189","22.509999990463257","22.509999990463257","22.509999990463257"
"190","20.159328937530518","20.159328937530518","20.159328937530518"
"191","20.7044198513031","20.7044198513031","20.7044198513031"
"192","19.994385480880737","19.994385480880737","19.994385480880737"
"193","21.74347949028015","21.74347949028015","21.74347949028015"
"194","21.376960515975952","21.376960515975952","21.376960515975952"
"195","19.883971452713013","19.883971452713013","19.883971452713013"
"196","21.648446321487427","21.648446321487427","21.648446321487427"
"197","21.27038860321045","21.27038860321045","21.27038860321045"
"198","22.002634048461914","22.002634048461914","22.002634048461914"
"199","21.46108365058899","21.46108365058899","21.46108365058899"
"200","21.117565631866455","21.117565631866455","21.117565631866455"
"201","22.19038701057434","22.19038701057434","22.19038701057434"
"202","21.11910057067871","21.11910057067871","21.11910057067871"
"203","20.27592635154724","20.27592635154724","20.27592635154724"
"204","21.93925952911377","21.93925952911377","21.93925952911377"
"205","20.918522119522095","20.918522119522095","20.918522119522095"
"206","22.817635774612427","22.817635774612427","22.817635774612427"
"208","22.164767742156982","22.164767742156982","22.164767742156982"
"209","21.821149110794067","21.821149110794067","21.821149110794067"
"210","21.324873328208923","21.324873328208923","21.324873328208923"
"211","22.292601108551025","22.292601108551025","22.292601108551025"
"212","20.809990644454956","20.809990644454956","20.809990644454956"
"213","20.427395820617676","20.427395820617676","20.427395820617676"
"214","22.46020746231079","22.46020746231079","22.46020746231079"
"215","21.75787115097046","21.75787115097046","21.75787115097046"
"216","21.493252515792847","21.493252515792847","21.493252515792847"
"217","21.522869110107422","21.522869110107422","21.522869110107422"
"218","23.264990091323853","23.264990091323853","23.264990091323853"
"219","21.02442193031311","21.02442193031311","21.02442193031311"
"220","20.527607917785645","20.527607917785645","20.527607917785645"
"221","21.371535301208496","21.371535301208496","21.371535301208496"
"222","23.834945917129517","23.834945917129517","23.834945917129517"
"223","20.795634746551514","20.795634746551514","20.795634746551514"
"224","20.795957803726196","20.795957803726196","20.795957803726196"
"225","21.719372272491455","21.719372272491455","21.719372272491455"
"226","20.144164204597473","20.144164204597473","20.144164204597473"
"227","22.594740629196167","22.594740629196167","22.594740629196167"
"228","19.862884044647217","19.862884044647217","19.862884044647217"
"229","19.99663996696472","19.99663996696472","19.99663996696472"
"230","21.656102180480957","21.656102180480957","21.656102180480957"
"231","21.70155906677246","21.70155906677246","21.70155906677246"
"232","21.375046491622925","21.375046491622925","21.375046491622925"
"234","22.369422912597656","22.369422912597656","22.369422912597656"
"235","20.83026611804962","20.83026611804962","20.83026611804962"
"236","21.35731291770935","21.35731291770935","21.35731291770935"
"237","21.744985580444336","21.744985580444336","21.744985580444336"
"238","20.131117343902588","20.131117343902588","20.131117343902588"
"239","21.448442220687866","21.448442220687866","21.448442220687866"
"240","22.205963373184204","22.205963373184204","22.205963373184204"
"241","22.548228979110718","22.548228979110718","22.548228979110718"
"242","21.25452160835266","21.25452160835266","21.25452160835266"
"243","21.687009572982788","21.687009572982788","21.687009572982788"
"244","20.819576501846313","20.819576501846313","20.819576501846313"
"245","23.042695999145508","23.042695999145508","23.042695999145508"
"246","20.70523178577423","20.70523178577423","20.70523178577423"
"247","19.78438663482666","19.78438663482666","19.78438663482666"
"248","19.932907938957214","19.932907938957214","19.932907938957214"
"249","21.57724142074585","21.57724142074585","21.57724142074585"
"250","22.144561052322388","22.144561052322388","22.144561052322388"
"251","22.105008840560913","22.105008840560913","22.105008840560913"
"252","20.715705633163452","20.715705633163452","20.715705633163452"
"253","21.308439016342163","21.308439016342163","21.308439016342163"
"254","19.818022966384888","19.818022966384888","19.818022966384888"
"255","20.55052936077118","20.55052936077118","20.55052936077118"
"256","21.026517629623413","21.026517629623413","21.026517629623413"
"257","22.336952447891235","22.336952447891235","22.336952447891235"
"258","22.070125579833984","22.070125579833984","22.070125579833984"
"260","21.453306674957275","21.453306674957275","21.453306674957275"
"261","20.713085174560547","20.713085174560547","20.713085174560547"
"262","21.596922397613525","21.596922397613525","21.596922397613525"
"263","20.285303831100464","20.285303831100464","20.285303831100464"
"264","20.3310329914093","20.3310329914093","20.3310329914093"
