"Step","phase1-reasoning - val/loss","phase1-reasoning - val/loss__MIN","phase1-reasoning - val/loss__MAX"
"25","40.494362373352054","40.494362373352054","40.494362373352054"
"51","43.037444190979","43.037444190979","43.037444190979"
"77","41.50921394348145","41.50921394348145","41.50921394348145"
"103","38.189964332580566","38.189964332580566","38.189964332580566"
"129","37.77541847229004","37.77541847229004","37.77541847229004"
"155","45.010882263183596","45.010882263183596","45.010882263183596"
"181","36.904423236846924","36.904423236846924","36.904423236846924"
"207","36.35768623352051","36.35768623352051","36.35768623352051"
"233","36.06983720779419","36.06983720779419","36.06983720779419"
"259","35.46957696914673","35.46957696914673","35.46957696914673"
"285","35.83631290435791","35.83631290435791","35.83631290435791"
"311","35.31693506240845","35.31693506240845","35.31693506240845"
"337","35.061266593933105","35.061266593933105","35.061266593933105"
"363","35.06213167190552","35.06213167190552","35.06213167190552"
