"Step","phase1-reasoning - val/layers/l30_mse","phase1-reasoning - val/layers/l30_mse__MIN","phase1-reasoning - val/layers/l30_mse__MAX"
"25","22.66332287788391","22.66332287788391","22.66332287788391"
"51","24.778353519439698","24.778353519439698","24.778353519439698"
"77","23.925523233413696","23.925523233413696","23.925523233413696"
"103","21.406346282958985","21.406346282958985","21.406346282958985"
"129","21.2063560962677","21.2063560962677","21.2063560962677"
"155","27.23590419769287","27.23590419769287","27.23590419769287"
"181","20.78765772819519","20.78765772819519","20.78765772819519"
"207","20.584032821655274","20.584032821655274","20.584032821655274"
"233","20.47108542442322","20.47108542442322","20.47108542442322"
"259","20.218167600631713","20.218167600631713","20.218167600631713"
"285","20.295773544311523","20.295773544311523","20.295773544311523"
"311","20.150462350845338","20.150462350845338","20.150462350845338"
"337","19.993139972686766","19.993139972686766","19.993139972686766"
"363","19.950274496078492","19.950274496078492","19.950274496078492"
