"Step","phase1-reasoning - tech/grad_norm","phase1-reasoning - tech/grad_norm__MIN","phase1-reasoning - tech/grad_norm__MAX"
"0","NaN","",""
"1","NaN","",""
"2","NaN","",""
"3","NaN","",""
"4","155.1780548095703","155.1780548095703","155.1780548095703"
"5","NaN","",""
"6","NaN","",""
"7","152.12667846679688","152.12667846679688","152.12667846679688"
"8","359.1815490722656","359.1815490722656","359.1815490722656"
"9","128.10916137695312","128.10916137695312","128.10916137695312"
"10","338.2528991699219","338.2528991699219","338.2528991699219"
"11","Infinity","",""
"12","130.10418701171875","130.10418701171875","130.10418701171875"
"13","920.2906494140625","920.2906494140625","920.2906494140625"
"14","220.43817138671875","220.43817138671875","220.43817138671875"
"15","196.49533081054688","196.49533081054688","196.49533081054688"
"16","137.51791381835938","137.51791381835938","137.51791381835938"
"17","Infinity","",""
"18","2338.20947265625","2338.20947265625","2338.20947265625"
"19","337.0691833496094","337.0691833496094","337.0691833496094"
"20","1062.0924072265625","1062.0924072265625","1062.0924072265625"
"21","49.338130950927734","49.338130950927734","49.338130950927734"
"22","109.05493927001953","109.05493927001953","109.05493927001953"
"23","476.72344970703125","476.72344970703125","476.72344970703125"
"24","309.414306640625","309.414306640625","309.414306640625"
"26","140.94903564453125","140.94903564453125","140.94903564453125"
"27","125.37166595458984","125.37166595458984","125.37166595458984"
"28","808.8561401367188","808.8561401367188","808.8561401367188"
"29","65.82432556152344","65.82432556152344","65.82432556152344"
"30","1425.578125","1425.578125","1425.578125"
"31","45.85215377807617","45.85215377807617","45.85215377807617"
"32","51.53982925415039","51.53982925415039","51.53982925415039"
"33","82.8858642578125","82.8858642578125","82.8858642578125"
"34","89.79923248291016","89.79923248291016","89.79923248291016"
"35","39.514549255371094","39.514549255371094","39.514549255371094"
"36","150.19647216796875","150.19647216796875","150.19647216796875"
"37","114.55538940429688","114.55538940429688","114.55538940429688"
"38","83.21949005126953","83.21949005126953","83.21949005126953"
"39","56.89156723022461","56.89156723022461","56.89156723022461"
"40","90.73561096191406","90.73561096191406","90.73561096191406"
"41","75.11444091796875","75.11444091796875","75.11444091796875"
"42","41.0312614440918","41.0312614440918","41.0312614440918"
"43","69.65788269042969","69.65788269042969","69.65788269042969"
"44","139.71511840820312","139.71511840820312","139.71511840820312"
"45","58.09791564941406","58.09791564941406","58.09791564941406"
"46","58.225521087646484","58.225521087646484","58.225521087646484"
"47","55.252567291259766","55.252567291259766","55.252567291259766"
"48","31.77834129333496","31.77834129333496","31.77834129333496"
"49","50.656005859375","50.656005859375","50.656005859375"
"50","32.81522750854492","32.81522750854492","32.81522750854492"
"52","191.86178588867188","191.86178588867188","191.86178588867188"
"53","64.83112335205078","64.83112335205078","64.83112335205078"
"54","62.20673751831055","62.20673751831055","62.20673751831055"
"55","44.27769470214844","44.27769470214844","44.27769470214844"
"56","53.69978713989258","53.69978713989258","53.69978713989258"
"57","63.686222076416016","63.686222076416016","63.686222076416016"
"58","35.52962112426758","35.52962112426758","35.52962112426758"
"59","22.974998474121094","22.974998474121094","22.974998474121094"
"60","15.662899017333984","15.662899017333984","15.662899017333984"
"61","26.143632888793945","26.143632888793945","26.143632888793945"
"62","23.062744140625","23.062744140625","23.062744140625"
"63","23.35040283203125","23.35040283203125","23.35040283203125"
"64","56.203521728515625","56.203521728515625","56.203521728515625"
"65","35.381439208984375","35.381439208984375","35.381439208984375"
"66","37.15126419067383","37.15126419067383","37.15126419067383"
"67","33.03447341918945","33.03447341918945","33.03447341918945"
"68","70.94815063476562","70.94815063476562","70.94815063476562"
