"Step","phase1-reasoning - train/kl","phase1-reasoning - train/kl__MIN","phase1-reasoning - train/kl__MAX"
"171","364.60964584350586","364.60964584350586","364.60964584350586"
"172","363.7031021118164","363.7031021118164","363.7031021118164"
"173","363.2731513977051","363.2731513977051","363.2731513977051"
"174","361.9523620605469","361.9523620605469","361.9523620605469"
"175","364.18505859375","364.18505859375","364.18505859375"
"176","363.7200012207031","363.7200012207031","363.7200012207031"
"177","364.2748603820801","364.2748603820801","364.2748603820801"
"178","362.87835693359375","362.87835693359375","362.87835693359375"
"179","364.36790466308594","364.36790466308594","364.36790466308594"
"180","365.669189453125","365.669189453125","365.669189453125"
"182","364.87453842163086","364.87453842163086","364.87453842163086"
"183","363.5897789001465","363.5897789001465","363.5897789001465"
"184","365.7284927368164","365.7284927368164","365.7284927368164"
"185","365.4016990661621","365.4016990661621","365.4016990661621"
"186","365.42394256591797","365.42394256591797","365.42394256591797"
"187","367.90320205688477","367.90320205688477","367.90320205688477"
"188","367.4579429626465","367.4579429626465","367.4579429626465"
"189","367.0986785888672","367.0986785888672","367.0986785888672"
"190","368.9195137023926","368.9195137023926","368.9195137023926"
"191","367.8892288208008","367.8892288208008","367.8892288208008"
"192","367.72655487060547","367.72655487060547","367.72655487060547"
"193","368.5328254699707","368.5328254699707","368.5328254699707"
"194","369.03295135498047","369.03295135498047","369.03295135498047"
"195","370.1076316833496","370.1076316833496","370.1076316833496"
"196","370.4135932922363","370.4135932922363","370.4135932922363"
"197","369.85435485839844","369.85435485839844","369.85435485839844"
"198","371.5769729614258","371.5769729614258","371.5769729614258"
"199","370.76813888549805","370.76813888549805","370.76813888549805"
"200","370.7098808288574","370.7098808288574","370.7098808288574"
"201","371.70372772216797","371.70372772216797","371.70372772216797"
"202","371.82622146606445","371.82622146606445","371.82622146606445"
"203","372.99566650390625","372.99566650390625","372.99566650390625"
"204","372.43964767456055","372.43964767456055","372.43964767456055"
"205","371.76402282714844","371.76402282714844","371.76402282714844"
"206","372.2628517150879","372.2628517150879","372.2628517150879"
"208","373.92847442626953","373.92847442626953","373.92847442626953"
"209","372.87004470825195","372.87004470825195","372.87004470825195"
"210","374.4220314025879","374.4220314025879","374.4220314025879"
"211","373.1276321411133","373.1276321411133","373.1276321411133"
"212","372.2068672180176","372.2068672180176","372.2068672180176"
"213","372.9436225891113","372.9436225891113","372.9436225891113"
"214","375.1402893066406","375.1402893066406","375.1402893066406"
"215","373.10113525390625","373.10113525390625","373.10113525390625"
"216","376.2899703979492","376.2899703979492","376.2899703979492"
"217","374.2062530517578","374.2062530517578","374.2062530517578"
"218","376.9866142272949","376.9866142272949","376.9866142272949"
"219","375.4044189453125","375.4044189453125","375.4044189453125"
"220","377.13391494750977","377.13391494750977","377.13391494750977"
"221","375.97995376586914","375.97995376586914","375.97995376586914"
"222","376.1812171936035","376.1812171936035","376.1812171936035"
"223","376.616512298584","376.616512298584","376.616512298584"
"224","378.63721466064453","378.63721466064453","378.63721466064453"
"225","377.32983779907227","377.32983779907227","377.32983779907227"
"226","378.41722106933594","378.41722106933594","378.41722106933594"
"227","378.9654846191406","378.9654846191406","378.9654846191406"
"228","378.3109664916992","378.3109664916992","378.3109664916992"
"229","378.18828201293945","378.18828201293945","378.18828201293945"
"230","377.68121337890625","377.68121337890625","377.68121337890625"
"231","380.4595489501953","380.4595489501953","380.4595489501953"
"232","380.1792221069336","380.1792221069336","380.1792221069336"
"234","380.18592071533203","380.18592071533203","380.18592071533203"
"235","381.7390594482422","381.7390594482422","381.7390594482422"
"236","380.27368545532227","380.27368545532227","380.27368545532227"
"237","380.993350982666","380.993350982666","380.993350982666"
"238","381.3553581237793","381.3553581237793","381.3553581237793"
"239","380.63387298583984","380.63387298583984","380.63387298583984"
"240","382.89967346191406","382.89967346191406","382.89967346191406"
"241","381.07385635375977","381.07385635375977","381.07385635375977"
"242","382.1994171142578","382.1994171142578","382.1994171142578"
"243","383.2511177062988","383.2511177062988","383.2511177062988"
"244","381.91769790649414","381.91769790649414","381.91769790649414"
"245","383.27556228637695","383.27556228637695","383.27556228637695"
"246","384.12543869018555","384.12543869018555","384.12543869018555"
"247","385.1601333618164","385.1601333618164","385.1601333618164"
"248","386.4232521057129","386.4232521057129","386.4232521057129"
"249","385.01424407958984","385.01424407958984","385.01424407958984"
"250","385.4798049926758","385.4798049926758","385.4798049926758"
"251","385.03749084472656","385.03749084472656","385.03749084472656"
"252","385.96205139160156","385.96205139160156","385.96205139160156"
"253","386.08362197875977","386.08362197875977","386.08362197875977"
"254","385.1817512512207","385.1817512512207","385.1817512512207"
"255","387.2419853210449","387.2419853210449","387.2419853210449"
"256","386.9267272949219","386.9267272949219","386.9267272949219"
"257","385.29965591430664","385.29965591430664","385.29965591430664"
"258","387.0565490722656","387.0565490722656","387.0565490722656"
"260","385.68408203125","385.68408203125","385.68408203125"
"261","385.9407157897949","385.9407157897949","385.9407157897949"
"262","386.5508804321289","386.5508804321289","386.5508804321289"
"263","388.6290512084961","388.6290512084961","388.6290512084961"
"264","387.19511795043945","387.19511795043945","387.19511795043945"
"265","387.9044761657715","387.9044761657715","387.9044761657715"
"266","389.75389862060547","389.75389862060547","389.75389862060547"
"267","389.9149703979492","389.9149703979492","389.9149703979492"
