"Step","phase1-reasoning - train/layers/l30_mse","phase1-reasoning - train/layers/l30_mse__MIN","phase1-reasoning - train/layers/l30_mse__MAX"
"0","21.65717375278473","21.65717375278473","21.65717375278473"
"1","28.351908206939697","28.351908206939697","28.351908206939697"
"2","24.184087991714478","24.184087991714478","24.184087991714478"
"3","28.976646661758423","28.976646661758423","28.976646661758423"
"4","23.777469873428345","23.777469873428345","23.777469873428345"
"5","25.226787328720093","25.226787328720093","25.226787328720093"
"6","24.608928680419922","24.608928680419922","24.608928680419922"
"7","21.109578490257263","21.109578490257263","21.109578490257263"
"8","24.654802441596985","24.654802441596985","24.654802441596985"
"9","25.09297776222229","25.09297776222229","25.09297776222229"
"10","27.558773279190063","27.558773279190063","27.558773279190063"
"11","21.168558359146118","21.168558359146118","21.168558359146118"
"12","22.17280340194702","22.17280340194702","22.17280340194702"
"13","20.721392273902893","20.721392273902893","20.721392273902893"
"14","21.132070779800415","21.132070779800415","21.132070779800415"
"15","25.129239559173584","25.129239559173584","25.129239559173584"
"16","20.82968544960022","20.82968544960022","20.82968544960022"
"17","24.689329743385315","24.689329743385315","24.689329743385315"
"18","30.262455701828003","30.262455701828003","30.262455701828003"
"19","22.282857418060303","22.282857418060303","22.282857418060303"
"20","21.964088439941406","21.964088439941406","21.964088439941406"
"21","21.51406729221344","21.51406729221344","21.51406729221344"
"22","23.380526065826416","23.380526065826416","23.380526065826416"
"23","21.47432589530945","21.47432589530945","21.47432589530945"
"24","24.21904706954956","24.21904706954956","24.21904706954956"
"26","20.75603222846985","20.75603222846985","20.75603222846985"
"27","23.055217027664185","23.055217027664185","23.055217027664185"
"28","23.119467854499817","23.119467854499817","23.119467854499817"
"29","20.660616755485535","20.660616755485535","20.660616755485535"
"30","23.869447350502014","23.869447350502014","23.869447350502014"
"31","22.130820989608765","22.130820989608765","22.130820989608765"
"32","23.109689712524414","23.109689712524414","23.109689712524414"
"33","23.08166742324829","23.08166742324829","23.08166742324829"
"34","21.55809211730957","21.55809211730957","21.55809211730957"
"35","20.7793630361557","20.7793630361557","20.7793630361557"
"36","19.528398871421814","19.528398871421814","19.528398871421814"
"37","21.182825803756714","21.182825803756714","21.182825803756714"
"38","20.355780005455017","20.355780005455017","20.355780005455017"
"39","24.267115354537964","24.267115354537964","24.267115354537964"
"40","21.17151141166687","21.17151141166687","21.17151141166687"
"41","19.608694791793823","19.608694791793823","19.608694791793823"
"42","21.73082721233368","21.73082721233368","21.73082721233368"
"43","22.802515029907227","22.802515029907227","22.802515029907227"
"44","19.80535399913788","19.80535399913788","19.80535399913788"
"45","22.059038162231445","22.059038162231445","22.059038162231445"
"46","22.08090078830719","22.08090078830719","22.08090078830719"
"47","21.01908826828003","21.01908826828003","21.01908826828003"
"48","20.590129852294922","20.590129852294922","20.590129852294922"
