"Step","phase1-reasoning - val/layers/l30_cos","phase1-reasoning - val/layers/l30_cos__MIN","phase1-reasoning - val/layers/l30_cos__MAX"
"25","0.3510757488012314","0.3510757488012314","0.3510757488012314"
"51","0.34689754962921143","0.34689754962921143","0.34689754962921143"
"77","0.341233657002449","0.341233657002449","0.341233657002449"
"103","0.3392342615127564","0.3392342615127564","0.3392342615127564"
"129","0.3375145721435547","0.3375145721435547","0.3375145721435547"
"155","0.3360409212112427","0.3360409212112427","0.3360409212112427"
"181","0.33206832051277163","0.33206832051277163","0.33206832051277163"
"207","0.3312224680185318","0.3312224680185318","0.3312224680185318"
"233","0.32920032620429995","0.32920032620429995","0.32920032620429995"
"259","0.3245903658866882","0.3245903658866882","0.3245903658866882"
"285","0.32570323765277864","0.32570323765277864","0.32570323765277864"
"311","0.32242825865745545","0.32242825865745545","0.32242825865745545"
"337","0.3197757530212402","0.3197757530212402","0.3197757530212402"
"363","0.3190424406528473","0.3190424406528473","0.3190424406528473"
