"Step","phase1-reasoning - val/layers/l40_mse","phase1-reasoning - val/layers/l40_mse__MIN","phase1-reasoning - val/layers/l40_mse__MAX"
"25","4.724908494949341","4.724908494949341","4.724908494949341"
"51","4.7452354550361635","4.7452354550361635","4.7452354550361635"
"77","4.591304638385773","4.591304638385773","4.591304638385773"
"103","4.4955558848381045","4.4955558848381045","4.4955558848381045"
"129","4.4438298273086545","4.4438298273086545","4.4438298273086545"
"155","4.418552303314209","4.418552303314209","4.418552303314209"
"181","4.337833366394043","4.337833366394043","4.337833366394043"
"207","4.215217773914337","4.215217773914337","4.215217773914337"
"233","4.160636792182922","4.160636792182922","4.160636792182922"
"259","4.063959553241729","4.063959553241729","4.063959553241729"
"285","4.1608644342422485","4.1608644342422485","4.1608644342422485"
"311","4.024994013309478","4.024994013309478","4.024994013309478"
"337","3.998576579093933","3.998576579093933","3.998576579093933"
"363","4.040297682285309","4.040297682285309","4.040297682285309"
