"Step","phase1-reasoning - train/cosine","phase1-reasoning - train/cosine__MIN","phase1-reasoning - train/cosine__MAX"
"0","0.8471811637282372","0.8471811637282372","0.8471811637282372"
"1","0.7728221490979195","0.7728221490979195","0.7728221490979195"
"2","0.7631195709109306","0.7631195709109306","0.7631195709109306"
"3","0.7792885527014732","0.7792885527014732","0.7792885527014732"
"4","0.7781687453389168","0.7781687453389168","0.7781687453389168"
"5","0.8468917980790138","0.8468917980790138","0.8468917980790138"
"6","0.7828341126441956","0.7828341126441956","0.7828341126441956"
"7","0.7615953236818314","0.7615953236818314","0.7615953236818314"
"8","0.8111596703529358","0.8111596703529358","0.8111596703529358"
"9","0.8162356689572334","0.8162356689572334","0.8162356689572334"
"10","0.7848270460963249","0.7848270460963249","0.7848270460963249"
"11","0.786392979323864","0.786392979323864","0.786392979323864"
"12","0.7982260435819626","0.7982260435819626","0.7982260435819626"
"13","0.7875920161604881","0.7875920161604881","0.7875920161604881"
"14","0.8194704130291939","0.8194704130291939","0.8194704130291939"
"15","0.8162512555718422","0.8162512555718422","0.8162512555718422"
"16","0.7429305911064148","0.7429305911064148","0.7429305911064148"
"17","0.7891177609562874","0.7891177609562874","0.7891177609562874"
"18","0.7744135931134224","0.7744135931134224","0.7744135931134224"
"19","0.8569502308964729","0.8569502308964729","0.8569502308964729"
"20","0.7440899387001991","0.7440899387001991","0.7440899387001991"
"21","0.7648053616285324","0.7648053616285324","0.7648053616285324"
"22","0.8531104773283005","0.8531104773283005","0.8531104773283005"
"23","0.762931577861309","0.762931577861309","0.762931577861309"
"24","0.7294836789369583","0.7294836789369583","0.7294836789369583"
"26","0.788968451321125","0.788968451321125","0.788968451321125"
"27","0.7316255569458008","0.7316255569458008","0.7316255569458008"
"28","0.8974546566605568","0.8974546566605568","0.8974546566605568"
"29","0.790748119354248","0.790748119354248","0.790748119354248"
"30","0.778322845697403","0.778322845697403","0.778322845697403"
"31","0.7486781105399132","0.7486781105399132","0.7486781105399132"
"32","0.7335413545370102","0.7335413545370102","0.7335413545370102"
"33","0.7771070972084999","0.7771070972084999","0.7771070972084999"
"34","0.7587770894169807","0.7587770894169807","0.7587770894169807"
"35","0.774099163711071","0.774099163711071","0.774099163711071"
"36","0.7839547395706177","0.7839547395706177","0.7839547395706177"
"37","0.7720644697546959","0.7720644697546959","0.7720644697546959"
"38","0.785254530608654","0.785254530608654","0.785254530608654"
"39","0.8092695325613022","0.8092695325613022","0.8092695325613022"
"40","0.7484834343194962","0.7484834343194962","0.7484834343194962"
"41","0.763623334467411","0.763623334467411","0.763623334467411"
"42","0.7145782709121704","0.7145782709121704","0.7145782709121704"
"43","0.7387992069125175","0.7387992069125175","0.7387992069125175"
"44","0.7116711512207985","0.7116711512207985","0.7116711512207985"
"45","0.8399446830153465","0.8399446830153465","0.8399446830153465"
"46","0.8499622642993927","0.8499622642993927","0.8499622642993927"
"47","0.7415111809968948","0.7415111809968948","0.7415111809968948"
"48","0.7819408476352692","0.7819408476352692","0.7819408476352692"
"49","0.6978553086519241","0.6978553086519241","0.6978553086519241"
"50","0.7182597815990448","0.7182597815990448","0.7182597815990448"
"52","0.7452613562345505","0.7452613562345505","0.7452613562345505"
"53","0.8430402800440788","0.8430402800440788","0.8430402800440788"
"54","0.7287901118397713","0.7287901118397713","0.7287901118397713"
"55","0.8176216036081314","0.8176216036081314","0.8176216036081314"
"56","0.8791215941309929","0.8791215941309929","0.8791215941309929"
"57","0.9039088189601898","0.9039088189601898","0.9039088189601898"
"58","0.6972369626164436","0.6972369626164436","0.6972369626164436"
"59","0.7826262414455414","0.7826262414455414","0.7826262414455414"
"60","0.7593178972601891","0.7593178972601891","0.7593178972601891"
"61","0.7174949124455452","0.7174949124455452","0.7174949124455452"
"62","0.7327372655272484","0.7327372655272484","0.7327372655272484"
"63","0.6935267671942711","0.6935267671942711","0.6935267671942711"
"64","0.7742176428437233","0.7742176428437233","0.7742176428437233"
"65","0.7377987504005432","0.7377987504005432","0.7377987504005432"
"66","0.7235302925109863","0.7235302925109863","0.7235302925109863"
"67","0.7212708219885826","0.7212708219885826","0.7212708219885826"
"68","0.6949730589985847","0.6949730589985847","0.6949730589985847"
"69","0.7863489612936974","0.7863489612936974","0.7863489612936974"
"70","0.7701502442359924","0.7701502442359924","0.7701502442359924"
"71","0.8175711408257484","0.8175711408257484","0.8175711408257484"
"72","0.7083190381526947","0.7083190381526947","0.7083190381526947"
"73","0.904274046421051","0.904274046421051","0.904274046421051"
"74","0.7462060824036598","0.7462060824036598","0.7462060824036598"
"75","0.6990584880113602","0.6990584880113602","0.6990584880113602"
"76","0.7208520099520683","0.7208520099520683","0.7208520099520683"
"78","0.848958395421505","0.848958395421505","0.848958395421505"
"79","0.7768105790019035","0.7768105790019035","0.7768105790019035"
"80","0.768044725060463","0.768044725060463","0.768044725060463"
"81","0.7622102648019791","0.7622102648019791","0.7622102648019791"
"82","0.7800348401069641","0.7800348401069641","0.7800348401069641"
"83","0.7362016588449478","0.7362016588449478","0.7362016588449478"
"84","0.713989295065403","0.713989295065403","0.713989295065403"
"85","0.7193567901849747","0.7193567901849747","0.7193567901849747"
"86","0.7308557629585266","0.7308557629585266","0.7308557629585266"
"87","0.7104474008083344","0.7104474008083344","0.7104474008083344"
"88","0.7179070562124252","0.7179070562124252","0.7179070562124252"
"89","0.715339906513691","0.715339906513691","0.715339906513691"
"90","0.6781486347317696","0.6781486347317696","0.6781486347317696"
