"Step","phase1-reasoning - val/cosine","phase1-reasoning - val/cosine__MIN","phase1-reasoning - val/cosine__MAX"
"25","0.7847078180313111","0.7847078180313111","0.7847078180313111"
"51","0.779142187833786","0.779142187833786","0.779142187833786"
"77","0.758184335231781","0.758184335231781","0.758184335231781"
"103","0.7480905032157898","0.7480905032157898","0.7480905032157898"
"129","0.7408450204133987","0.7408450204133987","0.7408450204133987"
"155","0.7347391438484192","0.7347391438484192","0.7347391438484192"
"181","0.7233063077926636","0.7233063077926636","0.7233063077926636"
"207","0.7133529359102249","0.7133529359102249","0.7133529359102249"
"233","0.7069291234016418","0.7069291234016418","0.7069291234016418"
"259","0.6925468069314956","0.6925468069314956","0.6925468069314956"
"285","0.7023577928543091","0.7023577928543091","0.7023577928543091"
"311","0.6881408965587616","0.6881408965587616","0.6881408965587616"
"337","0.6830817013978958","0.6830817013978958","0.6830817013978958"
"363","0.6834519428014755","0.6834519428014755","0.6834519428014755"
