"Step","phase1-reasoning - val/layers/l20_cos","phase1-reasoning - val/layers/l20_cos__MIN","phase1-reasoning - val/layers/l20_cos__MAX"
"25","0.42055553793907163","0.42055553793907163","0.42055553793907163"
"51","0.41374645054340364","0.41374645054340364","0.41374645054340364"
"77","0.4031959235668182","0.4031959235668182","0.4031959235668182"
"103","0.4025837916135788","0.4025837916135788","0.4025837916135788"
"129","0.4003277713060379","0.4003277713060379","0.4003277713060379"
"155","0.3971060532331467","0.3971060532331467","0.3971060532331467"
"181","0.38951884508132933","0.38951884508132933","0.38951884508132933"
"207","0.3881680679321289","0.3881680679321289","0.3881680679321289"
"233","0.384155974984169","0.384155974984169","0.384155974984169"
"259","0.3768797594308853","0.3768797594308853","0.3768797594308853"
"285","0.38052591383457185","0.38052591383457185","0.38052591383457185"
"311","0.37475789308547974","0.37475789308547974","0.37475789308547974"
"337","0.3730476713180542","0.3730476713180542","0.3730476713180542"
"363","0.3710556268692017","0.3710556268692017","0.3710556268692017"
