"Step","phase1-reasoning - train/layers/l40_mse","phase1-reasoning - train/layers/l40_mse__MIN","phase1-reasoning - train/layers/l40_mse__MAX"
"0","5.111986696720123","5.111986696720123","5.111986696720123"
"1","4.874891519546509","4.874891519546509","4.874891519546509"
"2","4.632533878087997","4.632533878087997","4.632533878087997"
"3","4.385174602270126","4.385174602270126","4.385174602270126"
"4","4.789164960384369","4.789164960384369","4.789164960384369"
"5","4.953676104545593","4.953676104545593","4.953676104545593"
"6","4.900003552436829","4.900003552436829","4.900003552436829"
"7","4.771010041236877","4.771010041236877","4.771010041236877"
"8","5.24230021238327","5.24230021238327","5.24230021238327"
"9","5.388487279415131","5.388487279415131","5.388487279415131"
"10","4.974696666002274","4.974696666002274","4.974696666002274"
"11","4.909459888935089","4.909459888935089","4.909459888935089"
"12","4.940705478191376","4.940705478191376","4.940705478191376"
"13","4.912349224090576","4.912349224090576","4.912349224090576"
"14","5.047120094299316","5.047120094299316","5.047120094299316"
"15","5.264069885015488","5.264069885015488","5.264069885015488"
"16","4.545775592327118","4.545775592327118","4.545775592327118"
"17","4.868743747472763","4.868743747472763","4.868743747472763"
"18","4.601897269487381","4.601897269487381","4.601897269487381"
"19","5.070652902126312","5.070652902126312","5.070652902126312"
"20","4.827276647090912","4.827276647090912","4.827276647090912"
"21","4.6277430057525635","4.6277430057525635","4.6277430057525635"
"22","5.262453138828278","5.262453138828278","5.262453138828278"
"23","4.480764001607895","4.480764001607895","4.480764001607895"
"24","4.11244723200798","4.11244723200798","4.11244723200798"
"26","4.900395691394806","4.900395691394806","4.900395691394806"
"27","4.611690521240234","4.611690521240234","4.611690521240234"
"28","5.914099872112274","5.914099872112274","5.914099872112274"
"29","5.007115602493286","5.007115602493286","5.007115602493286"
"30","4.874704152345657","4.874704152345657","4.874704152345657"
"31","4.916726261377335","4.916726261377335","4.916726261377335"
"32","3.985430896282196","3.985430896282196","3.985430896282196"
"33","4.86766454577446","4.86766454577446","4.86766454577446"
"34","4.793155252933502","4.793155252933502","4.793155252933502"
"35","4.894362211227417","4.894362211227417","4.894362211227417"
"36","5.1801358461380005","5.1801358461380005","5.1801358461380005"
"37","4.867545008659363","4.867545008659363","4.867545008659363"
