"Step","youthful-eon-43 - div_loss","youthful-eon-43 - div_loss__MIN","youthful-eon-43 - div_loss__MAX"
"0","0.9958106279373169","0.9958106279373169","0.9958106279373169"
"10","0.7998168468475342","0.7998168468475342","0.7998168468475342"
"20","0.7732464075088501","0.7732464075088501","0.7732464075088501"
"30","0.4180768132209778","0.4180768132209778","0.4180768132209778"
"40","0.09753721952438354","0.09753721952438354","0.09753721952438354"
"50","-0.061416059732437134","-0.061416059732437134","-0.061416059732437134"
"60","-0.006223099771887064","-0.006223099771887064","-0.006223099771887064"
"70","0.14241909980773926","0.14241909980773926","0.14241909980773926"
"80","0.15601471066474915","0.15601471066474915","0.15601471066474915"
"90","-0.1363409459590912","-0.1363409459590912","-0.1363409459590912"
"100","-0.13420140743255615","-0.13420140743255615","-0.13420140743255615"
"110","-0.06487320363521576","-0.06487320363521576","-0.06487320363521576"
"120","-0.060902632772922516","-0.060902632772922516","-0.060902632772922516"
"130","0.6482813358306885","0.6482813358306885","0.6482813358306885"
"140","0.1437135934829712","0.1437135934829712","0.1437135934829712"
"150","0.085647813975811","0.085647813975811","0.085647813975811"
"160","-0.06655769050121307","-0.06655769050121307","-0.06655769050121307"
"170","-0.10859563946723938","-0.10859563946723938","-0.10859563946723938"
"180","0.19223922491073608","0.19223922491073608","0.19223922491073608"
"190","0.17801284790039062","0.17801284790039062","0.17801284790039062"
"200","0.08611784875392914","0.08611784875392914","0.08611784875392914"
"210","0.15114250779151917","0.15114250779151917","0.15114250779151917"
"220","-0.05841119587421417","-0.05841119587421417","-0.05841119587421417"
"230","0.14837920665740967","0.14837920665740967","0.14837920665740967"
"240","-0.08367397636175156","-0.08367397636175156","-0.08367397636175156"
"250","0.003985542804002762","0.003985542804002762","0.003985542804002762"
"260","-0.08244992047548294","-0.08244992047548294","-0.08244992047548294"
"270","-0.0404500812292099","-0.0404500812292099","-0.0404500812292099"
"280","-0.0606633685529232","-0.0606633685529232","-0.0606633685529232"
"290","-0.045086055994033813","-0.045086055994033813","-0.045086055994033813"
"300","-0.07053449749946594","-0.07053449749946594","-0.07053449749946594"
"310","-0.07100164890289307","-0.07100164890289307","-0.07100164890289307"
"320","-0.025948595255613327","-0.025948595255613327","-0.025948595255613327"
"330","-0.062386658042669296","-0.062386658042669296","-0.062386658042669296"
"340","0.017209026962518692","0.017209026962518692","0.017209026962518692"
"350","-0.03411249816417694","-0.03411249816417694","-0.03411249816417694"
"360","0.007893556728959084","0.007893556728959084","0.007893556728959084"
"370","-0.1199038177728653","-0.1199038177728653","-0.1199038177728653"
"380","-0.07011636346578598","-0.07011636346578598","-0.07011636346578598"
"390","-0.1250690221786499","-0.1250690221786499","-0.1250690221786499"
"400","-0.07008307427167892","-0.07008307427167892","-0.07008307427167892"
"410","-0.0870765894651413","-0.0870765894651413","-0.0870765894651413"
"420","0.15448454022407532","0.15448454022407532","0.15448454022407532"
"430","-0.07915137708187103","-0.07915137708187103","-0.07915137708187103"
"440","-0.07112371921539307","-0.07112371921539307","-0.07112371921539307"
"450","-0.0702800378203392","-0.0702800378203392","-0.0702800378203392"
"460","-0.14228743314743042","-0.14228743314743042","-0.14228743314743042"
"470","-0.1403801143169403","-0.1403801143169403","-0.1403801143169403"
"480","0.999327540397644","0.999327540397644","0.999327540397644"
"490","0.14229515194892883","0.14229515194892883","0.14229515194892883"
"500","-0.06357568502426147","-0.06357568502426147","-0.06357568502426147"
"510","-0.13605934381484985","-0.13605934381484985","-0.13605934381484985"
"520","-0.07080505043268204","-0.07080505043268204","-0.07080505043268204"
"530","-0.13288874924182892","-0.13288874924182892","-0.13288874924182892"
"540","-0.0658440813422203","-0.0658440813422203","-0.0658440813422203"
"550","-0.08078398555517197","-0.08078398555517197","-0.08078398555517197"
"560","0.14452847838401794","0.14452847838401794","0.14452847838401794"
"570","-0.0687251091003418","-0.0687251091003418","-0.0687251091003418"
"580","0.14264386892318726","0.14264386892318726","0.14264386892318726"
"590","-0.06001778319478035","-0.06001778319478035","-0.06001778319478035"
"600","0.522732138633728","0.522732138633728","0.522732138633728"
"610","0.1435050070285797","0.1435050070285797","0.1435050070285797"
"620","0.14364095032215118","0.14364095032215118","0.14364095032215118"
"630","-0.14189067482948303","-0.14189067482948303","-0.14189067482948303"
"640","-0.07125858217477798","-0.07125858217477798","-0.07125858217477798"
"650","0.14326989650726318","0.14326989650726318","0.14326989650726318"
"660","-0.11932355910539627","-0.11932355910539627","-0.11932355910539627"
"670","0.9998691082000732","0.9998691082000732","0.9998691082000732"
"680","-0.0702219232916832","-0.0702219232916832","-0.0702219232916832"
"690","0.14536377787590027","0.14536377787590027","0.14536377787590027"
"700","-0.06699089705944061","-0.06699089705944061","-0.06699089705944061"
"710","-0.07126183062791824","-0.07126183062791824","-0.07126183062791824"
"720","0.13511121273040771","0.13511121273040771","0.13511121273040771"
"730","0.12856274843215942","0.12856274843215942","0.12856274843215942"
"740","0.1449286788702011","0.1449286788702011","0.1449286788702011"
"750","0.5001178979873657","0.5001178979873657","0.5001178979873657"
"760","0.4999912977218628","0.4999912977218628","0.4999912977218628"
"770","-0.14069460332393646","-0.14069460332393646","-0.14069460332393646"
"780","-0.07090681791305542","-0.07090681791305542","-0.07090681791305542"
"790","-0.05957459658384323","-0.05957459658384323","-0.05957459658384323"
"800","0.14345180988311768","0.14345180988311768","0.14345180988311768"
"810","0.9632503986358643","0.9632503986358643","0.9632503986358643"
"820","0.9957085847854614","0.9957085847854614","0.9957085847854614"
"830","0.9999122619628906","0.9999122619628906","0.9999122619628906"
"840","0.9999377131462097","0.9999377131462097","0.9999377131462097"
"850","0.9999691247940063","0.9999691247940063","0.9999691247940063"
"860","0.9999443292617798","0.9999443292617798","0.9999443292617798"
"870","0.9999451637268066","0.9999451637268066","0.9999451637268066"
"880","0.9999391436576843","0.9999391436576843","0.9999391436576843"
"890","0.9999101161956787","0.9999101161956787","0.9999101161956787"
"900","0.999850332736969","0.999850332736969","0.999850332736969"
"910","0.999862551689148","0.999862551689148","0.999862551689148"
"920","0.9998302459716797","0.9998302459716797","0.9998302459716797"
"930","0.9999536275863647","0.9999536275863647","0.9999536275863647"
"940","0.9998494386672974","0.9998494386672974","0.9998494386672974"
"950","0.9997313022613525","0.9997313022613525","0.9997313022613525"
"960","0.9998694658279419","0.9998694658279419","0.9998694658279419"
"970","0.9997541904449463","0.9997541904449463","0.9997541904449463"
"980","0.9996573328971863","0.9996573328971863","0.9996573328971863"
"990","0.9995578527450562","0.9995578527450562","0.9995578527450562"
"1000","0.9996905326843262","0.9996905326843262","0.9996905326843262"
"1010","0.9993008375167847","0.9993008375167847","0.9993008375167847"
"1020","0.9991104006767273","0.9991104006767273","0.9991104006767273"
"1030","0.9990782737731934","0.9990782737731934","0.9990782737731934"
"1040","0.9986552000045776","0.9986552000045776","0.9986552000045776"
"1050","0.9982239007949829","0.9982239007949829","0.9982239007949829"
