"Step","phase1-reasoning - grad_norm","phase1-reasoning - grad_norm__MIN","phase1-reasoning - grad_norm__MAX"
"0","Infinity","",""
"1","Infinity","",""
"2","24.655532836914062","24.655532836914062","24.655532836914062"
"3","16.423473358154297","16.423473358154297","16.423473358154297"
"4","16.219802856445312","16.219802856445312","16.219802856445312"
"5","28.863718032836914","28.863718032836914","28.863718032836914"
"6","35.35020446777344","35.35020446777344","35.35020446777344"
"7","20.974140167236328","20.974140167236328","20.974140167236328"
"8","Infinity","",""
"9","14.780790328979492","14.780790328979492","14.780790328979492"
"10","42.817359924316406","42.817359924316406","42.817359924316406"
"11","17.086050033569336","17.086050033569336","17.086050033569336"
"12","9.465476036071777","9.465476036071777","9.465476036071777"
"13","9.507925987243652","9.507925987243652","9.507925987243652"
"14","13.147409439086914","13.147409439086914","13.147409439086914"
"15","14.570160865783691","14.570160865783691","14.570160865783691"
"16","5.511861324310303","5.511861324310303","5.511861324310303"
"17","8.31993293762207","8.31993293762207","8.31993293762207"
"18","5.405054092407227","5.405054092407227","5.405054092407227"
"19","17.204099655151367","17.204099655151367","17.204099655151367"
"20","11.496258735656738","11.496258735656738","11.496258735656738"
"21","9.544808387756348","9.544808387756348","9.544808387756348"
"22","9.95312786102295","9.95312786102295","9.95312786102295"
"23","29.44999122619629","29.44999122619629","29.44999122619629"
"24","Infinity","",""
"25","18.590429306030273","18.590429306030273","18.590429306030273"
"26","25.574857711791992","25.574857711791992","25.574857711791992"
"27","25.311630249023438","25.311630249023438","25.311630249023438"
"28","32.39917755126953","32.39917755126953","32.39917755126953"
"29","17.060144424438477","17.060144424438477","17.060144424438477"
"30","15.646729469299316","15.646729469299316","15.646729469299316"
"31","9.455084800720215","9.455084800720215","9.455084800720215"
"32","9.005416870117188","9.005416870117188","9.005416870117188"
"33","20.667709350585938","20.667709350585938","20.667709350585938"
"34","9.440516471862793","9.440516471862793","9.440516471862793"
"35","9.975088119506836","9.975088119506836","9.975088119506836"
"36","8.12627124786377","8.12627124786377","8.12627124786377"
"37","15.206443786621094","15.206443786621094","15.206443786621094"
"38","13.08189582824707","13.08189582824707","13.08189582824707"
"39","19.033397674560547","19.033397674560547","19.033397674560547"
"40","12.905344009399414","12.905344009399414","12.905344009399414"
"41","13.147870063781738","13.147870063781738","13.147870063781738"
"42","25.388845443725586","25.388845443725586","25.388845443725586"
"43","27.780029296875","27.780029296875","27.780029296875"
