"Step","phase1-reasoning - grad_norm","phase1-reasoning - grad_norm__MIN","phase1-reasoning - grad_norm__MAX"
"0","Infinity","",""
"1","Infinity","",""
"44","13.159088134765625","13.159088134765625","13.159088134765625"
"45","24.131458282470703","24.131458282470703","24.131458282470703"
"46","9.605962753295898","9.605962753295898","9.605962753295898"
"47","6.09705114364624","6.09705114364624","6.09705114364624"
"48","20.277055740356445","20.277055740356445","20.277055740356445"
"49","33.10042953491211","33.10042953491211","33.10042953491211"
"50","16.918521881103516","16.918521881103516","16.918521881103516"
"51","62.22867965698242","62.22867965698242","62.22867965698242"
"52","14.573497772216797","14.573497772216797","14.573497772216797"
"53","88.62966918945312","88.62966918945312","88.62966918945312"
"54","41.719913482666016","41.719913482666016","41.719913482666016"
"55","14.144877433776855","14.144877433776855","14.144877433776855"
"56","9.588221549987793","9.588221549987793","9.588221549987793"
"57","33.99022674560547","33.99022674560547","33.99022674560547"
"58","45.84931945800781","45.84931945800781","45.84931945800781"
"59","29.725040435791016","29.725040435791016","29.725040435791016"
"60","14.748013496398926","14.748013496398926","14.748013496398926"
"61","36.33158493041992","36.33158493041992","36.33158493041992"
"62","31.491165161132812","31.491165161132812","31.491165161132812"
"63","16.14027214050293","16.14027214050293","16.14027214050293"
"64","21.37305450439453","21.37305450439453","21.37305450439453"
"65","10.477972030639648","10.477972030639648","10.477972030639648"
"66","7.993947982788086","7.993947982788086","7.993947982788086"
"67","14.383591651916504","14.383591651916504","14.383591651916504"
"68","15.62341594696045","15.62341594696045","15.62341594696045"
"69","13.600873947143555","13.600873947143555","13.600873947143555"
"70","19.994041442871094","19.994041442871094","19.994041442871094"
"71","6.703188896179199","6.703188896179199","6.703188896179199"
"72","16.557689666748047","16.557689666748047","16.557689666748047"
"73","12.989350318908691","12.989350318908691","12.989350318908691"
"74","14.717789649963379","14.717789649963379","14.717789649963379"
"75","26.250728607177734","26.250728607177734","26.250728607177734"
"76","21.52029800415039","21.52029800415039","21.52029800415039"
"77","19.911056518554688","19.911056518554688","19.911056518554688"
"78","10.242923736572266","10.242923736572266","10.242923736572266"
"79","22.097362518310547","22.097362518310547","22.097362518310547"
"80","22.682140350341797","22.682140350341797","22.682140350341797"
"81","22.39129066467285","22.39129066467285","22.39129066467285"
"82","49.09337615966797","49.09337615966797","49.09337615966797"
"83","23.590200424194336","23.590200424194336","23.590200424194336"
"84","43.78522872924805","43.78522872924805","43.78522872924805"
"85","13.499019622802734","13.499019622802734","13.499019622802734"
"86","24.41814613342285","24.41814613342285","24.41814613342285"
"87","28.013652801513672","28.013652801513672","28.013652801513672"
"88","20.066293716430664","20.066293716430664","20.066293716430664"
"89","22.55406951904297","22.55406951904297","22.55406951904297"
"90","16.551511764526367","16.551511764526367","16.551511764526367"
"91","44.85708236694336","44.85708236694336","44.85708236694336"
"92","45.17595672607422","45.17595672607422","45.17595672607422"
"93","47.80632019042969","47.80632019042969","47.80632019042969"
"94","13.45206069946289","13.45206069946289","13.45206069946289"
"95","34.80915832519531","34.80915832519531","34.80915832519531"
"96","22.773128509521484","22.773128509521484","22.773128509521484"
"97","10.6139554977417","10.6139554977417","10.6139554977417"
"98","10.14687442779541","10.14687442779541","10.14687442779541"
"99","9.100081443786621","9.100081443786621","9.100081443786621"
"100","49.11789321899414","49.11789321899414","49.11789321899414"
"101","8.941732406616211","8.941732406616211","8.941732406616211"
"102","9.387673377990723","9.387673377990723","9.387673377990723"
"103","11.08397388458252","11.08397388458252","11.08397388458252"
"104","18.972301483154297","18.972301483154297","18.972301483154297"
"105","12.00883960723877","12.00883960723877","12.00883960723877"
"106","12.21030044555664","12.21030044555664","12.21030044555664"
"107","33.22658157348633","33.22658157348633","33.22658157348633"
"108","29.14349937438965","29.14349937438965","29.14349937438965"
"109","21.09846305847168","21.09846305847168","21.09846305847168"
"110","33.75865936279297","33.75865936279297","33.75865936279297"
"111","29.853538513183594","29.853538513183594","29.853538513183594"
"112","14.398555755615234","14.398555755615234","14.398555755615234"
"113","13.734430313110352","13.734430313110352","13.734430313110352"
"114","20.037870407104492","20.037870407104492","20.037870407104492"
"115","21.026508331298828","21.026508331298828","21.026508331298828"
"116","8.201912879943848","8.201912879943848","8.201912879943848"
"117","17.747737884521484","17.747737884521484","17.747737884521484"
"118","21.443607330322266","21.443607330322266","21.443607330322266"
"119","14.298768043518066","14.298768043518066","14.298768043518066"
"120","20.155824661254883","20.155824661254883","20.155824661254883"
"121","23.216812133789062","23.216812133789062","23.216812133789062"
"122","28.163454055786133","28.163454055786133","28.163454055786133"
"123","13.003475189208984","13.003475189208984","13.003475189208984"
"124","15.635272979736328","15.635272979736328","15.635272979736328"
"125","12.499128341674805","12.499128341674805","12.499128341674805"
"126","26.664655685424805","26.664655685424805","26.664655685424805"
"127","12.61758804321289","12.61758804321289","12.61758804321289"
"128","8.294620513916016","8.294620513916016","8.294620513916016"
"129","12.204066276550293","12.204066276550293","12.204066276550293"
"130","15.940814971923828","15.940814971923828","15.940814971923828"
"131","39.13614273071289","39.13614273071289","39.13614273071289"
"132","59.96808624267578","59.96808624267578","59.96808624267578"
"133","24.951608657836914","24.951608657836914","24.951608657836914"
"134","19.807159423828125","19.807159423828125","19.807159423828125"
"135","13.526723861694336","13.526723861694336","13.526723861694336"
"136","24.319747924804688","24.319747924804688","24.319747924804688"
"137","16.262178421020508","16.262178421020508","16.262178421020508"
"138","11.124166488647461","11.124166488647461","11.124166488647461"
"139","19.076404571533203","19.076404571533203","19.076404571533203"
"140","35.65436553955078","35.65436553955078","35.65436553955078"
"141","15.13720703125","15.13720703125","15.13720703125"
"142","11.100632667541504","11.100632667541504","11.100632667541504"
"143","9.875263214111328","9.875263214111328","9.875263214111328"
"144","12.316088676452637","12.316088676452637","12.316088676452637"
"145","9.369729995727539","9.369729995727539","9.369729995727539"
"146","19.421188354492188","19.421188354492188","19.421188354492188"
"147","10.417993545532227","10.417993545532227","10.417993545532227"
"148","7.005206108093262","7.005206108093262","7.005206108093262"
"149","12.381821632385254","12.381821632385254","12.381821632385254"
"150","46.40787887573242","46.40787887573242","46.40787887573242"
"151","19.90696144104004","19.90696144104004","19.90696144104004"
"152","14.008712768554688","14.008712768554688","14.008712768554688"
"153","8.767937660217285","8.767937660217285","8.767937660217285"
