"Step","phase1-reasoning - train/l20_mse","phase1-reasoning - train/l20_mse__MIN","phase1-reasoning - train/l20_mse__MAX"
"0","10.518582582473755","10.518582582473755","10.518582582473755"
"1","5.754241645336151","5.754241645336151","5.754241645336151"
"2","5.459997653961182","5.459997653961182","5.459997653961182"
"3","5.595701336860657","5.595701336860657","5.595701336860657"
"4","7.047691762447357","7.047691762447357","7.047691762447357"
"5","7.162265777587891","7.162265777587891","7.162265777587891"
"6","7.399224877357483","7.399224877357483","7.399224877357483"
"7","4.929417312145233","4.929417312145233","4.929417312145233"
"8","9.885224878787994","9.885224878787994","9.885224878787994"
"9","7.361237049102783","7.361237049102783","7.361237049102783"
"10","8.185367703437805","8.185367703437805","8.185367703437805"
"11","6.500577867031097","6.500577867031097","6.500577867031097"
"12","7.245798110961914","7.245798110961914","7.245798110961914"
"13","8.699940025806427","8.699940025806427","8.699940025806427"
"14","6.488221228122711","6.488221228122711","6.488221228122711"
"15","6.108371794223785","6.108371794223785","6.108371794223785"
"16","4.308131754398346","4.308131754398346","4.308131754398346"
"17","9.562346279621124","9.562346279621124","9.562346279621124"
"18","2.283722221851349","2.283722221851349","2.283722221851349"
"19","7.996443808078766","7.996443808078766","7.996443808078766"
"20","7.119701564311981","7.119701564311981","7.119701564311981"
"21","5.545629441738129","5.545629441738129","5.545629441738129"
"22","5.623391151428223","5.623391151428223","5.623391151428223"
"23","7.521678626537323","7.521678626537323","7.521678626537323"
"24","7.6543702483177185","7.6543702483177185","7.6543702483177185"
"25","7.171019792556763","7.171019792556763","7.171019792556763"
"26","10.544154703617096","10.544154703617096","10.544154703617096"
"27","6.213115990161896","6.213115990161896","6.213115990161896"
"28","5.786687910556793","5.786687910556793","5.786687910556793"
"29","7.019061088562012","7.019061088562012","7.019061088562012"
"30","8.45727413892746","8.45727413892746","8.45727413892746"
"31","9.248279988765717","9.248279988765717","9.248279988765717"
"32","6.193161308765411","6.193161308765411","6.193161308765411"
"33","7.786516964435577","7.786516964435577","7.786516964435577"
"34","7.4172292947769165","7.4172292947769165","7.4172292947769165"
"35","4.870355904102325","4.870355904102325","4.870355904102325"
"36","4.796814858913422","4.796814858913422","4.796814858913422"
"37","7.5360535979270935","7.5360535979270935","7.5360535979270935"
"38","4.527748942375183","4.527748942375183","4.527748942375183"
"39","8.966097950935364","8.966097950935364","8.966097950935364"
"40","6.150839447975159","6.150839447975159","6.150839447975159"
"41","5.460618853569031","5.460618853569031","5.460618853569031"
"42","6.651963591575623","6.651963591575623","6.651963591575623"
"43","8.148418605327606","8.148418605327606","8.148418605327606"
"44","8.00736004114151","8.00736004114151","8.00736004114151"
"45","6.870116651058197","6.870116651058197","6.870116651058197"
"46","6.973379194736481","6.973379194736481","6.973379194736481"
"47","9.3338041305542","9.3338041305542","9.3338041305542"
"48","4.333661913871765","4.333661913871765","4.333661913871765"
"49","7.909515857696533","7.909515857696533","7.909515857696533"
"50","7.452525794506073","7.452525794506073","7.452525794506073"
"51","6.169567763805389","6.169567763805389","6.169567763805389"
"52","5.798266410827637","5.798266410827637","5.798266410827637"
"53","6.448582231998444","6.448582231998444","6.448582231998444"
"54","11.376738429069519","11.376738429069519","11.376738429069519"
"55","5.075447976589203","5.075447976589203","5.075447976589203"
"56","5.0750075578689575","5.0750075578689575","5.0750075578689575"
"57","4.1395875215530396","4.1395875215530396","4.1395875215530396"
"58","5.893692135810852","5.893692135810852","5.893692135810852"
"59","5.8126291036605835","5.8126291036605835","5.8126291036605835"
"60","4.808591842651367","4.808591842651367","4.808591842651367"
"61","5.727336943149567","5.727336943149567","5.727336943149567"
"62","5.8147565722465515","5.8147565722465515","5.8147565722465515"
"63","5.692368149757385","5.692368149757385","5.692368149757385"
"64","6.106038510799408","6.106038510799408","6.106038510799408"
"65","5.030332088470459","5.030332088470459","5.030332088470459"
"66","5.197298169136047","5.197298169136047","5.197298169136047"
"67","6.517273545265198","6.517273545265198","6.517273545265198"
"68","5.0229270458221436","5.0229270458221436","5.0229270458221436"
"69","4.467040538787842","4.467040538787842","4.467040538787842"
"70","5.466439187526703","5.466439187526703","5.466439187526703"
"71","2.962023079395294","2.962023079395294","2.962023079395294"
"72","6.062564790248871","6.062564790248871","6.062564790248871"
"73","6.260782361030579","6.260782361030579","6.260782361030579"
"74","5.028662383556366","5.028662383556366","5.028662383556366"
"75","5.39162814617157","5.39162814617157","5.39162814617157"
"76","5.055440127849579","5.055440127849579","5.055440127849579"
"77","6.369462102651596","6.369462102651596","6.369462102651596"
"78","5.93596351146698","5.93596351146698","5.93596351146698"
"79","6.150525271892548","6.150525271892548","6.150525271892548"
"80","5.812655866146088","5.812655866146088","5.812655866146088"
"81","6.566515326499939","6.566515326499939","6.566515326499939"
"82","8.041219890117645","8.041219890117645","8.041219890117645"
"83","5.170354783535004","5.170354783535004","5.170354783535004"
"84","6.474351584911346","6.474351584911346","6.474351584911346"
"85","5.458375155925751","5.458375155925751","5.458375155925751"
"86","6.333750486373901","6.333750486373901","6.333750486373901"
"87","5.306287348270416","5.306287348270416","5.306287348270416"
"88","5.724426567554474","5.724426567554474","5.724426567554474"
"89","6.993697822093964","6.993697822093964","6.993697822093964"
"90","6.151854932308197","6.151854932308197","6.151854932308197"
"91","5.209925293922424","5.209925293922424","5.209925293922424"
"92","5.586573243141174","5.586573243141174","5.586573243141174"
"93","5.311536967754364","5.311536967754364","5.311536967754364"
"94","4.848324775695801","4.848324775695801","4.848324775695801"
"95","7.124507546424866","7.124507546424866","7.124507546424866"
