"Step","phase1-reasoning - train/l40_cos","phase1-reasoning - train/l40_cos__MIN","phase1-reasoning - train/l40_cos__MAX"
"0","0.34441031515598297","0.34441031515598297","0.34441031515598297"
"1","0.48831871151924133","0.48831871151924133","0.48831871151924133"
"2","0.5619620680809021","0.5619620680809021","0.5619620680809021"
"3","0.37287892401218414","0.37287892401218414","0.37287892401218414"
"4","0.2866877317428589","0.2866877317428589","0.2866877317428589"
"5","0.38991808891296387","0.38991808891296387","0.38991808891296387"
"6","0.2906576842069626","0.2906576842069626","0.2906576842069626"
"7","0.49682724475860596","0.49682724475860596","0.49682724475860596"
"8","0.3710637539625168","0.3710637539625168","0.3710637539625168"
"9","0.49380388855934143","0.49380388855934143","0.49380388855934143"
"10","0.4094194322824478","0.4094194322824478","0.4094194322824478"
"11","0.36340731382369995","0.36340731382369995","0.36340731382369995"
"12","0.36115994304418564","0.36115994304418564","0.36115994304418564"
"13","0.30700717866420746","0.30700717866420746","0.30700717866420746"
"14","0.3517425209283829","0.3517425209283829","0.3517425209283829"
"15","0.5012192279100418","0.5012192279100418","0.5012192279100418"
"16","0.6546228677034378","0.6546228677034378","0.6546228677034378"
"17","0.37650521844625473","0.37650521844625473","0.37650521844625473"
"18","0.7489016726613045","0.7489016726613045","0.7489016726613045"
"19","0.3977638855576515","0.3977638855576515","0.3977638855576515"
"20","0.3053737059235573","0.3053737059235573","0.3053737059235573"
"21","0.45661864429712296","0.45661864429712296","0.45661864429712296"
"22","0.5159384310245514","0.5159384310245514","0.5159384310245514"
"23","0.36653900146484375","0.36653900146484375","0.36653900146484375"
"24","0.40214379876852036","0.40214379876852036","0.40214379876852036"
"25","0.4474518150091171","0.4474518150091171","0.4474518150091171"
"26","0.30133287608623505","0.30133287608623505","0.30133287608623505"
"27","0.2867002487182617","0.2867002487182617","0.2867002487182617"
"28","0.4902185797691345","0.4902185797691345","0.4902185797691345"
"29","0.459983266890049","0.459983266890049","0.459983266890049"
"30","0.48310641199350357","0.48310641199350357","0.48310641199350357"
"31","0.28621985763311386","0.28621985763311386","0.28621985763311386"
"32","0.3454224690794945","0.3454224690794945","0.3454224690794945"
"33","0.35590890049934387","0.35590890049934387","0.35590890049934387"
"34","0.38427042216062546","0.38427042216062546","0.38427042216062546"
"35","0.48031309992074966","0.48031309992074966","0.48031309992074966"
"36","0.47852569818496704","0.47852569818496704","0.47852569818496704"
"37","0.28141166269779205","0.28141166269779205","0.28141166269779205"
