"Step","phase1-reasoning - train/l40_mse","phase1-reasoning - train/l40_mse__MIN","phase1-reasoning - train/l40_mse__MAX"
"0","4.9493120312690735","4.9493120312690735","4.9493120312690735"
"1","3.7048853039741516","3.7048853039741516","3.7048853039741516"
"2","3.190174162387848","3.190174162387848","3.190174162387848"
"3","4.019556820392609","4.019556820392609","4.019556820392609"
"4","4.496197581291199","4.496197581291199","4.496197581291199"
"5","3.852349638938904","3.852349638938904","3.852349638938904"
"6","4.811585009098053","4.811585009098053","4.811585009098053"
"7","3.5228688716888428","3.5228688716888428","3.5228688716888428"
"8","4.447837054729462","4.447837054729462","4.447837054729462"
"9","3.814621150493622","3.814621150493622","3.814621150493622"
"10","3.914180278778076","3.914180278778076","3.914180278778076"
"11","3.401004284620285","3.401004284620285","3.401004284620285"
"12","4.066790223121643","4.066790223121643","4.066790223121643"
"13","4.198629081249237","4.198629081249237","4.198629081249237"
"14","4.100061357021332","4.100061357021332","4.100061357021332"
"15","3.4189741611480713","3.4189741611480713","3.4189741611480713"
"16","2.171292781829834","2.171292781829834","2.171292781829834"
"17","4.241576552391052","4.241576552391052","4.241576552391052"
"18","1.3852845132350922","1.3852845132350922","1.3852845132350922"
"19","3.9798282980918884","3.9798282980918884","3.9798282980918884"
"20","4.868610829114914","4.868610829114914","4.868610829114914"
"21","3.59920135140419","3.59920135140419","3.59920135140419"
"22","4.1234418749809265","4.1234418749809265","4.1234418749809265"
"23","4.282440155744553","4.282440155744553","4.282440155744553"
"24","4.072689235210419","4.072689235210419","4.072689235210419"
"25","3.3372474014759064","3.3372474014759064","3.3372474014759064"
"26","5.205412417650223","5.205412417650223","5.205412417650223"
"27","4.4007588326931","4.4007588326931","4.4007588326931"
"28","3.5863344073295593","3.5863344073295593","3.5863344073295593"
"29","3.300909161567688","3.300909161567688","3.300909161567688"
"30","3.2645042836666107","3.2645042836666107","3.2645042836666107"
"31","4.324718147516251","4.324718147516251","4.324718147516251"
"32","3.6471706330776215","3.6471706330776215","3.6471706330776215"
"33","3.7338063716888428","3.7338063716888428","3.7338063716888428"
"34","3.8826053142547607","3.8826053142547607","3.8826053142547607"
"35","3.4359587132930756","3.4359587132930756","3.4359587132930756"
"36","3.759966164827347","3.759966164827347","3.759966164827347"
"37","4.574656844139099","4.574656844139099","4.574656844139099"
"38","3.357537090778351","3.357537090778351","3.357537090778351"
"39","3.7104783952236176","3.7104783952236176","3.7104783952236176"
"40","4.095136404037476","4.095136404037476","4.095136404037476"
"41","2.4397385120391846","2.4397385120391846","2.4397385120391846"
"42","3.4646488428115845","3.4646488428115845","3.4646488428115845"
"43","4.274926871061325","4.274926871061325","4.274926871061325"
"44","3.987957149744034","3.987957149744034","3.987957149744034"
"45","3.694677233695984","3.694677233695984","3.694677233695984"
"46","4.0665923953056335","4.0665923953056335","4.0665923953056335"
"47","3.056887537240982","3.056887537240982","3.056887537240982"
"48","3.1637810468673706","3.1637810468673706","3.1637810468673706"
"49","3.9656476080417633","3.9656476080417633","3.9656476080417633"
"50","3.3646357655525208","3.3646357655525208","3.3646357655525208"
"51","4.28122216463089","4.28122216463089","4.28122216463089"
"52","4.667408138513565","4.667408138513565","4.667408138513565"
"53","3.7793375849723816","3.7793375849723816","3.7793375849723816"
"54","3.5267898738384247","3.5267898738384247","3.5267898738384247"
"55","3.385177880525589","3.385177880525589","3.385177880525589"
"56","2.9428280889987946","2.9428280889987946","2.9428280889987946"
"57","3.1830129623413086","3.1830129623413086","3.1830129623413086"
"58","5.468657940626144","5.468657940626144","5.468657940626144"
"59","4.5342137813568115","4.5342137813568115","4.5342137813568115"
"60","3.4046279191970825","3.4046279191970825","3.4046279191970825"
"61","4.075308382511139","4.075308382511139","4.075308382511139"
"62","3.4967859089374542","3.4967859089374542","3.4967859089374542"
"63","4.1617451608181","4.1617451608181","4.1617451608181"
"64","4.230701774358749","4.230701774358749","4.230701774358749"
"65","3.252389967441559","3.252389967441559","3.252389967441559"
"66","3.2516628205776215","3.2516628205776215","3.2516628205776215"
"67","4.51028898358345","4.51028898358345","4.51028898358345"
"68","3.998993217945099","3.998993217945099","3.998993217945099"
"69","2.773263990879059","2.773263990879059","2.773263990879059"
"70","3.8941838145256042","3.8941838145256042","3.8941838145256042"
"71","1.642263114452362","1.642263114452362","1.642263114452362"
"72","3.720227599143982","3.720227599143982","3.720227599143982"
"73","3.3388815820217133","3.3388815820217133","3.3388815820217133"
"74","3.978405177593231","3.978405177593231","3.978405177593231"
"75","4.218356013298035","4.218356013298035","4.218356013298035"
"76","3.546919584274292","3.546919584274292","3.546919584274292"
"77","4.3680629432201385","4.3680629432201385","4.3680629432201385"
"78","3.432608485221863","3.432608485221863","3.432608485221863"
"79","4.384345382452011","4.384345382452011","4.384345382452011"
"80","3.342594265937805","3.342594265937805","3.342594265937805"
"81","4.733261793851852","4.733261793851852","4.733261793851852"
"82","4.7584240436553955","4.7584240436553955","4.7584240436553955"
"83","3.321419805288315","3.321419805288315","3.321419805288315"
"84","4.208495199680328","4.208495199680328","4.208495199680328"
"85","3.658802807331085","3.658802807331085","3.658802807331085"
"86","3.6984409391880035","3.6984409391880035","3.6984409391880035"
"87","4.692743122577667","4.692743122577667","4.692743122577667"
"88","3.991615116596222","3.991615116596222","3.991615116596222"
"89","4.010538429021835","4.010538429021835","4.010538429021835"
"90","4.3142494559288025","4.3142494559288025","4.3142494559288025"
"91","3.837959110736847","3.837959110736847","3.837959110736847"
"92","4.143206685781479","4.143206685781479","4.143206685781479"
"93","3.42982617020607","3.42982617020607","3.42982617020607"
"94","3.3315709233283997","3.3315709233283997","3.3315709233283997"
"95","4.940042197704315","4.940042197704315","4.940042197704315"
"96","2.7042191326618195","2.7042191326618195","2.7042191326618195"
"97","3.2506827414035797","3.2506827414035797","3.2506827414035797"
"98","3.540031522512436","3.540031522512436","3.540031522512436"
"99","2.20683553814888","2.20683553814888","2.20683553814888"
"100","4.547553330659866","4.547553330659866","4.547553330659866"
"101","1.9491543769836426","1.9491543769836426","1.9491543769836426"
"102","3.406093269586563","3.406093269586563","3.406093269586563"
"103","3.8651034832000732","3.8651034832000732","3.8651034832000732"
"104","3.392635762691498","3.392635762691498","3.392635762691498"
"105","3.346606820821762","3.346606820821762","3.346606820821762"
"106","3.828262746334076","3.828262746334076","3.828262746334076"
"107","3.838435620069504","3.838435620069504","3.838435620069504"
"108","3.6204815208911896","3.6204815208911896","3.6204815208911896"
"109","4.416034936904907","4.416034936904907","4.416034936904907"
"110","4.712537080049515","4.712537080049515","4.712537080049515"
"111","3.8814583718776703","3.8814583718776703","3.8814583718776703"
"112","3.94900581240654","3.94900581240654","3.94900581240654"
"113","2.880151629447937","2.880151629447937","2.880151629447937"
"114","2.40960356593132","2.40960356593132","2.40960356593132"
"115","3.5220510959625244","3.5220510959625244","3.5220510959625244"
"116","4.433844655752182","4.433844655752182","4.433844655752182"
"117","3.541534334421158","3.541534334421158","3.541534334421158"
"118","3.493427574634552","3.493427574634552","3.493427574634552"
"119","3.525656759738922","3.525656759738922","3.525656759738922"
"120","3.1945853531360626","3.1945853531360626","3.1945853531360626"
"121","3.6732731461524963","3.6732731461524963","3.6732731461524963"
"122","4.689608603715897","4.689608603715897","4.689608603715897"
