"Step","phase1-reasoning - train/l30_cos","phase1-reasoning - train/l30_cos__MIN","phase1-reasoning - train/l30_cos__MAX"
"0","0.36680009961128235","0.36680009961128235","0.36680009961128235"
"1","0.5177638977766037","0.5177638977766037","0.5177638977766037"
"2","0.5794265791773796","0.5794265791773796","0.5794265791773796"
"3","0.3897184208035469","0.3897184208035469","0.3897184208035469"
"4","0.3287688121199608","0.3287688121199608","0.3287688121199608"
"5","0.44141702353954315","0.44141702353954315","0.44141702353954315"
"6","0.32807885110378265","0.32807885110378265","0.32807885110378265"
"7","0.47285573929548264","0.47285573929548264","0.47285573929548264"
"8","0.41394852846860886","0.41394852846860886","0.41394852846860886"
"9","0.5136156901717186","0.5136156901717186","0.5136156901717186"
"10","0.3867478743195534","0.3867478743195534","0.3867478743195534"
"11","0.41397688537836075","0.41397688537836075","0.41397688537836075"
"12","0.42809388041496277","0.42809388041496277","0.42809388041496277"
"13","0.3358374685049057","0.3358374685049057","0.3358374685049057"
"14","0.40932203084230423","0.40932203084230423","0.40932203084230423"
"15","0.4708225056529045","0.4708225056529045","0.4708225056529045"
"16","0.6655359715223312","0.6655359715223312","0.6655359715223312"
"17","0.4206705838441849","0.4206705838441849","0.4206705838441849"
"18","0.7389809116721153","0.7389809116721153","0.7389809116721153"
"19","0.4119969755411148","0.4119969755411148","0.4119969755411148"
"20","0.35161662846803665","0.35161662846803665","0.35161662846803665"
"21","0.501867800951004","0.501867800951004","0.501867800951004"
"22","0.4870355352759361","0.4870355352759361","0.4870355352759361"
"23","0.4201689064502716","0.4201689064502716","0.4201689064502716"
"24","0.3662928566336632","0.3662928566336632","0.3662928566336632"
"25","0.4796205833554268","0.4796205833554268","0.4796205833554268"
"26","0.3345361724495888","0.3345361724495888","0.3345361724495888"
"27","0.2910560742020607","0.2910560742020607","0.2910560742020607"
"28","0.480689212679863","0.480689212679863","0.480689212679863"
"29","0.4923451542854309","0.4923451542854309","0.4923451542854309"
"30","0.4961477443575859","0.4961477443575859","0.4961477443575859"
"31","0.32436244934797287","0.32436244934797287","0.32436244934797287"
"32","0.4068174809217453","0.4068174809217453","0.4068174809217453"
"33","0.4275929182767868","0.4275929182767868","0.4275929182767868"
"34","0.3855440318584442","0.3855440318584442","0.3855440318584442"
"35","0.45639747381210327","0.45639747381210327","0.45639747381210327"
"36","0.5011284723877907","0.5011284723877907","0.5011284723877907"
"37","0.32076744735240936","0.32076744735240936","0.32076744735240936"
"38","0.4725085496902466","0.4725085496902466","0.4725085496902466"
"39","0.40312064439058304","0.40312064439058304","0.40312064439058304"
"40","0.3779972046613693","0.3779972046613693","0.3779972046613693"
"41","0.5864790976047516","0.5864790976047516","0.5864790976047516"
"42","0.4900241196155548","0.4900241196155548","0.4900241196155548"
"43","0.3963354602456093","0.3963354602456093","0.3963354602456093"
"44","0.3997761607170105","0.3997761607170105","0.3997761607170105"
"45","0.3942215144634247","0.3942215144634247","0.3942215144634247"
"46","0.29750923067331314","0.29750923067331314","0.29750923067331314"
"47","0.5710260272026062","0.5710260272026062","0.5710260272026062"
"48","0.5358419194817543","0.5358419194817543","0.5358419194817543"
"49","0.4084265008568764","0.4084265008568764","0.4084265008568764"
"50","0.4702094718813896","0.4702094718813896","0.4702094718813896"
"51","0.4141438975930214","0.4141438975930214","0.4141438975930214"
"52","0.2775910273194313","0.2775910273194313","0.2775910273194313"
"53","0.4194551780819893","0.4194551780819893","0.4194551780819893"
"54","0.4899977147579193","0.4899977147579193","0.4899977147579193"
"55","0.48384664952754974","0.48384664952754974","0.48384664952754974"
"56","0.4878062605857849","0.4878062605857849","0.4878062605857849"
"57","0.5783062055706978","0.5783062055706978","0.5783062055706978"
"58","0.4238398000597954","0.4238398000597954","0.4238398000597954"
"59","0.4081775024533272","0.4081775024533272","0.4081775024533272"
"60","0.4692745730280876","0.4692745730280876","0.4692745730280876"
"61","0.38464271277189255","0.38464271277189255","0.38464271277189255"
"62","0.4070957079529762","0.4070957079529762","0.4070957079529762"
"63","0.4163779765367508","0.4163779765367508","0.4163779765367508"
"64","0.40652552247047424","0.40652552247047424","0.40652552247047424"
"65","0.49324100464582443","0.49324100464582443","0.49324100464582443"
"66","0.49817220121622086","0.49817220121622086","0.49817220121622086"
"67","0.30607663840055466","0.30607663840055466","0.30607663840055466"
"68","0.38916149735450745","0.38916149735450745","0.38916149735450745"
"69","0.572410337626934","0.572410337626934","0.572410337626934"
"70","0.384664349257946","0.384664349257946","0.384664349257946"
"71","0.7490817457437515","0.7490817457437515","0.7490817457437515"
"72","0.40210651606321335","0.40210651606321335","0.40210651606321335"
"73","0.4167726933956146","0.4167726933956146","0.4167726933956146"
"74","0.38328132778406143","0.38328132778406143","0.38328132778406143"
"75","0.37444498389959335","0.37444498389959335","0.37444498389959335"
"76","0.4531320855021477","0.4531320855021477","0.4531320855021477"
"77","0.3171211928129196","0.3171211928129196","0.3171211928129196"
"78","0.4203752279281616","0.4203752279281616","0.4203752279281616"
"79","0.28814350068569183","0.28814350068569183","0.28814350068569183"
"80","0.39625177532434464","0.39625177532434464","0.39625177532434464"
"81","0.3012152686715126","0.3012152686715126","0.3012152686715126"
"82","0.3085549995303154","0.3085549995303154","0.3085549995303154"
"83","0.4965539872646332","0.4965539872646332","0.4965539872646332"
"84","0.39936068654060364","0.39936068654060364","0.39936068654060364"
"85","0.39739764481782913","0.39739764481782913","0.39739764481782913"
"86","0.41368091851472855","0.41368091851472855","0.41368091851472855"
"87","0.5051348730921745","0.5051348730921745","0.5051348730921745"
"88","0.40200652182102203","0.40200652182102203","0.40200652182102203"
"89","0.3150547221302986","0.3150547221302986","0.3150547221302986"
"90","0.2961479127407074","0.2961479127407074","0.2961479127407074"
"91","0.4858506992459297","0.4858506992459297","0.4858506992459297"
"92","0.4041609466075897","0.4041609466075897","0.4041609466075897"
"93","0.4653189405798912","0.4653189405798912","0.4653189405798912"
"94","0.4823608845472336","0.4823608845472336","0.4823608845472336"
"95","0.35369597375392914","0.35369597375392914","0.35369597375392914"
"96","0.5739213675260544","0.5739213675260544","0.5739213675260544"
"97","0.501928985118866","0.501928985118866","0.501928985118866"
"98","0.3974781185388565","0.3974781185388565","0.3974781185388565"
"99","0.6757196187973022","0.6757196187973022","0.6757196187973022"
"100","0.28300702571868896","0.28300702571868896","0.28300702571868896"
"101","0.6443046852946281","0.6443046852946281","0.6443046852946281"
"102","0.47367090731859207","0.47367090731859207","0.47367090731859207"
"103","0.3687613233923912","0.3687613233923912","0.3687613233923912"
"104","0.3727341890335083","0.3727341890335083","0.3727341890335083"
"105","0.465574249625206","0.465574249625206","0.465574249625206"
"106","0.4238184094429016","0.4238184094429016","0.4238184094429016"
"107","0.4200834631919861","0.4200834631919861","0.4200834631919861"
"108","0.40562065690755844","0.40562065690755844","0.40562065690755844"
"109","0.2997589632868767","0.2997589632868767","0.2997589632868767"
"110","0.29663295298814774","0.29663295298814774","0.29663295298814774"
