"Step","deep-planet-14 - ce_loss","deep-planet-14 - ce_loss__MIN","deep-planet-14 - ce_loss__MAX"
"1710","4.875","4.875","4.875"
"1720","4.40625","4.40625","4.40625"
"1730","5.125","5.125","5.125"
"1740","4.125","4.125","4.125"
"1750","4.59375","4.59375","4.59375"
"1760","4.53125","4.53125","4.53125"
"1770","5.53125","5.53125","5.53125"
"1780","5.46875","5.46875","5.46875"
"1790","5.875","5.875","5.875"
"1800","4.3125","4.3125","4.3125"
"1810","5.3125","5.3125","5.3125"
"1820","4.9375","4.9375","4.9375"
"1830","5.15625","5.15625","5.15625"
"1840","4.875","4.875","4.875"
"1850","5.59375","5.59375","5.59375"
"1860","5.65625","5.65625","5.65625"
"1870","3.90625","3.90625","3.90625"
"1880","4.40625","4.40625","4.40625"
"1890","4.78125","4.78125","4.78125"
"1900","6.0625","6.0625","6.0625"
"1910","4.65625","4.65625","4.65625"
"1920","3.578125","3.578125","3.578125"
"1930","3.359375","3.359375","3.359375"
"1940","4.65625","4.65625","4.65625"
"1950","4.84375","4.84375","4.84375"
"1960","4.125","4.125","4.125"
"1970","4.96875","4.96875","4.96875"
"1980","4.5625","4.5625","4.5625"
"1990","5.25","5.25","5.25"
"2000","5.84375","5.84375","5.84375"
"2010","3.515625","3.515625","3.515625"
"2020","5.9375","5.9375","5.9375"
"2030","6.03125","6.03125","6.03125"
"2040","5.90625","5.90625","5.90625"
"2050","3.6875","3.6875","3.6875"
"2060","4.84375","4.84375","4.84375"
"2070","3.1875","3.1875","3.1875"
"2080","4.21875","4.21875","4.21875"
"2090","5.28125","5.28125","5.28125"
"2100","4.375","4.375","4.375"
"2110","3.90625","3.90625","3.90625"
"2120","6.15625","6.15625","6.15625"
"2130","3.78125","3.78125","3.78125"
"2140","3.140625","3.140625","3.140625"
"2150","4.28125","4.28125","4.28125"
"2160","4.625","4.625","4.625"
"2170","3.625","3.625","3.625"
"2180","4.375","4.375","4.375"
"2190","4.375","4.375","4.375"
"2200","4.75","4.75","4.75"
"2210","2.71875","2.71875","2.71875"
"2220","3.609375","3.609375","3.609375"
"2230","6.28125","6.28125","6.28125"
"2240","2.671875","2.671875","2.671875"
"2250","5.125","5.125","5.125"
"2260","4.1875","4.1875","4.1875"
"2270","4","4","4"
"2280","3.6875","3.6875","3.6875"
"2290","4.4375","4.4375","4.4375"
"2300","3.171875","3.171875","3.171875"
"2310","2.546875","2.546875","2.546875"
"2320","3.71875","3.71875","3.71875"
"2330","2.765625","2.765625","2.765625"
"2340","4.0625","4.0625","4.0625"
"2350","2.5","2.5","2.5"
"2360","4.03125","4.03125","4.03125"
"2370","4.9375","4.9375","4.9375"
"2380","4.34375","4.34375","4.34375"
"2390","3.75","3.75","3.75"
"2400","4.53125","4.53125","4.53125"
"2410","3.84375","3.84375","3.84375"
"2420","3.421875","3.421875","3.421875"
"2430","2.140625","2.140625","2.140625"
"2440","5.65625","5.65625","5.65625"
"2450","3.5","3.5","3.5"
"2460","2.375","2.375","2.375"
"2470","2.65625","2.65625","2.65625"
"2480","2.859375","2.859375","2.859375"
"2490","2.3125","2.3125","2.3125"
"2500","1.71875","1.71875","1.71875"
"2510","4.59375","4.59375","4.59375"
"2520","4.875","4.875","4.875"
"2530","3.296875","3.296875","3.296875"
"2540","2.4375","2.4375","2.4375"
"2550","3.625","3.625","3.625"
"2560","3.796875","3.796875","3.796875"
"2570","4.4375","4.4375","4.4375"
"2580","3.125","3.125","3.125"
"2590","1.953125","1.953125","1.953125"
"2600","3.75","3.75","3.75"
"2610","2.703125","2.703125","2.703125"
"2620","2.203125","2.203125","2.203125"
"2630","3.0625","3.0625","3.0625"
"2640","3.71875","3.71875","3.71875"
"2650","3.625","3.625","3.625"
"2660","1.859375","1.859375","1.859375"
"2670","1.6640625","1.6640625","1.6640625"
"2680","3.53125","3.53125","3.53125"
"2690","3.515625","3.515625","3.515625"
"2700","3.390625","3.390625","3.390625"
"2710","3.78125","3.78125","3.78125"
"2720","2.015625","2.015625","2.015625"
"2730","3.625","3.625","3.625"
"2740","1.625","1.625","1.625"
"2750","2.046875","2.046875","2.046875"
"2760","3.03125","3.03125","3.03125"
