"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"2940","292","292","292"
"2950","312","312","312"
"2960","224","224","224"
"2970","243","243","243"
"2980","300","300","300"
"2990","237","237","237"
"3000","316","316","316"
"3010","344","344","344"
"3020","316","316","316"
"3030","334","334","334"
"3040","300","300","300"
"3050","342","342","342"
"3060","304","304","304"
"3070","310","310","310"
"3080","250","250","250"
"3090","262","262","262"
"3100","314","314","314"
"3110","310","310","310"
"3120","308","308","308"
"3130","264","264","264"
"3140","304","304","304"
"3150","316","316","316"
"3160","264","264","264"
"3170","256","256","256"
"3180","304","304","304"
"3190","316","316","316"
"3200","292","292","292"
"3210","304","304","304"
"3220","304","304","304"
"3230","316","316","316"
"3240","254","254","254"
"3250","245","245","245"
"3260","241","241","241"
"3270","256","256","256"
"3280","304","304","304"
"3290","239","239","239"
"3300","260","260","260"
"3310","260","260","260"
"3320","266","266","266"
"3330","340","340","340"
"3340","312","312","312"
"3350","258","258","258"
"3360","260","260","260"
"3370","316","316","316"
"3380","288","288","288"
"3390","310","310","310"
"3400","270","270","270"
"3410","316","316","316"
"3420","262","262","262"
"3430","228","228","228"
"3440","254","254","254"
"3450","250","250","250"
"3460","316","316","316"
"3470","254","254","254"
"3480","256","256","256"
"3490","270","270","270"
"3500","262","262","262"
"3510","296","296","296"
"3520","308","308","308"
"3530","274","274","274"
"3540","328","328","328"
"3550","322","322","322"
"3560","326","326","326"
"3570","304","304","304"
"3580","316","316","316"
"3590","260","260","260"
"3600","316","316","316"
"3610","262","262","262"
"3620","310","310","310"
"3630","306","306","306"
"3640","322","322","322"
"3650","330","330","330"
"3660","310","310","310"
"3670","322","322","322"
"3680","328","328","328"
"3690","296","296","296"
"3700","270","270","270"
"3710","248","248","248"
"3720","278","278","278"
"3730","330","330","330"
"3740","245","245","245"
"3750","288","288","288"
"3760","260","260","260"
"3770","292","292","292"
"3780","316","316","316"
"3790","318","318","318"
"3800","320","320","320"
"3810","304","304","304"
"3820","266","266","266"
"3830","304","304","304"
"3840","260","260","260"
"3850","304","304","304"
"3860","308","308","308"
"3870","326","326","326"
"3880","306","306","306"
"3890","274","274","274"
"3900","270","270","270"
"3910","316","316","316"
"3920","292","292","292"
"3930","306","306","306"
"3940","310","310","310"
"3950","268","268","268"
"3960","322","322","322"
"3970","266","266","266"
"3980","320","320","320"
"3990","292","292","292"
"4000","288","288","288"
"4010","270","270","270"
"4020","310","310","310"
"4030","304","304","304"
"4040","310","310","310"
"4050","274","274","274"
"4060","328","328","328"
"4070","258","258","258"
"4080","324","324","324"
"4090","276","276","276"
"4100","316","316","316"
"4110","304","304","304"
"4120","326","326","326"
"4130","320","320","320"
"4140","322","322","322"
"4150","298","298","298"
"4160","306","306","306"
"4170","278","278","278"
"4180","268","268","268"
"4190","322","322","322"
"4200","318","318","318"
"4210","304","304","304"
"4220","310","310","310"
"4230","322","322","322"
"4240","320","320","320"
"4250","276","276","276"
"4260","282","282","282"
"4270","292","292","292"
"4280","276","276","276"
"4290","308","308","308"
"4300","308","308","308"
"4310","296","296","296"
"4320","324","324","324"
"4330","316","316","316"
"4340","336","336","336"
"4350","284","284","284"
"4360","284","284","284"
"4370","284","284","284"
"4380","296","296","296"
"4390","316","316","316"
"4400","308","308","308"
"4410","284","284","284"
"4420","91.5","91.5","91.5"
"4430","146","146","146"
"4440","226","226","226"
"4450","243","243","243"
"4460","260","260","260"
"4470","296","296","296"
"4480","256","256","256"
"4490","286","286","286"
"4500","292","292","292"
"4510","304","304","304"
"4520","292","292","292"
"4530","274","274","274"
"4540","290","290","290"
"4550","312","312","312"
"4560","316","316","316"
"4570","296","296","296"
"4580","284","284","284"
"4590","245","245","245"
"4600","252","252","252"
"4610","330","330","330"
"4620","284","284","284"
"4630","312","312","312"
"4640","262","262","262"
"4650","308","308","308"
"4660","330","330","330"
"4670","280","280","280"
"4680","284","284","284"
"4690","304","304","304"
"4700","306","306","306"
"4710","250","250","250"
"4720","304","304","304"
"4730","280","280","280"
"4740","304","304","304"
"4750","326","326","326"
"4760","296","296","296"
"4770","304","304","304"
"4780","276","276","276"
"4790","330","330","330"
"4800","304","304","304"
"4810","282","282","282"
"4820","302","302","302"
"4830","288","288","288"
"4840","298","298","298"
"4850","224","224","224"
"4860","258","258","258"
"4870","246","246","246"
"4880","300","300","300"
"4890","278","278","278"
"4900","276","276","276"
"4910","276","276","276"
"4920","248","248","248"
"4930","280","280","280"
"4940","310","310","310"
"4950","278","278","278"
"4960","260","260","260"
"4970","304","304","304"
"4980","288","288","288"
"4990","298","298","298"
"5000","278","278","278"
"5010","300","300","300"
"5020","284","284","284"
"5030","292","292","292"
"5040","308","308","308"
"5050","302","302","302"
"5060","310","310","310"
"5070","312","312","312"
"5080","292","292","292"
"5090","270","270","270"
"5100","256","256","256"
"5110","296","296","296"
"5120","298","298","298"
"5130","296","296","296"
"5140","256","256","256"
"5150","286","286","286"
"5160","288","288","288"
"5170","270","270","270"
"5180","284","284","284"
"5190","336","336","336"
"5200","290","290","290"
"5210","250","250","250"
"5220","276","276","276"
"5230","314","314","314"
"5240","318","318","318"
"5250","308","308","308"
"5260","284","284","284"
"5270","304","304","304"
"5280","288","288","288"
"5290","300","300","300"
"5300","314","314","314"
"5310","286","286","286"
"5320","300","300","300"
"5330","276","276","276"
"5340","316","316","316"
"5350","300","300","300"
"5360","278","278","278"
"5370","280","280","280"
"5380","306","306","306"
"5390","318","318","318"
"5400","300","300","300"
"5410","302","302","302"
"5420","292","292","292"
"5430","254","254","254"
"5440","288","288","288"
"5450","296","296","296"
"5460","268","268","268"
"5470","304","304","304"
"5480","246","246","246"
"5490","308","308","308"
"5500","312","312","312"
"5510","274","274","274"
"5520","328","328","328"
"5530","324","324","324"
"5540","324","324","324"
"5550","322","322","322"
"5560","316","316","316"
"5570","296","296","296"
"5580","336","336","336"
"5590","290","290","290"
"5600","290","290","290"
"5610","340","340","340"
"5620","290","290","290"
"5630","324","324","324"
"5640","282","282","282"
"5650","300","300","300"
"5660","296","296","296"
"5670","304","304","304"
"5680","310","310","310"
"5690","296","296","296"
"5700","310","310","310"
"5710","284","284","284"
"5720","308","308","308"
"5730","322","322","322"
"5740","298","298","298"
"5750","336","336","336"
"5760","320","320","320"
"5770","324","324","324"
"5780","290","290","290"
"5790","344","344","344"
"5800","300","300","300"
"5810","308","308","308"
"5820","266","266","266"
"5830","316","316","316"
"5840","276","276","276"
"5850","264","264","264"
"5860","290","290","290"
"5870","310","310","310"
"5880","330","330","330"
"5890","322","322","322"
"5900","288","288","288"
"5910","306","306","306"
"5920","264","264","264"
"5930","296","296","296"
"5940","300","300","300"
"5950","334","334","334"
"5960","252","252","252"
"5970","316","316","316"
"5980","344","344","344"
"5990","312","312","312"
"6000","274","274","274"
"6010","282","282","282"
"6020","328","328","328"
"6030","310","310","310"
"6040","282","282","282"
"6050","286","286","286"
"6060","256","256","256"
"6070","294","294","294"
"6080","292","292","292"
"6090","334","334","334"
"6100","304","304","304"
"6110","320","320","320"
"6120","292","292","292"
"6130","294","294","294"
"6140","316","316","316"
"6150","344","344","344"
"6160","346","346","346"
"6170","312","312","312"
"6180","318","318","318"
"6190","322","322","322"
"6200","304","304","304"
