"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"12490","292","292","292"
"12500","360","360","360"
"12510","298","298","298"
"12520","332","332","332"
"12530","316","316","316"
"12540","330","330","330"
"12550","362","362","362"
"12560","348","348","348"
"12570","340","340","340"
"12580","352","352","352"
"12590","344","344","344"
"12600","336","336","336"
"12610","245","245","245"
"12620","350","350","350"
"12630","328","328","328"
"12640","320","320","320"
"12650","328","328","328"
"12660","326","326","326"
"12670","354","354","354"
"12680","372","372","372"
"12690","338","338","338"
"12700","320","320","320"
"12710","356","356","356"
"12720","342","342","342"
"12730","360","360","360"
"12740","340","340","340"
"12750","328","328","328"
"12760","340","340","340"
"12770","332","332","332"
"12780","318","318","318"
"12790","326","326","326"
"12800","326","326","326"
"12810","306","306","306"
"12820","354","354","354"
"12830","324","324","324"
"12840","332","332","332"
"12850","324","324","324"
"12860","266","266","266"
"12870","336","336","336"
"12880","354","354","354"
"12890","336","336","336"
"12900","326","326","326"
"12910","376","376","376"
"12920","340","340","340"
"12930","352","352","352"
"12940","320","320","320"
"12950","326","326","326"
"12960","330","330","330"
"12970","356","356","356"
"12980","326","326","326"
"12990","322","322","322"
"13000","330","330","330"
"13010","352","352","352"
"13020","354","354","354"
"13030","336","336","336"
"13040","300","300","300"
"13050","312","312","312"
"13060","358","358","358"
"13070","296","296","296"
"13080","330","330","330"
"13090","342","342","342"
"13100","364","364","364"
"13110","340","340","340"
"13120","280","280","280"
"13130","352","352","352"
"13140","376","376","376"
"13150","300","300","300"
"13160","306","306","306"
"13170","372","372","372"
"13180","364","364","364"
"13190","332","332","332"
"13200","362","362","362"
"13210","394","394","394"
"13220","366","366","366"
"13230","292","292","292"
"13240","284","284","284"
"13250","334","334","334"
"13260","288","288","288"
"13270","352","352","352"
"13280","330","330","330"
"13290","340","340","340"
"13300","342","342","342"
"13310","286","286","286"
"13320","340","340","340"
"13330","348","348","348"
"13340","322","322","322"
"13350","350","350","350"
"13360","356","356","356"
"13370","356","356","356"
"13380","364","364","364"
"13390","300","300","300"
"13400","332","332","332"
"13410","316","316","316"
"13420","332","332","332"
"13430","342","342","342"
"13440","288","288","288"
"13450","368","368","368"
"13460","346","346","346"
"13470","338","338","338"
"13480","348","348","348"
"13490","316","316","316"
"13500","338","338","338"
"13510","342","342","342"
"13520","360","360","360"
"13530","382","382","382"
"13540","322","322","322"
"13550","286","286","286"
"13560","370","370","370"
"13570","328","328","328"
"13580","334","334","334"
"13590","350","350","350"
"13600","364","364","364"
"13610","346","346","346"
"13620","304","304","304"
"13630","366","366","366"
"13640","332","332","332"
"13650","348","348","348"
"13660","316","316","316"
"13670","284","284","284"
"13680","330","330","330"
"13690","336","336","336"
"13700","344","344","344"
"13710","342","342","342"
"13720","310","310","310"
"13730","352","352","352"
"13740","338","338","338"
"13750","358","358","358"
"13760","344","344","344"
"13770","310","310","310"
"13780","344","344","344"
"13790","348","348","348"
"13800","318","318","318"
"13810","290","290","290"
"13820","350","350","350"
"13830","324","324","324"
"13840","302","302","302"
"13850","264","264","264"
"13860","268","268","268"
"13870","296","296","296"
"13880","342","342","342"
"13890","324","324","324"
"13900","338","338","338"
"13910","318","318","318"
"13920","286","286","286"
"13930","338","338","338"
"13940","298","298","298"
"13950","346","346","346"
"13960","342","342","342"
"13970","304","304","304"
"13980","340","340","340"
"13990","322","322","322"
"14000","324","324","324"
"14010","256","256","256"
"14020","348","348","348"
"14030","324","324","324"
"14040","274","274","274"
"14050","344","344","344"
"14060","348","348","348"
"14070","314","314","314"
"14080","308","308","308"
"14090","308","308","308"
"14100","356","356","356"
"14110","316","316","316"
"14120","312","312","312"
"14130","332","332","332"
"14140","288","288","288"
"14150","316","316","316"
"14160","328","328","328"
"14170","278","278","278"
"14180","332","332","332"
"14190","322","322","322"
"14200","358","358","358"
"14210","286","286","286"
"14220","332","332","332"
"14230","324","324","324"
"14240","324","324","324"
"14250","330","330","330"
"14260","334","334","334"
"14270","358","358","358"
"14280","318","318","318"
"14290","340","340","340"
"14300","332","332","332"
"14310","324","324","324"
"14320","324","324","324"
"14330","344","344","344"
"14340","352","352","352"
"14350","334","334","334"
"14360","328","328","328"
"14370","332","332","332"
"14380","342","342","342"
"14390","340","340","340"
"14400","316","316","316"
"14410","322","322","322"
"14420","344","344","344"
"14430","352","352","352"
"14440","330","330","330"
"14450","328","328","328"
"14460","334","334","334"
"14470","330","330","330"
"14480","300","300","300"
"14490","298","298","298"
"14500","342","342","342"
"14510","344","344","344"
"14520","288","288","288"
"14530","344","344","344"
"14540","310","310","310"
"14550","312","312","312"
"14560","310","310","310"
"14570","324","324","324"
"14580","322","322","322"
"14590","330","330","330"
"14600","346","346","346"
"14610","368","368","368"
"14620","344","344","344"
"14630","306","306","306"
"14640","354","354","354"
"14650","338","338","338"
"14660","350","350","350"
"14670","348","348","348"
"14680","320","320","320"
"14690","302","302","302"
"14700","286","286","286"
"14710","344","344","344"
"14720","336","336","336"
"14730","336","336","336"
"14740","372","372","372"
"14750","328","328","328"
"14760","314","314","314"
"14770","354","354","354"
"14780","318","318","318"
"14790","346","346","346"
"14800","356","356","356"
"14810","344","344","344"
"14820","330","330","330"
"14830","330","330","330"
"14840","368","368","368"
"14850","328","328","328"
"14860","354","354","354"
"14870","304","304","304"
"14880","310","310","310"
"14890","292","292","292"
"14900","306","306","306"
"14910","346","346","346"
"14920","368","368","368"
"14930","352","352","352"
"14940","350","350","350"
"14950","356","356","356"
"14960","328","328","328"
"14970","336","336","336"
"14980","344","344","344"
"14990","338","338","338"
"15000","280","280","280"
"15010","326","326","326"
"15020","300","300","300"
"15030","326","326","326"
"15040","338","338","338"
"15050","328","328","328"
"15060","322","322","322"
"15070","310","310","310"
"15080","306","306","306"
"15090","324","324","324"
"15100","338","338","338"
"15110","318","318","318"
"15120","342","342","342"
"15130","334","334","334"
"15140","292","292","292"
"15150","362","362","362"
"15160","286","286","286"
"15170","346","346","346"
"15180","310","310","310"
"15190","366","366","366"
"15200","346","346","346"
"15210","314","314","314"
"15220","245","245","245"
"15230","322","322","322"
"15240","338","338","338"
"15250","316","316","316"
"15260","336","336","336"
"15270","332","332","332"
"15280","292","292","292"
"15290","296","296","296"
"15300","304","304","304"
"15310","326","326","326"
"15320","332","332","332"
"15330","368","368","368"
"15340","292","292","292"
"15350","370","370","370"
"15360","348","348","348"
"15370","352","352","352"
"15380","338","338","338"
"15390","334","334","334"
"15400","330","330","330"
"15410","344","344","344"
"15420","344","344","344"
"15430","342","342","342"
"15440","332","332","332"
"15450","324","324","324"
"15460","340","340","340"
"15470","316","316","316"
"15480","324","324","324"
"15490","320","320","320"
"15500","302","302","302"
"15510","336","336","336"
"15520","368","368","368"
"15530","368","368","368"
"15540","336","336","336"
"15550","264","264","264"
"15560","326","326","326"
"15570","330","330","330"
"15580","326","326","326"
"15590","320","320","320"
"15600","370","370","370"
"15610","354","354","354"
"15620","376","376","376"
"15630","352","352","352"
"15640","376","376","376"
"15650","302","302","302"
"15660","368","368","368"
"15670","296","296","296"
"15680","346","346","346"
"15690","364","364","364"
"15700","368","368","368"
"15710","318","318","318"
"15720","312","312","312"
"15730","316","316","316"
"15740","286","286","286"
"15750","362","362","362"
"15760","312","312","312"
"15770","326","326","326"
"15780","336","336","336"
"15790","354","354","354"
"15800","304","304","304"
"15810","350","350","350"
"15820","356","356","356"
"15830","328","328","328"
"15840","342","342","342"
"15850","370","370","370"
"15860","330","330","330"
"15870","360","360","360"
"15880","346","346","346"
"15890","304","304","304"
"15900","368","368","368"
"15910","352","352","352"
"15920","316","316","316"
"15930","366","366","366"
"15940","338","338","338"
"15950","332","332","332"
"15960","354","354","354"
"15970","354","354","354"
"15980","300","300","300"
"15990","348","348","348"
"16000","326","326","326"
"16010","346","346","346"
"16020","346","346","346"
"16030","344","344","344"
"16040","368","368","368"
"16050","300","300","300"
"16060","346","346","346"
"16070","352","352","352"
"16080","322","322","322"
"16090","320","320","320"
"16100","320","320","320"
"16110","308","308","308"
"16120","354","354","354"
"16130","268","268","268"
"16140","344","344","344"
"16150","318","318","318"
"16160","330","330","330"
"16170","358","358","358"
"16180","310","310","310"
"16190","342","342","342"
"16200","322","322","322"
"16210","324","324","324"
"16220","308","308","308"
"16230","352","352","352"
"16240","330","330","330"
"16250","328","328","328"
"16260","322","322","322"
"16270","374","374","374"
"16280","328","328","328"
"16290","296","296","296"
"16300","284","284","284"
"16310","336","336","336"
"16320","328","328","328"
"16330","336","336","336"
"16340","306","306","306"
"16350","314","314","314"
"16360","282","282","282"
"16370","338","338","338"
"16380","292","292","292"
"16390","316","316","316"
"16400","316","316","316"
"16410","304","304","304"
"16420","336","336","336"
"16430","348","348","348"
"16440","336","336","336"
"16450","340","340","340"
"16460","300","300","300"
"16470","306","306","306"
"16480","300","300","300"
"16490","292","292","292"
"16500","344","344","344"
"16510","304","304","304"
"16520","334","334","334"
"16530","324","324","324"
"16540","344","344","344"
"16550","368","368","368"
"16560","356","356","356"
"16570","278","278","278"
"16580","312","312","312"
"16590","338","338","338"
"16600","368","368","368"
"16610","306","306","306"
"16620","334","334","334"
"16630","336","336","336"
"16640","340","340","340"
"16650","346","346","346"
"16660","304","304","304"
"16670","364","364","364"
"16680","292","292","292"
"16690","322","322","322"
"16700","358","358","358"
"16710","344","344","344"
"16720","382","382","382"
"16730","290","290","290"
"16740","324","324","324"
"16750","342","342","342"
"16760","318","318","318"
"16770","372","372","372"
"16780","334","334","334"
"16790","358","358","358"
"16800","304","304","304"
"16810","328","328","328"
"16820","350","350","350"
"16830","322","322","322"
"16840","348","348","348"
"16850","330","330","330"
"16860","362","362","362"
"16870","352","352","352"
"16880","338","338","338"
"16890","344","344","344"
"16900","330","330","330"
"16910","362","362","362"
"16920","324","324","324"
"16930","362","362","362"
"16940","336","336","336"
"16950","344","344","344"
"16960","354","354","354"
"16970","318","318","318"
"16980","306","306","306"
"16990","284","284","284"
"17000","354","354","354"
"17010","304","304","304"
"17020","322","322","322"
"17030","342","342","342"
"17040","364","364","364"
"17050","326","326","326"
"17060","350","350","350"
"17070","366","366","366"
"17080","330","330","330"
"17090","332","332","332"
"17100","308","308","308"
"17110","348","348","348"
"17120","360","360","360"
"17130","304","304","304"
"17140","288","288","288"
"17150","370","370","370"
"17160","294","294","294"
"17170","338","338","338"
"17180","328","328","328"
"17190","354","354","354"
"17200","360","360","360"
"17210","352","352","352"
"17220","360","360","360"
"17230","328","328","328"
"17240","334","334","334"
"17250","368","368","368"
"17260","330","330","330"
"17270","370","370","370"
"17280","270","270","270"
"17290","336","336","336"
"17300","328","328","328"
"17310","324","324","324"
"17320","382","382","382"
"17330","322","322","322"
"17340","364","364","364"
"17350","342","342","342"
"17360","382","382","382"
"17370","286","286","286"
"17380","282","282","282"
"17390","328","328","328"
"17400","338","338","338"
"17410","332","332","332"
"17420","360","360","360"
"17430","342","342","342"
"17440","372","372","372"
"17450","274","274","274"
"17460","344","344","344"
"17470","356","356","356"
"17480","360","360","360"
"17490","330","330","330"
"17500","376","376","376"
"17510","288","288","288"
"17520","342","342","342"
"17530","294","294","294"
"17540","368","368","368"
"17550","336","336","336"
"17560","302","302","302"
"17570","358","358","358"
"17580","370","370","370"
"17590","322","322","322"
"17600","362","362","362"
"17610","340","340","340"
"17620","350","350","350"
"17630","366","366","366"
"17640","282","282","282"
"17650","360","360","360"
"17660","262","262","262"
"17670","350","350","350"
"17680","354","354","354"
"17690","328","328","328"
"17700","370","370","370"
"17710","316","316","316"
"17720","326","326","326"
"17730","330","330","330"
"17740","352","352","352"
"17750","320","320","320"
"17760","328","328","328"
"17770","358","358","358"
"17780","374","374","374"
"17790","324","324","324"
"17800","332","332","332"
"17810","330","330","330"
"17820","348","348","348"
"17830","292","292","292"
"17840","304","304","304"
"17850","322","322","322"
"17860","302","302","302"
"17870","356","356","356"
"17880","324","324","324"
"17890","344","344","344"
"17900","342","342","342"
"17910","308","308","308"
"17920","310","310","310"
"17930","296","296","296"
"17940","354","354","354"
"17950","322","322","322"
"17960","300","300","300"
"17970","316","316","316"
"17980","330","330","330"
"17990","312","312","312"
"18000","314","314","314"
"18010","330","330","330"
"18020","354","354","354"
"18030","356","356","356"
"18040","308","308","308"
"18050","268","268","268"
"18060","322","322","322"
"18070","328","328","328"
"18080","328","328","328"
"18090","324","324","324"
"18100","352","352","352"
"18110","342","342","342"
"18120","348","348","348"
"18130","326","326","326"
"18140","286","286","286"
"18150","334","334","334"
"18160","354","354","354"
"18170","302","302","302"
"18180","342","342","342"
"18190","280","280","280"
"18200","340","340","340"
"18210","360","360","360"
"18220","326","326","326"
"18230","316","316","316"
"18240","354","354","354"
"18250","330","330","330"
"18260","356","356","356"
"18270","346","346","346"
"18280","322","322","322"
"18290","328","328","328"
"18300","364","364","364"
"18310","324","324","324"
"18320","300","300","300"
"18330","360","360","360"
"18340","326","326","326"
"18350","338","338","338"
"18360","268","268","268"
"18370","342","342","342"
"18380","366","366","366"
"18390","348","348","348"
"18400","342","342","342"
"18410","360","360","360"
"18420","322","322","322"
"18430","286","286","286"
"18440","322","322","322"
"18450","342","342","342"
"18460","358","358","358"
"18470","360","360","360"
"18480","368","368","368"
"18490","324","324","324"
"18500","370","370","370"
"18510","324","324","324"
"18520","338","338","338"
"18530","354","354","354"
"18540","364","364","364"
"18550","322","322","322"
"18560","346","346","346"
"18570","362","362","362"
"18580","354","354","354"
"18590","338","338","338"
"18600","352","352","352"
"18610","314","314","314"
"18620","324","324","324"
"18630","336","336","336"
"18640","372","372","372"
"18650","350","350","350"
"18660","348","348","348"
"18670","332","332","332"
"18680","338","338","338"
"18690","348","348","348"
"18700","344","344","344"
"18710","360","360","360"
"18720","300","300","300"
"18730","358","358","358"
"18740","372","372","372"
"18750","340","340","340"
"18760","310","310","310"
"18770","378","378","378"
"18780","362","362","362"
"18790","376","376","376"
"18800","338","338","338"
"18810","334","334","334"
"18820","370","370","370"
"18830","350","350","350"
"18840","382","382","382"
"18850","372","372","372"
"18860","374","374","374"
"18870","312","312","312"
"18880","330","330","330"
"18890","370","370","370"
"18900","350","350","350"
"18910","320","320","320"
"18920","296","296","296"
"18930","334","334","334"
"18940","344","344","344"
"18950","340","340","340"
"18960","372","372","372"
"18970","336","336","336"
"18980","310","310","310"
"18990","362","362","362"
"19000","316","316","316"
"19010","332","332","332"
"19020","362","362","362"
"19030","368","368","368"
"19040","370","370","370"
"19050","310","310","310"
"19060","334","334","334"
"19070","276","276","276"
"19080","348","348","348"
"19090","346","346","346"
"19100","344","344","344"
"19110","352","352","352"
"19120","374","374","374"
"19130","362","362","362"
"19140","336","336","336"
"19150","340","340","340"
"19160","382","382","382"
"19170","342","342","342"
"19180","330","330","330"
"19190","302","302","302"
"19200","268","268","268"
"19210","352","352","352"
"19220","350","350","350"
"19230","326","326","326"
"19240","334","334","334"
"19250","328","328","328"
"19260","338","338","338"
"19270","322","322","322"
"19280","344","344","344"
"19290","328","328","328"
"19300","288","288","288"
"19310","270","270","270"
"19320","344","344","344"
"19330","326","326","326"
"19340","338","338","338"
"19350","288","288","288"
"19360","340","340","340"
"19370","348","348","348"
"19380","364","364","364"
"19390","368","368","368"
"19400","348","348","348"
"19410","348","348","348"
"19420","316","316","316"
"19430","334","334","334"
"19440","328","328","328"
"19450","352","352","352"
"19460","388","388","388"
"19470","366","366","366"
"19480","338","338","338"
"19490","338","338","338"
"19500","362","362","362"
"19510","350","350","350"
"19520","364","364","364"
"19530","342","342","342"
"19540","348","348","348"
"19550","342","342","342"
"19560","364","364","364"
"19570","364","364","364"
"19580","272","272","272"
"19590","354","354","354"
"19600","344","344","344"
"19610","344","344","344"
"19620","328","328","328"
"19630","376","376","376"
"19640","300","300","300"
"19650","338","338","338"
"19660","352","352","352"
"19670","348","348","348"
"19680","330","330","330"
"19690","342","342","342"
"19700","334","334","334"
"19710","330","330","330"
"19720","334","334","334"
"19730","346","346","346"
"19740","304","304","304"
"19750","374","374","374"
"19760","328","328","328"
"19770","374","374","374"
"19780","278","278","278"
"19790","330","330","330"
"19800","360","360","360"
"19810","352","352","352"
"19820","350","350","350"
"19830","364","364","364"
"19840","366","366","366"
"19850","342","342","342"
"19860","352","352","352"
"19870","336","336","336"
"19880","348","348","348"
"19890","362","362","362"
"19900","340","340","340"
"19910","368","368","368"
"19920","352","352","352"
"19930","344","344","344"
"19940","304","304","304"
"19950","328","328","328"
"19960","278","278","278"
"19970","352","352","352"
"19980","358","358","358"
"19990","356","356","356"
"20000","344","344","344"
"20010","386","386","386"
"20020","374","374","374"
"20030","344","344","344"
"20040","352","352","352"
"20050","358","358","358"
"20060","270","270","270"
"20070","296","296","296"
"20080","358","358","358"
"20090","348","348","348"
"20100","358","358","358"
"20110","332","332","332"
"20120","284","284","284"
"20130","352","352","352"
"20140","354","354","354"
"20150","362","362","362"
"20160","394","394","394"
"20170","342","342","342"
"20180","346","346","346"
"20190","205","205","205"
"20200","350","350","350"
"20210","282","282","282"
"20220","366","366","366"
"20230","350","350","350"
"20240","344","344","344"
"20250","338","338","338"
"20260","342","342","342"
"20270","336","336","336"
"20280","362","362","362"
"20290","358","358","358"
"20300","330","330","330"
"20310","338","338","338"
"20320","326","326","326"
"20330","330","330","330"
"20340","354","354","354"
"20350","344","344","344"
"20360","340","340","340"
"20370","338","338","338"
"20380","340","340","340"
"20390","300","300","300"
"20400","322","322","322"
"20410","362","362","362"
"20420","352","352","352"
"20430","344","344","344"
"20440","340","340","340"
"20450","316","316","316"
"20460","322","322","322"
"20470","332","332","332"
"20480","368","368","368"
"20490","302","302","302"
"20500","344","344","344"
"20510","362","362","362"
"20520","322","322","322"
"20530","340","340","340"
"20540","366","366","366"
"20550","332","332","332"
"20560","352","352","352"
"20570","346","346","346"
"20580","282","282","282"
"20590","332","332","332"
"20600","316","316","316"
"20610","346","346","346"
"20620","312","312","312"
"20630","338","338","338"
"20640","306","306","306"
"20650","352","352","352"
"20660","362","362","362"
"20670","360","360","360"
"20680","320","320","320"
"20690","322","322","322"
"20700","318","318","318"
"20710","338","338","338"
"20720","336","336","336"
"20730","332","332","332"
"20740","300","300","300"
"20750","348","348","348"
"20760","348","348","348"
"20770","304","304","304"
"20780","316","316","316"
"20790","326","326","326"
"20800","296","296","296"
"20810","348","348","348"
"20820","292","292","292"
"20830","316","316","316"
"20840","308","308","308"
"20850","322","322","322"
"20860","350","350","350"
"20870","322","322","322"
"20880","348","348","348"
"20890","356","356","356"
"20900","294","294","294"
"20910","350","350","350"
"20920","334","334","334"
"20930","338","338","338"
"20940","338","338","338"
"20950","344","344","344"
"20960","370","370","370"
"20970","330","330","330"
"20980","342","342","342"
"20990","320","320","320"
"21000","310","310","310"
"21010","336","336","336"
"21020","366","366","366"
"21030","316","316","316"
"21040","260","260","260"
"21050","338","338","338"
"21060","318","318","318"
"21070","330","330","330"
"21080","306","306","306"
"21090","348","348","348"
"21100","326","326","326"
"21110","344","344","344"
"21120","360","360","360"
"21130","372","372","372"
"21140","350","350","350"
"21150","354","354","354"
"21160","360","360","360"
"21170","342","342","342"
"21180","374","374","374"
"21190","344","344","344"
"21200","334","334","334"
"21210","368","368","368"
"21220","350","350","350"
"21230","360","360","360"
"21240","334","334","334"
"21250","282","282","282"
"21260","334","334","334"
"21270","352","352","352"
"21280","362","362","362"
"21290","350","350","350"
"21300","310","310","310"
"21310","340","340","340"
"21320","332","332","332"
"21330","342","342","342"
"21340","344","344","344"
"21350","370","370","370"
"21360","322","322","322"
"21370","322","322","322"
"21380","334","334","334"
"21390","308","308","308"
"21400","318","318","318"
"21410","264","264","264"
"21420","340","340","340"
"21430","312","312","312"
"21440","304","304","304"
"21450","350","350","350"
"21460","344","344","344"
"21470","368","368","368"
"21480","326","326","326"
"21490","302","302","302"
"21500","368","368","368"
"21510","318","318","318"
"21520","366","366","366"
"21530","356","356","356"
"21540","354","354","354"
"21550","354","354","354"
"21560","330","330","330"
"21570","298","298","298"
"21580","338","338","338"
"21590","338","338","338"
"21600","330","330","330"
"21610","342","342","342"
"21620","344","344","344"
"21630","330","330","330"
"21640","346","346","346"
"21650","314","314","314"
"21660","330","330","330"
"21670","344","344","344"
"21680","344","344","344"
"21690","306","306","306"
"21700","330","330","330"
"21710","328","328","328"
"21720","342","342","342"
"21730","336","336","336"
"21740","356","356","356"
"21750","346","346","346"
"21760","316","316","316"
"21770","354","354","354"
"21780","296","296","296"
"21790","344","344","344"
"21800","312","312","312"
"21810","308","308","308"
"21820","344","344","344"
"21830","362","362","362"
"21840","262","262","262"
"21850","360","360","360"
"21860","336","336","336"
"21870","320","320","320"
"21880","330","330","330"
"21890","264","264","264"
"21900","270","270","270"
"21910","310","310","310"
"21920","334","334","334"
"21930","338","338","338"
"21940","366","366","366"
"21950","332","332","332"
"21960","372","372","372"
"21970","328","328","328"
"21980","368","368","368"
"21990","300","300","300"
"22000","328","328","328"
"22010","316","316","316"
"22020","346","346","346"
"22030","326","326","326"
"22040","304","304","304"
"22050","392","392","392"
"22060","320","320","320"
"22070","336","336","336"
"22080","368","368","368"
"22090","358","358","358"
"22100","344","344","344"
"22110","308","308","308"
"22120","334","334","334"
"22130","366","366","366"
"22140","280","280","280"
"22150","334","334","334"
"22160","324","324","324"
"22170","326","326","326"
"22180","356","356","356"
"22190","344","344","344"
"22200","336","336","336"
"22210","326","326","326"
"22220","344","344","344"
"22230","334","334","334"
"22240","316","316","316"
"22250","336","336","336"
"22260","352","352","352"
"22270","272","272","272"
"22280","362","362","362"
"22290","300","300","300"
"22300","328","328","328"
"22310","318","318","318"
"22320","356","356","356"
"22330","374","374","374"
"22340","294","294","294"
"22350","350","350","350"
"22360","330","330","330"
"22370","282","282","282"
"22380","306","306","306"
"22390","368","368","368"
"22400","338","338","338"
"22410","330","330","330"
"22420","344","344","344"
"22430","344","344","344"
"22440","332","332","332"
"22450","264","264","264"
"22460","324","324","324"
"22470","332","332","332"
"22480","344","344","344"
"22490","330","330","330"
"22500","366","366","366"
"22510","332","332","332"
"22520","320","320","320"
"22530","280","280","280"
"22540","322","322","322"
"22550","310","310","310"
"22560","350","350","350"
"22570","344","344","344"
"22580","332","332","332"
"22590","364","364","364"
"22600","324","324","324"
"22610","388","388","388"
"22620","330","330","330"
"22630","338","338","338"
"22640","304","304","304"
"22650","352","352","352"
"22660","296","296","296"
"22670","346","346","346"
"22680","352","352","352"
"22690","356","356","356"
"22700","362","362","362"
"22710","296","296","296"
"22720","370","370","370"
"22730","332","332","332"
"22740","362","362","362"
"22750","350","350","350"
"22760","344","344","344"
"22770","262","262","262"
"22780","173","173","173"
"22790","168","168","168"
"22800","224","224","224"
"22810","256","256","256"
"22820","232","232","232"
"22830","270","270","270"
"22840","264","264","264"
"22850","262","262","262"
"22860","234","234","234"
"22870","234","234","234"
"22880","260","260","260"
"22890","266","266","266"
"22900","270","270","270"
"22910","284","284","284"
"22920","258","258","258"
"22930","258","258","258"
"22940","272","272","272"
"22950","246","246","246"
"22960","270","270","270"
"22970","274","274","274"
"22980","278","278","278"
"22990","316","316","316"
"23000","278","278","278"
"23010","276","276","276"
"23020","306","306","306"
"23030","258","258","258"
"23040","284","284","284"
"23050","272","272","272"
"23060","292","292","292"
"23070","286","286","286"
"23080","288","288","288"
"23090","256","256","256"
"23100","272","272","272"
"23110","264","264","264"
"23120","226","226","226"
"23130","312","312","312"
"23140","278","278","278"
"23150","296","296","296"
"23160","250","250","250"
"23170","286","286","286"
"23180","250","250","250"
"23190","288","288","288"
"23200","288","288","288"
"23210","290","290","290"
"23220","286","286","286"
"23230","241","241","241"
"23240","284","284","284"
"23250","237","237","237"
"23260","296","296","296"
"23270","300","300","300"
"23280","302","302","302"
"23290","282","282","282"
"23300","294","294","294"
"23310","300","300","300"
"23320","276","276","276"
"23330","282","282","282"
"23340","310","310","310"
"23350","258","258","258"
"23360","243","243","243"
"23370","306","306","306"
"23380","308","308","308"
"23390","270","270","270"
"23400","296","296","296"
"23410","284","284","284"
"23420","316","316","316"
"23430","284","284","284"
"23440","282","282","282"
"23450","292","292","292"
"23460","306","306","306"
"23470","296","296","296"
"23480","292","292","292"
"23490","278","278","278"
"23500","306","306","306"
"23510","312","312","312"
"23520","306","306","306"
"23530","314","314","314"
"23540","282","282","282"
"23550","340","340","340"
"23560","282","282","282"
"23570","288","288","288"
"23580","292","292","292"
"23590","308","308","308"
"23600","300","300","300"
"23610","250","250","250"
"23620","282","282","282"
"23630","268","268","268"
"23640","268","268","268"
"23650","266","266","266"
"23660","284","284","284"
"23670","292","292","292"
"23680","282","282","282"
"23690","288","288","288"
"23700","336","336","336"
"23710","302","302","302"
"23720","320","320","320"
"23730","294","294","294"
"23740","258","258","258"
"23750","302","302","302"
"23760","310","310","310"
"23770","336","336","336"
"23780","298","298","298"
"23790","292","292","292"
"23800","300","300","300"
"23810","270","270","270"
"23820","288","288","288"
"23830","308","308","308"
"23840","324","324","324"
"23850","280","280","280"
"23860","243","243","243"
"23870","298","298","298"
"23880","266","266","266"
"23890","284","284","284"
"23900","274","274","274"
"23910","284","284","284"
"23920","282","282","282"
"23930","292","292","292"
"23940","296","296","296"
"23950","296","296","296"
"23960","292","292","292"
"23970","328","328","328"
"23980","310","310","310"
"23990","308","308","308"
"24000","284","284","284"
"24010","270","270","270"
"24020","304","304","304"
"24030","304","304","304"
"24040","326","326","326"
"24050","276","276","276"
"24060","308","308","308"
"24070","292","292","292"
"24080","282","282","282"
"24090","306","306","306"
"24100","322","322","322"
"24110","292","292","292"
"24120","316","316","316"
"24130","328","328","328"
"24140","292","292","292"
"24150","298","298","298"
"24160","304","304","304"
"24170","252","252","252"
"24180","322","322","322"
"24190","296","296","296"
"24200","326","326","326"
"24210","290","290","290"
"24220","322","322","322"
"24230","324","324","324"
"24240","268","268","268"
"24250","282","282","282"
"24260","304","304","304"
"24270","286","286","286"
"24280","300","300","300"
"24290","288","288","288"
"24300","322","322","322"
"24310","302","302","302"
"24320","316","316","316"
"24330","304","304","304"
"24340","312","312","312"
"24350","300","300","300"
"24360","310","310","310"
"24370","306","306","306"
"24380","280","280","280"
"24390","288","288","288"
"24400","300","300","300"
"24410","322","322","322"
"24420","322","322","322"
"24430","264","264","264"
"24440","314","314","314"
"24450","324","324","324"
"24460","302","302","302"
"24470","296","296","296"
"24480","292","292","292"
"24490","304","304","304"
"24500","300","300","300"
"24510","300","300","300"
"24520","294","294","294"
"24530","300","300","300"
"24540","302","302","302"
"24550","306","306","306"
"24560","326","326","326"
"24570","330","330","330"
"24580","324","324","324"
"24590","316","316","316"
"24600","260","260","260"
"24610","302","302","302"
"24620","288","288","288"
"24630","300","300","300"
"24640","318","318","318"
"24650","292","292","292"
"24660","294","294","294"
"24670","300","300","300"
"24680","314","314","314"
"24690","294","294","294"
"24700","288","288","288"
"24710","304","304","304"
"24720","252","252","252"
"24730","346","346","346"
"24740","296","296","296"
"24750","304","304","304"
"24760","328","328","328"
"24770","306","306","306"
"24780","340","340","340"
"24790","324","324","324"
"24800","272","272","272"
"24810","294","294","294"
"24820","290","290","290"
"24830","320","320","320"
"24840","308","308","308"
"24850","239","239","239"
"24860","300","300","300"
"24870","316","316","316"
"24880","268","268","268"
"24890","298","298","298"
"24900","314","314","314"
"24910","318","318","318"
"24920","274","274","274"
"24930","278","278","278"
"24940","250","250","250"
"24950","260","260","260"
"24960","290","290","290"
"24970","316","316","316"
"24980","308","308","308"
"24990","306","306","306"
"25000","296","296","296"
"25010","288","288","288"
"25020","304","304","304"
"25030","316","316","316"
"25040","292","292","292"
"25050","300","300","300"
"25060","316","316","316"
"25070","276","276","276"
"25080","292","292","292"
"25090","241","241","241"
"25100","312","312","312"
"25110","300","300","300"
"25120","324","324","324"
"25130","322","322","322"
"25140","274","274","274"
"25150","288","288","288"
