"Step","deep-planet-14 - cov_loss","deep-planet-14 - cov_loss__MIN","deep-planet-14 - cov_loss__MAX"
"1520","1.5390625","1.5390625","1.5390625"
"1530","1.453125","1.453125","1.453125"
"1540","1.5859375","1.5859375","1.5859375"
"1550","2.34375","2.34375","2.34375"
"1560","1.40625","1.40625","1.40625"
"1570","1.1015625","1.1015625","1.1015625"
"1580","1.671875","1.671875","1.671875"
"1590","2.6875","2.6875","2.6875"
"1600","1.53125","1.53125","1.53125"
"1610","2.15625","2.15625","2.15625"
"1620","1.9921875","1.9921875","1.9921875"
"1630","2.34375","2.34375","2.34375"
"1640","2.046875","2.046875","2.046875"
"1650","1.9453125","1.9453125","1.9453125"
"1660","1.1953125","1.1953125","1.1953125"
"1670","1.65625","1.65625","1.65625"
"1680","2.921875","2.921875","2.921875"
"1690","1.71875","1.71875","1.71875"
"1700","2.4375","2.4375","2.4375"
"1710","1.75","1.75","1.75"
"1720","2.375","2.375","2.375"
"1730","1.8046875","1.8046875","1.8046875"
"1740","2.46875","2.46875","2.46875"
"1750","2.25","2.25","2.25"
"1760","2.59375","2.59375","2.59375"
"1770","1.4375","1.4375","1.4375"
"1780","1.90625","1.90625","1.90625"
"1790","1.296875","1.296875","1.296875"
"1800","2.484375","2.484375","2.484375"
"1810","1.65625","1.65625","1.65625"
"1820","1.765625","1.765625","1.765625"
"1830","1.5390625","1.5390625","1.5390625"
"1840","1.703125","1.703125","1.703125"
"1850","1.375","1.375","1.375"
"1860","1.296875","1.296875","1.296875"
"1870","2.453125","2.453125","2.453125"
"1880","2.296875","2.296875","2.296875"
"1890","1.828125","1.828125","1.828125"
"1900","1.1953125","1.1953125","1.1953125"
"1910","2.125","2.125","2.125"
"1920","2.734375","2.734375","2.734375"
"1930","2.953125","2.953125","2.953125"
"1940","1.75","1.75","1.75"
"1950","2","2","2"
"1960","2.609375","2.609375","2.609375"
"1970","1.84375","1.84375","1.84375"
"1980","2.421875","2.421875","2.421875"
"1990","1.5078125","1.5078125","1.5078125"
"2000","1.203125","1.203125","1.203125"
"2010","2.75","2.75","2.75"
"2020","1.1796875","1.1796875","1.1796875"
"2030","1.0703125","1.0703125","1.0703125"
"2040","1.296875","1.296875","1.296875"
"2050","2.390625","2.390625","2.390625"
"2060","1.8828125","1.8828125","1.8828125"
"2070","3.203125","3.203125","3.203125"
"2080","2.171875","2.171875","2.171875"
"2090","1.5078125","1.5078125","1.5078125"
"2100","1.9609375","1.9609375","1.9609375"
"2110","2.640625","2.640625","2.640625"
"2120","1.3515625","1.3515625","1.3515625"
"2130","2.859375","2.859375","2.859375"
"2140","2.953125","2.953125","2.953125"
"2150","1.8984375","1.8984375","1.8984375"
"2160","2.15625","2.15625","2.15625"
"2170","2.859375","2.859375","2.859375"
"2180","2.34375","2.34375","2.34375"
"2190","1.8984375","1.8984375","1.8984375"
"2200","2.28125","2.28125","2.28125"
"2210","3.203125","3.203125","3.203125"
"2220","2.546875","2.546875","2.546875"
"2230","1.21875","1.21875","1.21875"
"2240","2.984375","2.984375","2.984375"
"2250","1.71875","1.71875","1.71875"
"2260","1.8984375","1.8984375","1.8984375"
"2270","2.046875","2.046875","2.046875"
"2280","2.140625","2.140625","2.140625"
"2290","2.125","2.125","2.125"
"2300","2.78125","2.78125","2.78125"
"2310","3.140625","3.140625","3.140625"
"2320","2.234375","2.234375","2.234375"
"2330","2.71875","2.71875","2.71875"
"2340","2.109375","2.109375","2.109375"
"2350","2.84375","2.84375","2.84375"
"2360","1.953125","1.953125","1.953125"
"2370","1.96875","1.96875","1.96875"
"2380","1.7890625","1.7890625","1.7890625"
"2390","2.0625","2.0625","2.0625"
"2400","1.78125","1.78125","1.78125"
"2410","2.1875","2.1875","2.1875"
"2420","2.453125","2.453125","2.453125"
"2430","3.28125","3.28125","3.28125"
"2440","1.5234375","1.5234375","1.5234375"
"2450","2.34375","2.34375","2.34375"
"2460","2.984375","2.984375","2.984375"
"2470","2.921875","2.921875","2.921875"
"2480","2.890625","2.890625","2.890625"
