"Step","deep-planet-14 - contrastive_loss","deep-planet-14 - contrastive_loss__MIN","deep-planet-14 - contrastive_loss__MAX"
"1690","4.59375","4.59375","4.59375"
"1700","4.625","4.625","4.625"
"1710","4.59375","4.59375","4.59375"
"1720","4.625","4.625","4.625"
"1730","4.59375","4.59375","4.59375"
"1740","4.625","4.625","4.625"
"1750","4.59375","4.59375","4.59375"
"1760","4.65625","4.65625","4.65625"
"1770","4.59375","4.59375","4.59375"
"1780","4.59375","4.59375","4.59375"
"1790","4.59375","4.59375","4.59375"
"1800","4.625","4.625","4.625"
"1810","4.59375","4.59375","4.59375"
"1820","4.59375","4.59375","4.59375"
"1830","4.59375","4.59375","4.59375"
"1840","4.59375","4.59375","4.59375"
"1850","4.59375","4.59375","4.59375"
"1860","4.59375","4.59375","4.59375"
"1870","4.625","4.625","4.625"
"1880","4.625","4.625","4.625"
"1890","4.59375","4.59375","4.59375"
"1900","4.59375","4.59375","4.59375"
"1910","4.59375","4.59375","4.59375"
"1920","4.65625","4.65625","4.65625"
"1930","4.65625","4.65625","4.65625"
"1940","4.5625","4.5625","4.5625"
"1950","4.59375","4.59375","4.59375"
"1960","4.65625","4.65625","4.65625"
"1970","4.59375","4.59375","4.59375"
"1980","4.625","4.625","4.625"
"1990","4.59375","4.59375","4.59375"
"2000","4.5625","4.5625","4.5625"
"2010","4.65625","4.65625","4.65625"
"2020","4.5625","4.5625","4.5625"
"2030","4.59375","4.59375","4.59375"
"2040","4.625","4.625","4.625"
"2050","4.65625","4.65625","4.65625"
"2060","4.59375","4.59375","4.59375"
"2070","4.65625","4.65625","4.65625"
"2080","4.59375","4.59375","4.59375"
"2090","4.59375","4.59375","4.59375"
"2100","4.625","4.625","4.625"
"2110","4.625","4.625","4.625"
"2120","4.59375","4.59375","4.59375"
"2130","4.625","4.625","4.625"
"2140","4.625","4.625","4.625"
"2150","4.59375","4.59375","4.59375"
"2160","4.59375","4.59375","4.59375"
"2170","4.625","4.625","4.625"
"2180","4.625","4.625","4.625"
"2190","4.59375","4.59375","4.59375"
"2200","4.59375","4.59375","4.59375"
"2210","4.65625","4.65625","4.65625"
"2220","4.625","4.625","4.625"
"2230","4.625","4.625","4.625"
"2240","4.65625","4.65625","4.65625"
"2250","4.625","4.625","4.625"
"2260","4.59375","4.59375","4.59375"
"2270","4.59375","4.59375","4.59375"
"2280","4.59375","4.59375","4.59375"
"2290","4.625","4.625","4.625"
"2300","4.65625","4.65625","4.65625"
"2310","4.65625","4.65625","4.65625"
"2320","4.65625","4.65625","4.65625"
"2330","4.65625","4.65625","4.65625"
"2340","4.625","4.625","4.625"
"2350","4.65625","4.65625","4.65625"
"2360","4.65625","4.65625","4.65625"
"2370","4.625","4.625","4.625"
"2380","4.625","4.625","4.625"
"2390","4.65625","4.65625","4.65625"
"2400","4.59375","4.59375","4.59375"
"2410","4.625","4.625","4.625"
"2420","4.6875","4.6875","4.6875"
"2430","4.6875","4.6875","4.6875"
"2440","4.65625","4.65625","4.65625"
"2450","4.65625","4.65625","4.65625"
"2460","4.6875","4.6875","4.6875"
"2470","4.6875","4.6875","4.6875"
"2480","4.6875","4.6875","4.6875"
"2490","4.71875","4.71875","4.71875"
"2500","4.65625","4.65625","4.65625"
"2510","4.625","4.625","4.625"
"2520","4.625","4.625","4.625"
"2530","4.65625","4.65625","4.65625"
"2540","4.6875","4.6875","4.6875"
"2550","4.65625","4.65625","4.65625"
"2560","4.65625","4.65625","4.65625"
"2570","4.65625","4.65625","4.65625"
"2580","4.65625","4.65625","4.65625"
"2590","4.6875","4.6875","4.6875"
"2600","4.65625","4.65625","4.65625"
"2610","4.6875","4.6875","4.6875"
"2620","4.71875","4.71875","4.71875"
"2630","4.6875","4.6875","4.6875"
"2640","4.65625","4.65625","4.65625"
"2650","4.6875","4.6875","4.6875"
"2660","4.6875","4.6875","4.6875"
"2670","4.71875","4.71875","4.71875"
"2680","4.65625","4.65625","4.65625"
"2690","4.6875","4.6875","4.6875"
"2700","4.65625","4.65625","4.65625"
"2710","4.6875","4.6875","4.6875"
"2720","4.6875","4.6875","4.6875"
"2730","4.6875","4.6875","4.6875"
"2740","4.71875","4.71875","4.71875"
"2750","4.71875","4.71875","4.71875"
"2760","4.6875","4.6875","4.6875"
