"Step","tpu-v4-spmd-resumed-0 - train/delta_cos_l40_t23","tpu-v4-spmd-resumed-0 - train/delta_cos_l40_t23__MIN","tpu-v4-spmd-resumed-0 - train/delta_cos_l40_t23__MAX"
"20","0.0439453125","0.0439453125","0.0439453125"
"40","-0.08056640625","-0.08056640625","-0.08056640625"
"60","-0.052490234375","-0.052490234375","-0.052490234375"
"80","-0.01513671875","-0.01513671875","-0.01513671875"
"100","-0.04296875","-0.04296875","-0.04296875"
"120","-0.003204345703125","-0.003204345703125","-0.003204345703125"
"140","-0.017578125","-0.017578125","-0.017578125"
"160","0.08642578125","0.08642578125","0.08642578125"
"180","0.032470703125","0.032470703125","0.032470703125"
"200","0.021484375","0.021484375","0.021484375"
"220","-0.05908203125","-0.05908203125","-0.05908203125"
"240","0.04345703125","0.04345703125","0.04345703125"
"260","-0.003997802734375","-0.003997802734375","-0.003997802734375"
"280","0.0068359375","0.0068359375","0.0068359375"
"300","-0.00042724609375","-0.00042724609375","-0.00042724609375"
"320","-0.0208740234375","-0.0208740234375","-0.0208740234375"
"340","-0.001678466796875","-0.001678466796875","-0.001678466796875"
"360","-0.0286865234375","-0.0286865234375","-0.0286865234375"
"380","-0.0087890625","-0.0087890625","-0.0087890625"
"400","0.016357421875","0.016357421875","0.016357421875"
"420","0.01251220703125","0.01251220703125","0.01251220703125"
"440","0.003265380859375","0.003265380859375","0.003265380859375"
"460","0.020751953125","0.020751953125","0.020751953125"
"480","0.044677734375","0.044677734375","0.044677734375"
"500","0.03662109375","0.03662109375","0.03662109375"
"520","0.017578125","0.017578125","0.017578125"
"540","-0.01611328125","-0.01611328125","-0.01611328125"
"560","0.00390625","0.00390625","0.00390625"
"580","0.0216064453125","0.0216064453125","0.0216064453125"
"600","0.01904296875","0.01904296875","0.01904296875"
"620","-0.0166015625","-0.0166015625","-0.0166015625"
"640","0.052001953125","0.052001953125","0.052001953125"
"660","-0.0019989013671875","-0.0019989013671875","-0.0019989013671875"
"680","0.0576171875","0.0576171875","0.0576171875"
"700","0.0302734375","0.0302734375","0.0302734375"
"720","0.048828125","0.048828125","0.048828125"
"740","0.0059814453125","0.0059814453125","0.0059814453125"
"760","0.0296630859375","0.0296630859375","0.0296630859375"
"780","0.01190185546875","0.01190185546875","0.01190185546875"
"800","0.04833984375","0.04833984375","0.04833984375"
"820","0.033935546875","0.033935546875","0.033935546875"
"840","0.060546875","0.060546875","0.060546875"
"860","0.00665283203125","0.00665283203125","0.00665283203125"
"880","0.125","0.125","0.125"
"900","0.1162109375","0.1162109375","0.1162109375"
"920","0.006591796875","0.006591796875","0.006591796875"
"940","0.0299072265625","0.0299072265625","0.0299072265625"
"960","0.123046875","0.123046875","0.123046875"
"980","0.08740234375","0.08740234375","0.08740234375"
"1000","0.11328125","0.11328125","0.11328125"
"1020","0.126953125","0.126953125","0.126953125"
"1040","0.09228515625","0.09228515625","0.09228515625"
"1060","0.058349609375","0.058349609375","0.058349609375"
"1080","0.08154296875","0.08154296875","0.08154296875"
"1100","0.1572265625","0.1572265625","0.1572265625"
"1120","0.1083984375","0.1083984375","0.1083984375"
"1140","0.08984375","0.08984375","0.08984375"
"1160","0.0908203125","0.0908203125","0.0908203125"
"1180","0.181640625","0.181640625","0.181640625"
"1200","0.034423828125","0.034423828125","0.034423828125"
"1220","0.1220703125","0.1220703125","0.1220703125"
"1240","0.107421875","0.107421875","0.107421875"
"1260","0.20703125","0.20703125","0.20703125"
"1280","0.123046875","0.123046875","0.123046875"
"1300","0.09423828125","0.09423828125","0.09423828125"
"1320","0.236328125","0.236328125","0.236328125"
"1340","0.037109375","0.037109375","0.037109375"
"1360","0.09912109375","0.09912109375","0.09912109375"
"1380","0.224609375","0.224609375","0.224609375"
"1400","0.15234375","0.15234375","0.15234375"
"1420","0.07958984375","0.07958984375","0.07958984375"
"1440","0.0458984375","0.0458984375","0.0458984375"
"1460","0.2177734375","0.2177734375","0.2177734375"
"1480","0.1318359375","0.1318359375","0.1318359375"
"1500","0.2158203125","0.2158203125","0.2158203125"
"1520","0.1640625","0.1640625","0.1640625"
"1540","0.1484375","0.1484375","0.1484375"
"1560","0.21484375","0.21484375","0.21484375"
"1580","0.232421875","0.232421875","0.232421875"
"1600","0.07080078125","0.07080078125","0.07080078125"
"1620","0.150390625","0.150390625","0.150390625"
"1640","0.1474609375","0.1474609375","0.1474609375"
"1660","0.0732421875","0.0732421875","0.0732421875"
"1680","0.166015625","0.166015625","0.166015625"
"1700","0.13671875","0.13671875","0.13671875"
"1720","0.099609375","0.099609375","0.099609375"
"1740","0.1650390625","0.1650390625","0.1650390625"
"1760","0.177734375","0.177734375","0.177734375"
"1780","0.171875","0.171875","0.171875"
"1800","0.1728515625","0.1728515625","0.1728515625"
"1820","0.09765625","0.09765625","0.09765625"
"1840","0.07763671875","0.07763671875","0.07763671875"
