"Step","tpu-v4-spmd-resumed-18000 - train/full_l40_prior","tpu-v4-spmd-resumed-18000 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-18000 - train/full_l40_prior__MAX"
"18020","1.5390625","1.5390625","1.5390625"
"18040","1.4453125","1.4453125","1.4453125"
"18060","1.390625","1.390625","1.390625"
"18080","1.2734375","1.2734375","1.2734375"
"18100","1.2421875","1.2421875","1.2421875"
"18120","1.171875","1.171875","1.171875"
"18140","1.171875","1.171875","1.171875"
"18160","1.359375","1.359375","1.359375"
"18180","2.828125","2.828125","2.828125"
"18200","1.125","1.125","1.125"
"18220","1.1796875","1.1796875","1.1796875"
"18240","1.296875","1.296875","1.296875"
"18260","1.328125","1.328125","1.328125"
"18280","1.2109375","1.2109375","1.2109375"
"18300","1.25","1.25","1.25"
"18320","1.234375","1.234375","1.234375"
"18340","1.1328125","1.1328125","1.1328125"
"18360","1.390625","1.390625","1.390625"
"18380","1.25","1.25","1.25"
"18400","1.578125","1.578125","1.578125"
"18420","1.078125","1.078125","1.078125"
"18440","1.328125","1.328125","1.328125"
"18460","1.4375","1.4375","1.4375"
"18480","1.203125","1.203125","1.203125"
"18500","1.6015625","1.6015625","1.6015625"
"18520","1.1484375","1.1484375","1.1484375"
"18540","1.296875","1.296875","1.296875"
"18560","1.28125","1.28125","1.28125"
"18580","1.0625","1.0625","1.0625"
"18600","1.3125","1.3125","1.3125"
"18620","1.28125","1.28125","1.28125"
"18640","1.09375","1.09375","1.09375"
"18660","1.0625","1.0625","1.0625"
"18680","1.2265625","1.2265625","1.2265625"
"18700","1.03125","1.03125","1.03125"
"18720","1.125","1.125","1.125"
"18740","1.078125","1.078125","1.078125"
"18760","1","1","1"
"18780","1.125","1.125","1.125"
"18800","1.09375","1.09375","1.09375"
"18820","1.0390625","1.0390625","1.0390625"
"18840","1.0078125","1.0078125","1.0078125"
"18860","1.015625","1.015625","1.015625"
"18880","1.109375","1.109375","1.109375"
"18900","1.1171875","1.1171875","1.1171875"
"18920","1.1015625","1.1015625","1.1015625"
"18940","1.171875","1.171875","1.171875"
"18960","1.0234375","1.0234375","1.0234375"
"18980","1.0859375","1.0859375","1.0859375"
"19000","1.125","1.125","1.125"
"19020","1.03125","1.03125","1.03125"
"19040","1.09375","1.09375","1.09375"
"19060","0.9921875","0.9921875","0.9921875"
"19080","0.94921875","0.94921875","0.94921875"
"19100","1.0546875","1.0546875","1.0546875"
"19120","1","1","1"
