"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"3080","0.5390625","0.5390625","0.5390625"
"3100","0.5546875","0.5546875","0.5546875"
"3120","0.55078125","0.55078125","0.55078125"
"3140","0.5390625","0.5390625","0.5390625"
"3160","0.55859375","0.55859375","0.55859375"
"3180","0.5546875","0.5546875","0.5546875"
"3200","0.55078125","0.55078125","0.55078125"
"3220","0.53125","0.53125","0.53125"
"3240","0.51171875","0.51171875","0.51171875"
"3260","0.48828125","0.48828125","0.48828125"
"3280","0.52734375","0.52734375","0.52734375"
"3300","0.6484375","0.6484375","0.6484375"
"3320","0.625","0.625","0.625"
"3340","0.67578125","0.67578125","0.67578125"
"3360","0.546875","0.546875","0.546875"
"3380","0.52734375","0.52734375","0.52734375"
"3400","0.58203125","0.58203125","0.58203125"
"3420","0.578125","0.578125","0.578125"
"3440","0.51953125","0.51953125","0.51953125"
"3460","0.52734375","0.52734375","0.52734375"
"3480","0.515625","0.515625","0.515625"
"3500","0.51171875","0.51171875","0.51171875"
"3520","0.54296875","0.54296875","0.54296875"
"3540","0.9609375","0.9609375","0.9609375"
"3560","0.5390625","0.5390625","0.5390625"
"3580","0.6171875","0.6171875","0.6171875"
"3600","0.5234375","0.5234375","0.5234375"
"3620","0.6484375","0.6484375","0.6484375"
"3640","0.66796875","0.66796875","0.66796875"
"3660","0.5","0.5","0.5"
"3680","0.5703125","0.5703125","0.5703125"
"3700","0.6328125","0.6328125","0.6328125"
"3720","0.5234375","0.5234375","0.5234375"
"3740","0.6015625","0.6015625","0.6015625"
"3760","0.546875","0.546875","0.546875"
"3780","0.54296875","0.54296875","0.54296875"
"3800","0.5234375","0.5234375","0.5234375"
"3820","0.54296875","0.54296875","0.54296875"
"3840","0.60546875","0.60546875","0.60546875"
"3860","0.51171875","0.51171875","0.51171875"
"3880","0.5703125","0.5703125","0.5703125"
"3900","0.59375","0.59375","0.59375"
"3920","0.59375","0.59375","0.59375"
"3940","0.515625","0.515625","0.515625"
"3960","0.5390625","0.5390625","0.5390625"
"3980","0.5859375","0.5859375","0.5859375"
"4000","0.4921875","0.4921875","0.4921875"
"4020","0.5234375","0.5234375","0.5234375"
"4040","0.578125","0.578125","0.578125"
"4060","0.5703125","0.5703125","0.5703125"
"4080","0.546875","0.546875","0.546875"
"4100","0.78125","0.78125","0.78125"
"4120","0.6015625","0.6015625","0.6015625"
"4140","0.56640625","0.56640625","0.56640625"
"4160","0.6953125","0.6953125","0.6953125"
"4180","0.7578125","0.7578125","0.7578125"
"4200","0.8671875","0.8671875","0.8671875"
"4220","2.390625","2.390625","2.390625"
"4240","0.7265625","0.7265625","0.7265625"
"4260","1.828125","1.828125","1.828125"
"4280","2.046875","2.046875","2.046875"
"4300","0.8515625","0.8515625","0.8515625"
"4320","0.7109375","0.7109375","0.7109375"
"4340","0.640625","0.640625","0.640625"
"4360","1.796875","1.796875","1.796875"
"4380","1.1640625","1.1640625","1.1640625"
"4400","0.86328125","0.86328125","0.86328125"
"4420","0.921875","0.921875","0.921875"
"4440","0.7109375","0.7109375","0.7109375"
"4460","0.765625","0.765625","0.765625"
"4480","0.671875","0.671875","0.671875"
"4500","0.71875","0.71875","0.71875"
"4520","0.671875","0.671875","0.671875"
"4540","0.6171875","0.6171875","0.6171875"
"4560","0.625","0.625","0.625"
"4580","0.546875","0.546875","0.546875"
"4600","0.6484375","0.6484375","0.6484375"
"4620","0.50390625","0.50390625","0.50390625"
"4640","0.625","0.625","0.625"
"4660","0.6953125","0.6953125","0.6953125"
"4680","0.5234375","0.5234375","0.5234375"
"4700","0.609375","0.609375","0.609375"
"4720","0.51953125","0.51953125","0.51953125"
"4740","0.546875","0.546875","0.546875"
"4760","0.5546875","0.5546875","0.5546875"
"4780","0.546875","0.546875","0.546875"
"4800","0.5390625","0.5390625","0.5390625"
"4820","0.49609375","0.49609375","0.49609375"
"4840","0.5703125","0.5703125","0.5703125"
"4860","0.5078125","0.5078125","0.5078125"
"4880","0.48046875","0.48046875","0.48046875"
"4900","0.53125","0.53125","0.53125"
"4920","0.484375","0.484375","0.484375"
"4940","0.494140625","0.494140625","0.494140625"
"4960","0.48828125","0.48828125","0.48828125"
"4980","0.5","0.5","0.5"
"5000","0.51171875","0.51171875","0.51171875"
"5020","0.625","0.625","0.625"
"5040","0.48046875","0.48046875","0.48046875"
"5060","0.515625","0.515625","0.515625"
"5080","0.54296875","0.54296875","0.54296875"
"5100","0.474609375","0.474609375","0.474609375"
"5120","0.59765625","0.59765625","0.59765625"
"5140","0.47265625","0.47265625","0.47265625"
"5160","0.51171875","0.51171875","0.51171875"
"5180","0.466796875","0.466796875","0.466796875"
"5200","0.4765625","0.4765625","0.4765625"
"5220","0.48828125","0.48828125","0.48828125"
"5240","0.5234375","0.5234375","0.5234375"
"5260","0.5390625","0.5390625","0.5390625"
"5280","0.49609375","0.49609375","0.49609375"
"5300","0.51953125","0.51953125","0.51953125"
"5320","0.45703125","0.45703125","0.45703125"
"5340","0.48828125","0.48828125","0.48828125"
