"Step","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MIN","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MAX"
"20800","0.6015625","0.6015625","0.6015625"
"20820","0.3046875","0.3046875","0.3046875"
"20840","0.46875","0.46875","0.46875"
"20860","0.64453125","0.64453125","0.64453125"
"20880","0.78125","0.78125","0.78125"
"20900","0.5390625","0.5390625","0.5390625"
"20920","0.5234375","0.5234375","0.5234375"
"20940","0.375","0.375","0.375"
"20960","0.6328125","0.6328125","0.6328125"
"20980","0.53515625","0.53515625","0.53515625"
"21000","0.32421875","0.32421875","0.32421875"
"21020","0.4375","0.4375","0.4375"
"21040","0.5625","0.5625","0.5625"
"21060","0.26953125","0.26953125","0.26953125"
"21080","0.5625","0.5625","0.5625"
"21100","0.31640625","0.31640625","0.31640625"
"21120","0.3828125","0.3828125","0.3828125"
"21140","0.51953125","0.51953125","0.51953125"
"21160","0.412109375","0.412109375","0.412109375"
"21180","0.71875","0.71875","0.71875"
"21200","0.283203125","0.283203125","0.283203125"
"21220","0.6640625","0.6640625","0.6640625"
"21240","0.271484375","0.271484375","0.271484375"
"21260","0.60546875","0.60546875","0.60546875"
"21280","0.71484375","0.71484375","0.71484375"
"21300","0.41796875","0.41796875","0.41796875"
"21320","0.5078125","0.5078125","0.5078125"
"21340","0.6171875","0.6171875","0.6171875"
"21360","0.6015625","0.6015625","0.6015625"
"21380","0.4296875","0.4296875","0.4296875"
"21400","0.6875","0.6875","0.6875"
"21420","0.2412109375","0.2412109375","0.2412109375"
"21440","0.59375","0.59375","0.59375"
"21460","0.6171875","0.6171875","0.6171875"
"21480","0.66796875","0.66796875","0.66796875"
"21500","0.359375","0.359375","0.359375"
"21520","0.2578125","0.2578125","0.2578125"
"21540","0.439453125","0.439453125","0.439453125"
"21560","0.5859375","0.5859375","0.5859375"
"21580","0.42578125","0.42578125","0.42578125"
"21600","0.53515625","0.53515625","0.53515625"
"21620","0.703125","0.703125","0.703125"
