"Step","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t12","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t12__MIN","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t12__MAX"
"18020","0.71875","0.71875","0.71875"
"18040","0.75390625","0.75390625","0.75390625"
"18060","0.7109375","0.7109375","0.7109375"
"18080","0.74609375","0.74609375","0.74609375"
"18100","0.55859375","0.55859375","0.55859375"
"18120","0.58203125","0.58203125","0.58203125"
"18140","0.77734375","0.77734375","0.77734375"
"18160","0.470703125","0.470703125","0.470703125"
"18180","0.443359375","0.443359375","0.443359375"
"18200","0.7109375","0.7109375","0.7109375"
"18220","0.458984375","0.458984375","0.458984375"
"18240","0.6640625","0.6640625","0.6640625"
"18260","0.671875","0.671875","0.671875"
"18280","0.734375","0.734375","0.734375"
"18300","0.625","0.625","0.625"
"18320","0.4375","0.4375","0.4375"
"18340","0.361328125","0.361328125","0.361328125"
"18360","0.640625","0.640625","0.640625"
"18380","0.419921875","0.419921875","0.419921875"
"18400","0.5078125","0.5078125","0.5078125"
"18420","0.2236328125","0.2236328125","0.2236328125"
"18440","0.6953125","0.6953125","0.6953125"
"18460","0.71875","0.71875","0.71875"
"18480","0.5859375","0.5859375","0.5859375"
"18500","0.625","0.625","0.625"
"18520","0.625","0.625","0.625"
"18540","0.7265625","0.7265625","0.7265625"
"18560","0.6484375","0.6484375","0.6484375"
"18580","0.703125","0.703125","0.703125"
"18600","0.33203125","0.33203125","0.33203125"
"18620","0.671875","0.671875","0.671875"
"18640","0.431640625","0.431640625","0.431640625"
"18660","0.484375","0.484375","0.484375"
"18680","0.65234375","0.65234375","0.65234375"
"18700","0.35546875","0.35546875","0.35546875"
"18720","0.59375","0.59375","0.59375"
"18740","0.73046875","0.73046875","0.73046875"
"18760","0.56640625","0.56640625","0.56640625"
"18780","0.48828125","0.48828125","0.48828125"
"18800","0.416015625","0.416015625","0.416015625"
"18820","0.6953125","0.6953125","0.6953125"
"18840","0.6953125","0.6953125","0.6953125"
"18860","0.46875","0.46875","0.46875"
"18880","0.42578125","0.42578125","0.42578125"
"18900","0.5859375","0.5859375","0.5859375"
"18920","0.7421875","0.7421875","0.7421875"
"18940","0.318359375","0.318359375","0.318359375"
"18960","0.53125","0.53125","0.53125"
"18980","0.25390625","0.25390625","0.25390625"
"19000","0.51171875","0.51171875","0.51171875"
"19020","0.5546875","0.5546875","0.5546875"
"19040","0.5703125","0.5703125","0.5703125"
"19060","0.59375","0.59375","0.59375"
"19080","0.7109375","0.7109375","0.7109375"
"19100","0.41796875","0.41796875","0.41796875"
"19120","0.546875","0.546875","0.546875"
"19140","0.7578125","0.7578125","0.7578125"
"19160","0.5","0.5","0.5"
"19180","0.48828125","0.48828125","0.48828125"
"19200","0.546875","0.546875","0.546875"
"19220","0.3984375","0.3984375","0.3984375"
"19240","0.412109375","0.412109375","0.412109375"
"19260","0.427734375","0.427734375","0.427734375"
"19280","0.6171875","0.6171875","0.6171875"
"19300","0.466796875","0.466796875","0.466796875"
"19320","0.609375","0.609375","0.609375"
"19340","0.734375","0.734375","0.734375"
"19360","0.55078125","0.55078125","0.55078125"
"19380","0.65625","0.65625","0.65625"
"19400","0.66015625","0.66015625","0.66015625"
