"Step","tpu-v4-spmd-resumed-0 - train/loss","tpu-v4-spmd-resumed-0 - train/loss__MIN","tpu-v4-spmd-resumed-0 - train/loss__MAX"
"20","748","748","748"
"40","264","264","264"
"60","249","249","249"
"80","258","258","258"
"100","242","242","242"
"120","216","216","216"
"140","165","165","165"
"160","121.5","121.5","121.5"
"180","105.5","105.5","105.5"
"200","80.5","80.5","80.5"
"220","126.5","126.5","126.5"
"240","61","61","61"
"260","57.5","57.5","57.5"
"280","47.5","47.5","47.5"
"300","63.25","63.25","63.25"
"320","48.5","48.5","48.5"
"340","42.5","42.5","42.5"
"360","37","37","37"
"380","41.5","41.5","41.5"
"400","55","55","55"
"420","37.75","37.75","37.75"
"440","39","39","39"
"460","30.875","30.875","30.875"
"480","32.25","32.25","32.25"
"500","28.625","28.625","28.625"
"520","30.125","30.125","30.125"
"540","26","26","26"
"560","28","28","28"
"580","20.375","20.375","20.375"
"600","26.625","26.625","26.625"
"620","17.75","17.75","17.75"
"640","37.5","37.5","37.5"
"660","20","20","20"
"680","31.25","31.25","31.25"
"700","32","32","32"
"720","24.625","24.625","24.625"
"740","19.75","19.75","19.75"
"760","18.25","18.25","18.25"
"780","18.125","18.125","18.125"
"800","16.5","16.5","16.5"
"820","18.5","18.5","18.5"
"840","16","16","16"
"860","17.625","17.625","17.625"
"880","17.375","17.375","17.375"
"900","18","18","18"
"920","20.75","20.75","20.75"
"940","16.75","16.75","16.75"
"960","14.5","14.5","14.5"
"980","12.0625","12.0625","12.0625"
"1000","18","18","18"
"1020","12","12","12"
"1040","12.5","12.5","12.5"
"1060","11.6875","11.6875","11.6875"
"1080","19.25","19.25","19.25"
"1100","12.625","12.625","12.625"
"1120","13.25","13.25","13.25"
"1140","13.0625","13.0625","13.0625"
"1160","11.5625","11.5625","11.5625"
"1180","11.25","11.25","11.25"
"1200","12.75","12.75","12.75"
"1220","15.8125","15.8125","15.8125"
"1240","11.625","11.625","11.625"
"1260","12.1875","12.1875","12.1875"
"1280","12.4375","12.4375","12.4375"
"1300","11.9375","11.9375","11.9375"
"1320","12.0625","12.0625","12.0625"
"1340","13.375","13.375","13.375"
"1360","15.0625","15.0625","15.0625"
"1380","12.8125","12.8125","12.8125"
"1400","12.6875","12.6875","12.6875"
"1420","13.6875","13.6875","13.6875"
"1440","11.4375","11.4375","11.4375"
"1460","14.125","14.125","14.125"
"1480","11.625","11.625","11.625"
"1500","11.625","11.625","11.625"
"1520","13.25","13.25","13.25"
"1540","11.5","11.5","11.5"
"1560","12.625","12.625","12.625"
"1580","13.3125","13.3125","13.3125"
"1600","11.125","11.125","11.125"
"1620","11.75","11.75","11.75"
"1640","11.75","11.75","11.75"
"1660","14.8125","14.8125","14.8125"
"1680","13","13","13"
"1700","10.625","10.625","10.625"
"1720","14.0625","14.0625","14.0625"
"1740","10.375","10.375","10.375"
"1760","11.125","11.125","11.125"
"1780","13.8125","13.8125","13.8125"
"1800","11.25","11.25","11.25"
"1820","12.4375","12.4375","12.4375"
"1840","12.25","12.25","12.25"
"1860","12.6875","12.6875","12.6875"
"1880","10.75","10.75","10.75"
"1900","11.4375","11.4375","11.4375"
"1920","13.9375","13.9375","13.9375"
"1940","13.9375","13.9375","13.9375"
"1960","12.4375","12.4375","12.4375"
"1980","11.0625","11.0625","11.0625"
"2000","12.125","12.125","12.125"
"2020","13.0625","13.0625","13.0625"
"2040","12.125","12.125","12.125"
"2060","11.0625","11.0625","11.0625"
"2080","12.625","12.625","12.625"
"2100","10.25","10.25","10.25"
"2120","12","12","12"
"2140","12.5","12.5","12.5"
"2160","12.625","12.625","12.625"
"2180","10.5","10.5","10.5"
"2200","10.625","10.625","10.625"
"2220","22.75","22.75","22.75"
"2240","14.8125","14.8125","14.8125"
"2260","11.6875","11.6875","11.6875"
"2280","13.375","13.375","13.375"
"2300","9.5","9.5","9.5"
"2320","13.125","13.125","13.125"
"2340","17","17","17"
"2360","11.5","11.5","11.5"
"2380","9.75","9.75","9.75"
"2400","9.8125","9.8125","9.8125"
"2420","12.625","12.625","12.625"
"2440","10.0625","10.0625","10.0625"
"2460","13.8125","13.8125","13.8125"
"2480","10.875","10.875","10.875"
"2500","15.25","15.25","15.25"
"2520","14.6875","14.6875","14.6875"
"2540","9.375","9.375","9.375"
"2560","12.125","12.125","12.125"
"2580","10","10","10"
"2600","12.4375","12.4375","12.4375"
"2620","10.1875","10.1875","10.1875"
"2640","8.375","8.375","8.375"
"2660","9.5625","9.5625","9.5625"
"2680","11.875","11.875","11.875"
"2700","8.375","8.375","8.375"
"2720","9.1875","9.1875","9.1875"
"2740","10","10","10"
"2760","10.125","10.125","10.125"
"2780","10.5625","10.5625","10.5625"
"2800","10.9375","10.9375","10.9375"
"2820","8.25","8.25","8.25"
"2840","8.375","8.375","8.375"
"2860","8.5625","8.5625","8.5625"
"2880","9","9","9"
"2900","7.84375","7.84375","7.84375"
"2920","7.71875","7.71875","7.71875"
"2940","10.1875","10.1875","10.1875"
"2960","7.65625","7.65625","7.65625"
"2980","9","9","9"
"3000","14.75","14.75","14.75"
"3020","10.125","10.125","10.125"
"3040","9.5625","9.5625","9.5625"
"3060","10.375","10.375","10.375"
"3080","9.5","9.5","9.5"
"3100","9.375","9.375","9.375"
"3120","7.78125","7.78125","7.78125"
"3140","7.875","7.875","7.875"
"3160","9.4375","9.4375","9.4375"
"3180","8.5625","8.5625","8.5625"
"3200","7.6875","7.6875","7.6875"
"3220","8.125","8.125","8.125"
"3240","7.8125","7.8125","7.8125"
"3260","12.375","12.375","12.375"
"3280","8","8","8"
"3300","7.75","7.75","7.75"
"3320","8.0625","8.0625","8.0625"
"3340","11","11","11"
"3360","8.75","8.75","8.75"
"3380","10.1875","10.1875","10.1875"
"3400","7.9375","7.9375","7.9375"
"3420","8.625","8.625","8.625"
"3440","8.125","8.125","8.125"
"3460","8.375","8.375","8.375"
"3480","10","10","10"
"3500","9.75","9.75","9.75"
"3520","10.375","10.375","10.375"
"3540","13.125","13.125","13.125"
"3560","9","9","9"
"3580","7.625","7.625","7.625"
"3600","7.65625","7.65625","7.65625"
"3620","9.125","9.125","9.125"
"3640","9.4375","9.4375","9.4375"
"3660","10.8125","10.8125","10.8125"
"3680","8.5","8.5","8.5"
"3700","7.84375","7.84375","7.84375"
"3720","8.3125","8.3125","8.3125"
"3740","7.625","7.625","7.625"
"3760","9.875","9.875","9.875"
"3780","7.40625","7.40625","7.40625"
"3800","13.25","13.25","13.25"
"3820","7.8125","7.8125","7.8125"
"3840","11.125","11.125","11.125"
"3860","12.125","12.125","12.125"
"3880","11.875","11.875","11.875"
"3900","7.96875","7.96875","7.96875"
"3920","9.75","9.75","9.75"
"3940","9.5","9.5","9.5"
"3960","8.625","8.625","8.625"
"3980","8.6875","8.6875","8.6875"
"4000","8.25","8.25","8.25"
"4020","9.375","9.375","9.375"
"4040","8.125","8.125","8.125"
"4060","10.3125","10.3125","10.3125"
"4080","16.875","16.875","16.875"
"4100","9.625","9.625","9.625"
"4120","10.625","10.625","10.625"
"4140","13.625","13.625","13.625"
"4160","22.75","22.75","22.75"
"4180","9","9","9"
"4200","7.6875","7.6875","7.6875"
"4220","12.1875","12.1875","12.1875"
"4240","9.75","9.75","9.75"
"4260","11.625","11.625","11.625"
"4280","14.3125","14.3125","14.3125"
"4300","12.625","12.625","12.625"
"4320","9.75","9.75","9.75"
"4340","7.8125","7.8125","7.8125"
"4360","11.375","11.375","11.375"
"4380","8.125","8.125","8.125"
"4400","9.125","9.125","9.125"
"4420","7.9375","7.9375","7.9375"
"4440","7.875","7.875","7.875"
"4460","8.5","8.5","8.5"
"4480","8.625","8.625","8.625"
"4500","9.625","9.625","9.625"
"4520","9.1875","9.1875","9.1875"
"4540","9.5","9.5","9.5"
"4560","7.1875","7.1875","7.1875"
