"Step","smart-paper-27 - train/ce_loss","smart-paper-27 - train/ce_loss__MIN","smart-paper-27 - train/ce_loss__MAX"
"10","7.6875","7.6875","7.6875"
"20","6.5625","6.5625","6.5625"
"30","4.84375","4.84375","4.84375"
"40","5","5","5"
"50","5.5625","5.5625","5.5625"
"60","4.75","4.75","4.75"
"70","3.90625","3.90625","3.90625"
"80","3.734375","3.734375","3.734375"
"90","1.5703125","1.5703125","1.5703125"
"100","2.484375","2.484375","2.484375"
"110","2.0625","2.0625","2.0625"
"120","2.453125","2.453125","2.453125"
"130","1.8125","1.8125","1.8125"
"140","1.8203125","1.8203125","1.8203125"
"150","1.515625","1.515625","1.515625"
"160","1.1484375","1.1484375","1.1484375"
"170","1.65625","1.65625","1.65625"
"180","1.6484375","1.6484375","1.6484375"
"190","1.484375","1.484375","1.484375"
"200","1.1640625","1.1640625","1.1640625"
"210","1.3515625","1.3515625","1.3515625"
"220","0.47265625","0.47265625","0.47265625"
"230","0.6640625","0.6640625","0.6640625"
"240","0.56640625","0.56640625","0.56640625"
"250","0.8515625","0.8515625","0.8515625"
"260","0.65625","0.65625","0.65625"
"270","0.859375","0.859375","0.859375"
"280","0.6953125","0.6953125","0.6953125"
"290","0.51953125","0.51953125","0.51953125"
"300","0.54296875","0.54296875","0.54296875"
"310","1.71875","1.71875","1.71875"
"320","0.38671875","0.38671875","0.38671875"
"330","0.47265625","0.47265625","0.47265625"
"340","0.4140625","0.4140625","0.4140625"
"350","0.46484375","0.46484375","0.46484375"
"360","0.35546875","0.35546875","0.35546875"
"370","0.462890625","0.462890625","0.462890625"
"380","0.57421875","0.57421875","0.57421875"
"390","0.2421875","0.2421875","0.2421875"
"400","0.26953125","0.26953125","0.26953125"
"410","0.302734375","0.302734375","0.302734375"
"420","0.3046875","0.3046875","0.3046875"
"430","0.326171875","0.326171875","0.326171875"
"440","0.5703125","0.5703125","0.5703125"
"450","0.2333984375","0.2333984375","0.2333984375"
"460","0.279296875","0.279296875","0.279296875"
"470","0.359375","0.359375","0.359375"
"480","0.2099609375","0.2099609375","0.2099609375"
"490","0.228515625","0.228515625","0.228515625"
"500","0.171875","0.171875","0.171875"
"510","0.1669921875","0.1669921875","0.1669921875"
"520","0.1357421875","0.1357421875","0.1357421875"
"530","0.1357421875","0.1357421875","0.1357421875"
"540","0.181640625","0.181640625","0.181640625"
"550","0.2578125","0.2578125","0.2578125"
"560","0.1884765625","0.1884765625","0.1884765625"
"570","0.1767578125","0.1767578125","0.1767578125"
"580","0.193359375","0.193359375","0.193359375"
"590","0.10107421875","0.10107421875","0.10107421875"
"600","0.201171875","0.201171875","0.201171875"
"610","0.1845703125","0.1845703125","0.1845703125"
"620","0.1689453125","0.1689453125","0.1689453125"
"630","0.08544921875","0.08544921875","0.08544921875"
"640","0.162109375","0.162109375","0.162109375"
"650","0.26953125","0.26953125","0.26953125"
"660","0.1240234375","0.1240234375","0.1240234375"
"670","0.2392578125","0.2392578125","0.2392578125"
"680","0.1982421875","0.1982421875","0.1982421875"
"690","0.1201171875","0.1201171875","0.1201171875"
"700","0.17578125","0.17578125","0.17578125"
"710","0.08544921875","0.08544921875","0.08544921875"
"720","0.138671875","0.138671875","0.138671875"
"730","0.08203125","0.08203125","0.08203125"
"740","0.1318359375","0.1318359375","0.1318359375"
"750","0.1787109375","0.1787109375","0.1787109375"
"760","0.123046875","0.123046875","0.123046875"
"770","0.263671875","0.263671875","0.263671875"
"780","0.1083984375","0.1083984375","0.1083984375"
"790","0.10107421875","0.10107421875","0.10107421875"
"800","0.06982421875","0.06982421875","0.06982421875"
"810","0.1298828125","0.1298828125","0.1298828125"
"820","0.07666015625","0.07666015625","0.07666015625"
"830","0.09033203125","0.09033203125","0.09033203125"
"840","0.1376953125","0.1376953125","0.1376953125"
"850","0.12158203125","0.12158203125","0.12158203125"
"860","0.2265625","0.2265625","0.2265625"
"870","0.130859375","0.130859375","0.130859375"
"880","0.11376953125","0.11376953125","0.11376953125"
"890","0.09716796875","0.09716796875","0.09716796875"
"900","0.15625","0.15625","0.15625"
"910","0.19140625","0.19140625","0.19140625"
"920","0.09619140625","0.09619140625","0.09619140625"
"930","0.1494140625","0.1494140625","0.1494140625"
"940","0.09326171875","0.09326171875","0.09326171875"
"950","0.1396484375","0.1396484375","0.1396484375"
"960","0.08642578125","0.08642578125","0.08642578125"
"970","0.1103515625","0.1103515625","0.1103515625"
