"Step","spring-mountain-5 - train/ce_loss","spring-mountain-5 - train/ce_loss__MIN","spring-mountain-5 - train/ce_loss__MAX"
"10","0.0615234375","0.0615234375","0.0615234375"
"20","0.030029296875","0.030029296875","0.030029296875"
"30","0.036376953125","0.036376953125","0.036376953125"
"40","0.030029296875","0.030029296875","0.030029296875"
"50","0.0654296875","0.0654296875","0.0654296875"
"60","0.0419921875","0.0419921875","0.0419921875"
"70","0.032958984375","0.032958984375","0.032958984375"
"80","0.0439453125","0.0439453125","0.0439453125"
"90","0.0159912109375","0.0159912109375","0.0159912109375"
"100","0.06005859375","0.06005859375","0.06005859375"
"110","0.036865234375","0.036865234375","0.036865234375"
"120","0.03955078125","0.03955078125","0.03955078125"
"130","0.05908203125","0.05908203125","0.05908203125"
"140","0.034912109375","0.034912109375","0.034912109375"
"150","0.042724609375","0.042724609375","0.042724609375"
"160","0.0263671875","0.0263671875","0.0263671875"
"170","0.047119140625","0.047119140625","0.047119140625"
"180","0.06005859375","0.06005859375","0.06005859375"
"190","0.04443359375","0.04443359375","0.04443359375"
"200","0.04150390625","0.04150390625","0.04150390625"
"210","0.04443359375","0.04443359375","0.04443359375"
"220","0.0155029296875","0.0155029296875","0.0155029296875"
"230","0.0216064453125","0.0216064453125","0.0216064453125"
"240","0.0262451171875","0.0262451171875","0.0262451171875"
"250","0.037109375","0.037109375","0.037109375"
"260","0.033447265625","0.033447265625","0.033447265625"
"270","0.04833984375","0.04833984375","0.04833984375"
"280","0.0390625","0.0390625","0.0390625"
"290","0.02978515625","0.02978515625","0.02978515625"
"300","0.031494140625","0.031494140625","0.031494140625"
"310","0.11181640625","0.11181640625","0.11181640625"
"320","0.031494140625","0.031494140625","0.031494140625"
"330","0.0439453125","0.0439453125","0.0439453125"
"340","0.029052734375","0.029052734375","0.029052734375"
"350","0.041015625","0.041015625","0.041015625"
"360","0.036376953125","0.036376953125","0.036376953125"
"370","0.052978515625","0.052978515625","0.052978515625"
