"Step","phase1-awakening - loss","phase1-awakening - loss__MIN","phase1-awakening - loss__MAX"
"75","453.47442626953125","453.47442626953125","453.47442626953125"
"76","324.08319091796875","324.08319091796875","324.08319091796875"
"77","312.2704162597656","312.2704162597656","312.2704162597656"
"78","264.83966064453125","264.83966064453125","264.83966064453125"
"79","331.1162109375","331.1162109375","331.1162109375"
"80","321.8483581542969","321.8483581542969","321.8483581542969"
"81","315.6432800292969","315.6432800292969","315.6432800292969"
"82","319.5404052734375","319.5404052734375","319.5404052734375"
"83","379.9989318847656","379.9989318847656","379.9989318847656"
"84","318.03936767578125","318.03936767578125","318.03936767578125"
"85","318.7408142089844","318.7408142089844","318.7408142089844"
"86","332.1498718261719","332.1498718261719","332.1498718261719"
"87","331.8100891113281","331.8100891113281","331.8100891113281"
"88","291.6241455078125","291.6241455078125","291.6241455078125"
"89","316.5271911621094","316.5271911621094","316.5271911621094"
"90","327.91485595703125","327.91485595703125","327.91485595703125"
"91","262.20208740234375","262.20208740234375","262.20208740234375"
"92","359.4781799316406","359.4781799316406","359.4781799316406"
"93","374.26953125","374.26953125","374.26953125"
"94","356.72930908203125","356.72930908203125","356.72930908203125"
"95","387.2049255371094","387.2049255371094","387.2049255371094"
"96","269.7217712402344","269.7217712402344","269.7217712402344"
"97","292.9473571777344","292.9473571777344","292.9473571777344"
"98","333.7398681640625","333.7398681640625","333.7398681640625"
"99","301.1546325683594","301.1546325683594","301.1546325683594"
"100","275.1603088378906","275.1603088378906","275.1603088378906"
"101","332.7200012207031","332.7200012207031","332.7200012207031"
"102","247.40908813476562","247.40908813476562","247.40908813476562"
"103","304.6123962402344","304.6123962402344","304.6123962402344"
"104","288.2333068847656","288.2333068847656","288.2333068847656"
"105","261.49212646484375","261.49212646484375","261.49212646484375"
"106","237.4855499267578","237.4855499267578","237.4855499267578"
"107","294.3961181640625","294.3961181640625","294.3961181640625"
"108","367.9198913574219","367.9198913574219","367.9198913574219"
"109","266.0069580078125","266.0069580078125","266.0069580078125"
"110","276.34716796875","276.34716796875","276.34716796875"
"111","307.9727478027344","307.9727478027344","307.9727478027344"
"112","346.9765319824219","346.9765319824219","346.9765319824219"
"113","317.255859375","317.255859375","317.255859375"
"114","280.3688049316406","280.3688049316406","280.3688049316406"
"115","321.62298583984375","321.62298583984375","321.62298583984375"
"116","308.0389404296875","308.0389404296875","308.0389404296875"
"117","323.42578125","323.42578125","323.42578125"
"118","272.4532165527344","272.4532165527344","272.4532165527344"
"119","281.209228515625","281.209228515625","281.209228515625"
"120","328.97125244140625","328.97125244140625","328.97125244140625"
"121","263.02435302734375","263.02435302734375","263.02435302734375"
"122","247.504150390625","247.504150390625","247.504150390625"
"123","354.6092529296875","354.6092529296875","354.6092529296875"
"124","272.1013488769531","272.1013488769531","272.1013488769531"
"125","284.2110900878906","284.2110900878906","284.2110900878906"
"126","303.74542236328125","303.74542236328125","303.74542236328125"
"127","287.0729064941406","287.0729064941406","287.0729064941406"
"128","270.20977783203125","270.20977783203125","270.20977783203125"
"129","222.0550079345703","222.0550079345703","222.0550079345703"
"130","280.8159484863281","280.8159484863281","280.8159484863281"
"131","288.687255859375","288.687255859375","288.687255859375"
"132","316.2065124511719","316.2065124511719","316.2065124511719"
"133","324.744140625","324.744140625","324.744140625"
"134","248.97528076171875","248.97528076171875","248.97528076171875"
"135","223.6132049560547","223.6132049560547","223.6132049560547"
"136","287.0936279296875","287.0936279296875","287.0936279296875"
"137","236.87542724609375","236.87542724609375","236.87542724609375"
"138","313.0809631347656","313.0809631347656","313.0809631347656"
"139","244.39352416992188","244.39352416992188","244.39352416992188"
"140","249.1650390625","249.1650390625","249.1650390625"
"141","286.3247375488281","286.3247375488281","286.3247375488281"
"142","227.32704162597656","227.32704162597656","227.32704162597656"
"143","373.9896545410156","373.9896545410156","373.9896545410156"
"144","307.3127746582031","307.3127746582031","307.3127746582031"
"145","322.2494812011719","322.2494812011719","322.2494812011719"
"146","290.34954833984375","290.34954833984375","290.34954833984375"
"147","254.6082763671875","254.6082763671875","254.6082763671875"
"148","253.80728149414062","253.80728149414062","253.80728149414062"
"149","189.1029815673828","189.1029815673828","189.1029815673828"
"150","249.313232421875","249.313232421875","249.313232421875"
"151","238.34841918945312","238.34841918945312","238.34841918945312"
"152","217.37863159179688","217.37863159179688","217.37863159179688"
"153","203.23907470703125","203.23907470703125","203.23907470703125"
"154","162.50875854492188","162.50875854492188","162.50875854492188"
"155","207.21176147460938","207.21176147460938","207.21176147460938"
"156","201.17959594726562","201.17959594726562","201.17959594726562"
