denoising_loss,cos_sim_all,t_mean,cos_sim_t_low,cos_sim_t_high,prior_loss,var_loss,cov_loss,norm_L0,norm_Llast,delta_norm_avg,loss,lr_dus,lr_new,step,grad_norm
0.9911776185035706,0.008822323754429817,0.61529541015625,0.027207359671592712,0.014745006337761879,0.0012253468157723546,0.00038396683521568775,8.989020898297895e-06,17.88156509399414,799.2568359375,94.6015625,0.9912388920783997,2.0000000000000002e-07,1.0000000000000002e-06,0,2.514108419418335
0.8983287811279297,0.1016712337732315,0.3730621337890625,0.07953032851219177,0.09542226046323776,0.001420217682607472,0.00046622048830613494,9.906904807621686e-08,17.743364334106445,1036.11376953125,115.36382293701172,0.8983997702598572,2.2e-07,1.1e-06,10,0.9250746369361877
0.8849539160728455,0.11504606902599335,0.479015052318573,0.08986327797174454,0.05271463096141815,0.0014091789489611983,0.00046084244968369603,1.3900218220896932e-07,17.749950408935547,577.257568359375,85.27345275878906,0.88502436876297,4.2000000000000006e-07,2.1000000000000002e-06,20,0.9626364707946777
0.8605554699897766,0.13944457471370697,0.6330446600914001,0.08733835816383362,0.0939624160528183,0.0013951199362054467,0.0004545980191323906,2.083112349282601e-07,17.86139488220215,660.6921997070312,88.56682586669922,0.8606252074241638,6.200000000000001e-07,3.1e-06,30,0.9883216619491577
0.8258089423179626,0.17419104278087616,0.43264108896255493,0.08053174614906311,0.17401516437530518,0.0013841926120221615,0.00044917763443663716,2.78916331808432e-07,17.80526351928711,1898.54931640625,169.807861328125,0.8258781433105469,8.200000000000001e-07,4.1000000000000006e-06,40,0.9158613085746765
0.7757042050361633,0.2242957353591919,0.42488744854927063,0.22792446613311768,,0.0014019174268469214,0.00045696593588218093,1.6395031821048178e-07,17.693628311157227,472.1983947753906,80.69055938720703,0.7757743000984192,1.02e-06,5.1e-06,50,0.7716568112373352
0.762252926826477,0.23774705827236176,0.5958967804908752,0.028351811692118645,0.17073886096477509,0.0013464550720527768,0.00043125415686517954,5.783502956546727e-07,17.901748657226562,1916.9866943359375,173.7842254638672,0.7623202204704285,1.2200000000000002e-06,6.1e-06,60,0.6670902967453003
0.6889151334762573,0.3110848665237427,0.5420792102813721,0.3162749707698822,0.01867092028260231,0.0014039005618542433,0.00045799967483617365,1.0880755496600614e-07,17.746952056884766,661.969482421875,86.72235107421875,0.6889853477478027,1.42e-06,7.1e-06,70,0.6045586466789246
0.6545257568359375,0.3454742133617401,0.584872841835022,0.19147910177707672,0.26141849160194397,0.0013939602067694068,0.0004534822073765099,1.1712830172427857e-07,17.828079223632812,624.1165771484375,85.60592651367188,0.6545954346656799,1.6200000000000002e-06,8.1e-06,80,0.540835976600647
0.6250317692756653,0.3749682307243347,0.561116099357605,0.20937968790531158,0.1368599236011505,0.0013622695114463568,0.00043758106767199934,2.9543321033997927e-07,17.83734703063965,955.86767578125,107.4000015258789,0.6250998973846436,1.8200000000000002e-06,9.100000000000001e-06,90,0.45692408084869385
0.5876426696777344,0.41235730051994324,0.5814766883850098,0.4280097782611847,0.27668601274490356,0.0013735400279983878,0.0004431515117175877,1.616155742567571e-07,17.797340393066406,770.2572021484375,91.02178955078125,0.5877113342285156,2.02e-06,1.0100000000000002e-05,100,0.431223601102829
0.552828848361969,0.4471711814403534,0.34041827917099,0.45364028215408325,,0.0013690884225070477,0.00044054165482521057,2.650696728778712e-07,17.70585823059082,904.3363647460938,100.97765350341797,0.5528972744941711,2.2200000000000003e-06,1.11e-05,110,0.4204498827457428
0.5297947525978088,0.47020527720451355,0.39438411593437195,0.476020485162735,0.4407517910003662,0.0013523472007364035,0.0004322433960624039,3.7053823120913876e-07,17.655563354492188,755.8988647460938,93.78290557861328,0.5298623442649841,2.42e-06,1.2100000000000001e-05,120,0.8771702647209167
0.5258581042289734,0.474141925573349,0.4724879264831543,0.2592383921146393,0.46490418910980225,0.0012944176560267806,0.00040656395140103996,1.223494791702251e-06,17.808910369873047,2701.333984375,203.16421508789062,0.5259228348731995,2.6200000000000003e-06,1.3100000000000002e-05,130,0.5958206057548523
0.5029173493385315,0.4970827102661133,0.40320807695388794,0.2731195092201233,0.02681049332022667,0.0012533070985227823,0.00038675148971378803,2.0015791051264387e-06,17.78314971923828,2008.121826171875,161.7454833984375,0.5029799938201904,2.82e-06,1.4099999999999999e-05,140,0.5575717687606812
0.49335306882858276,0.5066468715667725,0.4657072126865387,0.19459277391433716,0.25441086292266846,0.0012489142827689648,0.00038431683788076043,1.825885533435212e-06,17.801828384399414,2429.869140625,185.8326873779297,0.493415504693985,3.0200000000000003e-06,1.51e-05,150,0.7664586901664734
0.4626506268978119,0.5373493432998657,0.5040236115455627,0.5570908188819885,0.18701021373271942,0.001241797232069075,0.000379856675863266,2.5303147594968323e-06,17.776390075683594,1331.645751953125,121.680908203125,0.46271270513534546,3.2200000000000005e-06,1.6100000000000002e-05,160,0.5480785965919495
0.46591803431510925,0.5340819358825684,0.623961865901947,0.024861790239810944,0.18487243354320526,0.001264735241420567,0.00039066726458258927,1.4429731436393922e-06,17.841594696044922,835.3658447265625,94.40286254882812,0.46598127484321594,3.4200000000000007e-06,1.7100000000000002e-05,170,0.6334499716758728
0.44999682903289795,0.5500030517578125,0.4511839747428894,0.16698504984378815,0.4959993064403534,0.0011895871721208096,0.00035775703145191073,3.983484475611476e-06,17.792133331298828,2027.677490234375,168.1729736328125,0.4500563144683838,3.62e-06,1.81e-05,180,0.8230209946632385
