"Step","phase1-reasoning - val/loss","phase1-reasoning - val/loss__MIN","phase1-reasoning - val/loss__MAX"
"25","35.379701442718506","35.379701442718506","35.379701442718506"
"51","35.01450845718384","35.01450845718384","35.01450845718384"
"77","33.909554386138915","33.909554386138915","33.909554386138915"
"103","33.42699775695801","33.42699775695801","33.42699775695801"
"129","33.52032777786255","33.52032777786255","33.52032777786255"
"155","33.24268934249878","33.24268934249878","33.24268934249878"
"181","32.66442005157471","32.66442005157471","32.66442005157471"
"207","34.81808639526367","34.81808639526367","34.81808639526367"
"233","33.883979415893556","33.883979415893556","33.883979415893556"
