"Step","phase1-reasoning - train/layers/l20_cos","phase1-reasoning - train/layers/l20_cos__MIN","phase1-reasoning - train/layers/l20_cos__MAX"
"0","0.34939272701740265","0.34939272701740265","0.34939272701740265"
"1","0.45013377815485","0.45013377815485","0.45013377815485"
"2","0.46594956517219543","0.46594956517219543","0.46594956517219543"
"3","0.4462148919701576","0.4462148919701576","0.4462148919701576"
"4","0.4406944289803505","0.4406944289803505","0.4406944289803505"
"5","0.44754108041524887","0.44754108041524887","0.44754108041524887"
"6","0.4379998818039894","0.4379998818039894","0.4379998818039894"
"7","0.4284382611513138","0.4284382611513138","0.4284382611513138"
"8","0.40600666403770447","0.40600666403770447","0.40600666403770447"
"9","0.42149898409843445","0.42149898409843445","0.42149898409843445"
"10","0.3868599757552147","0.3868599757552147","0.3868599757552147"
"11","0.39375729858875275","0.39375729858875275","0.39375729858875275"
"12","0.3589431867003441","0.3589431867003441","0.3589431867003441"
"13","0.3854273185133934","0.3854273185133934","0.3854273185133934"
"14","0.3678959533572197","0.3678959533572197","0.3678959533572197"
"15","0.4032915085554123","0.4032915085554123","0.4032915085554123"
"16","0.3967919126152992","0.3967919126152992","0.3967919126152992"
"17","0.37584905326366425","0.37584905326366425","0.37584905326366425"
"18","0.38541241735219955","0.38541241735219955","0.38541241735219955"
"19","0.36562957614660263","0.36562957614660263","0.36562957614660263"
"20","0.42654791474342346","0.42654791474342346","0.42654791474342346"
"21","0.393002986907959","0.393002986907959","0.393002986907959"
"22","0.37056519091129303","0.37056519091129303","0.37056519091129303"
"23","0.36154281347990036","0.36154281347990036","0.36154281347990036"
"24","0.3853698819875717","0.3853698819875717","0.3853698819875717"
"26","0.3853999078273773","0.3853999078273773","0.3853999078273773"
"27","0.35460415482521057","0.35460415482521057","0.35460415482521057"
"28","0.3767312467098236","0.3767312467098236","0.3767312467098236"
"29","0.34664933383464813","0.34664933383464813","0.34664933383464813"
"30","0.36427873373031616","0.36427873373031616","0.36427873373031616"
"31","0.34903596341609955","0.34903596341609955","0.34903596341609955"
"32","0.33330138027668","0.33330138027668","0.33330138027668"
"33","0.3465929254889488","0.3465929254889488","0.3465929254889488"
"34","0.37260764837265015","0.37260764837265015","0.37260764837265015"
"35","0.3714994266629219","0.3714994266629219","0.3714994266629219"
"36","0.35138458013534546","0.35138458013534546","0.35138458013534546"
"37","0.38094083219766617","0.38094083219766617","0.38094083219766617"
"38","0.397874616086483","0.397874616086483","0.397874616086483"
"39","0.3511257842183113","0.3511257842183113","0.3511257842183113"
"40","0.34516390413045883","0.34516390413045883","0.34516390413045883"
"41","0.33900661766529083","0.33900661766529083","0.33900661766529083"
"42","0.3748536929488182","0.3748536929488182","0.3748536929488182"
"43","0.34729308634996414","0.34729308634996414","0.34729308634996414"
"44","0.3328803777694702","0.3328803777694702","0.3328803777694702"
"45","0.3824829235672951","0.3824829235672951","0.3824829235672951"
"46","0.3451567739248276","0.3451567739248276","0.3451567739248276"
"47","0.35679442435503006","0.35679442435503006","0.35679442435503006"
"48","0.36612260341644287","0.36612260341644287","0.36612260341644287"
"49","0.3794121667742729","0.3794121667742729","0.3794121667742729"
"50","0.3171237111091614","0.3171237111091614","0.3171237111091614"
"52","0.3650656193494797","0.3650656193494797","0.3650656193494797"
"53","0.3691673204302788","0.3691673204302788","0.3691673204302788"
"54","0.3405436798930168","0.3405436798930168","0.3405436798930168"
"55","0.3386450558900833","0.3386450558900833","0.3386450558900833"
"56","0.34346649050712585","0.34346649050712585","0.34346649050712585"
"57","0.35161979496479034","0.35161979496479034","0.35161979496479034"
"58","0.36216144263744354","0.36216144263744354","0.36216144263744354"
"59","0.3318069279193878","0.3318069279193878","0.3318069279193878"
"60","0.3525526523590088","0.3525526523590088","0.3525526523590088"
"61","0.3489827886223793","0.3489827886223793","0.3489827886223793"
"62","0.3655870407819748","0.3655870407819748","0.3655870407819748"
"63","0.3301035016775131","0.3301035016775131","0.3301035016775131"
"64","0.3343173712491989","0.3343173712491989","0.3343173712491989"
"65","0.3472815379500389","0.3472815379500389","0.3472815379500389"
"66","0.34700125455856323","0.34700125455856323","0.34700125455856323"
"67","0.36944594979286194","0.36944594979286194","0.36944594979286194"
"68","0.3300423175096512","0.3300423175096512","0.3300423175096512"
"69","0.34009677916765213","0.34009677916765213","0.34009677916765213"
"70","0.3588956668972969","0.3588956668972969","0.3588956668972969"
"71","0.3419611304998398","0.3419611304998398","0.3419611304998398"
"72","0.34040866047143936","0.34040866047143936","0.34040866047143936"
"73","0.40675196051597595","0.40675196051597595","0.40675196051597595"
"74","0.37221603840589523","0.37221603840589523","0.37221603840589523"
"75","0.34520740807056427","0.34520740807056427","0.34520740807056427"
"76","0.38924986124038696","0.38924986124038696","0.38924986124038696"
"78","0.3481711149215698","0.3481711149215698","0.3481711149215698"
"79","0.3390943259000778","0.3390943259000778","0.3390943259000778"
"80","0.3708837404847145","0.3708837404847145","0.3708837404847145"
"81","0.3344259560108185","0.3344259560108185","0.3344259560108185"
"82","0.3774820938706398","0.3774820938706398","0.3774820938706398"
"83","0.37807516008615494","0.37807516008615494","0.37807516008615494"
"84","0.33373893052339554","0.33373893052339554","0.33373893052339554"
"85","0.3462148457765579","0.3462148457765579","0.3462148457765579"
"86","0.3547571450471878","0.3547571450471878","0.3547571450471878"
"87","0.3797673434019089","0.3797673434019089","0.3797673434019089"
"88","0.353950634598732","0.353950634598732","0.353950634598732"
"89","0.3633211925625801","0.3633211925625801","0.3633211925625801"
"90","0.37192173302173615","0.37192173302173615","0.37192173302173615"
"91","0.33188966661691666","0.33188966661691666","0.33188966661691666"
"92","0.349088579416275","0.349088579416275","0.349088579416275"
"93","0.3746485486626625","0.3746485486626625","0.3746485486626625"
"94","0.35154488682746887","0.35154488682746887","0.35154488682746887"
"95","0.33604830503463745","0.33604830503463745","0.33604830503463745"
"96","0.3199804276227951","0.3199804276227951","0.3199804276227951"
"97","0.3330421522259712","0.3330421522259712","0.3330421522259712"
"98","0.34668370336294174","0.34668370336294174","0.34668370336294174"
"99","0.3477199152112007","0.3477199152112007","0.3477199152112007"
"100","0.3475482538342476","0.3475482538342476","0.3475482538342476"
"101","0.3275187611579895","0.3275187611579895","0.3275187611579895"
"102","0.3363819271326065","0.3363819271326065","0.3363819271326065"
"104","0.39619168639183044","0.39619168639183044","0.39619168639183044"
"105","0.350072406232357","0.350072406232357","0.350072406232357"
"106","0.31653086096048355","0.31653086096048355","0.31653086096048355"
"107","0.3525787889957428","0.3525787889957428","0.3525787889957428"
"108","0.35467006266117096","0.35467006266117096","0.35467006266117096"
"109","0.3404715284705162","0.3404715284705162","0.3404715284705162"
"110","0.37977299839258194","0.37977299839258194","0.37977299839258194"
"111","0.33155643939971924","0.33155643939971924","0.33155643939971924"
"112","0.31686941534280777","0.31686941534280777","0.31686941534280777"
"113","0.36092710494995117","0.36092710494995117","0.36092710494995117"
"114","0.3386923670768738","0.3386923670768738","0.3386923670768738"
"115","0.3452187180519104","0.3452187180519104","0.3452187180519104"
"116","0.3302990198135376","0.3302990198135376","0.3302990198135376"
"117","0.3557249382138252","0.3557249382138252","0.3557249382138252"
"118","0.31660278141498566","0.31660278141498566","0.31660278141498566"
"119","0.35239552706480026","0.35239552706480026","0.35239552706480026"
"120","0.3714591935276985","0.3714591935276985","0.3714591935276985"
