"Step","phase1-reasoning - tech/grad_norm","phase1-reasoning - tech/grad_norm__MIN","phase1-reasoning - tech/grad_norm__MAX"
"0","18.840808868408203","18.840808868408203","18.840808868408203"
"1","Infinity","",""
"2","Infinity","",""
"3","131.32168579101562","131.32168579101562","131.32168579101562"
"4","Infinity","",""
"5","169.51461791992188","169.51461791992188","169.51461791992188"
"6","78.08919525146484","78.08919525146484","78.08919525146484"
"7","80.70097351074219","80.70097351074219","80.70097351074219"
"8","60.000572204589844","60.000572204589844","60.000572204589844"
"9","29.686182022094727","29.686182022094727","29.686182022094727"
"10","29.678102493286133","29.678102493286133","29.678102493286133"
"11","39.83425521850586","39.83425521850586","39.83425521850586"
"12","37.56646728515625","37.56646728515625","37.56646728515625"
"13","116.75322723388672","116.75322723388672","116.75322723388672"
"14","31.68917465209961","31.68917465209961","31.68917465209961"
"15","41.05402374267578","41.05402374267578","41.05402374267578"
"16","40.91945266723633","40.91945266723633","40.91945266723633"
"17","44.00823211669922","44.00823211669922","44.00823211669922"
"18","31.123807907104492","31.123807907104492","31.123807907104492"
"19","35.31149673461914","35.31149673461914","35.31149673461914"
"20","33.39472579956055","33.39472579956055","33.39472579956055"
"21","Infinity","",""
"22","Infinity","",""
"23","25.116716384887695","25.116716384887695","25.116716384887695"
"24","336.9519958496094","336.9519958496094","336.9519958496094"
"26","37.03497314453125","37.03497314453125","37.03497314453125"
"27","30.11277198791504","30.11277198791504","30.11277198791504"
"28","30.483844757080078","30.483844757080078","30.483844757080078"
"29","28.202953338623047","28.202953338623047","28.202953338623047"
"30","31.683837890625","31.683837890625","31.683837890625"
"31","42.796356201171875","42.796356201171875","42.796356201171875"
"32","28.160907745361328","28.160907745361328","28.160907745361328"
"33","28.08418083190918","28.08418083190918","28.08418083190918"
"34","24.538068771362305","24.538068771362305","24.538068771362305"
"35","22.141273498535156","22.141273498535156","22.141273498535156"
"36","16.391143798828125","16.391143798828125","16.391143798828125"
"37","22.2343807220459","22.2343807220459","22.2343807220459"
"38","20.270538330078125","20.270538330078125","20.270538330078125"
"39","25.071229934692383","25.071229934692383","25.071229934692383"
"40","34.214908599853516","34.214908599853516","34.214908599853516"
"41","36.99903106689453","36.99903106689453","36.99903106689453"
"42","26.067352294921875","26.067352294921875","26.067352294921875"
"43","48.138275146484375","48.138275146484375","48.138275146484375"
"44","55.353919982910156","55.353919982910156","55.353919982910156"
"45","21.672456741333008","21.672456741333008","21.672456741333008"
"46","54.475563049316406","54.475563049316406","54.475563049316406"
"47","42.70081329345703","42.70081329345703","42.70081329345703"
"48","22.03327751159668","22.03327751159668","22.03327751159668"
"49","62.37130355834961","62.37130355834961","62.37130355834961"
"50","57.6316032409668","57.6316032409668","57.6316032409668"
"52","24.969837188720703","24.969837188720703","24.969837188720703"
"53","22.435405731201172","22.435405731201172","22.435405731201172"
"54","34.01298141479492","34.01298141479492","34.01298141479492"
"55","28.56915283203125","28.56915283203125","28.56915283203125"
"56","39.577171325683594","39.577171325683594","39.577171325683594"
"57","28.882461547851562","28.882461547851562","28.882461547851562"
"58","29.761917114257812","29.761917114257812","29.761917114257812"
"59","20.940271377563477","20.940271377563477","20.940271377563477"
"60","19.99365997314453","19.99365997314453","19.99365997314453"
"61","18.87771987915039","18.87771987915039","18.87771987915039"
"62","26.803075790405273","26.803075790405273","26.803075790405273"
"63","19.731992721557617","19.731992721557617","19.731992721557617"
"64","19.846031188964844","19.846031188964844","19.846031188964844"
"65","17.738285064697266","17.738285064697266","17.738285064697266"
"66","15.637420654296875","15.637420654296875","15.637420654296875"
"67","17.028152465820312","17.028152465820312","17.028152465820312"
"68","22.148876190185547","22.148876190185547","22.148876190185547"
"69","17.331615447998047","17.331615447998047","17.331615447998047"
"70","17.276262283325195","17.276262283325195","17.276262283325195"
"71","12.958221435546875","12.958221435546875","12.958221435546875"
"72","21.01041030883789","21.01041030883789","21.01041030883789"
"73","31.132797241210938","31.132797241210938","31.132797241210938"
"74","25.212085723876953","25.212085723876953","25.212085723876953"
"75","22.708253860473633","22.708253860473633","22.708253860473633"
"76","16.631500244140625","16.631500244140625","16.631500244140625"
"78","44.110530853271484","44.110530853271484","44.110530853271484"
"79","32.139259338378906","32.139259338378906","32.139259338378906"
"80","24.442480087280273","24.442480087280273","24.442480087280273"
"81","35.98098373413086","35.98098373413086","35.98098373413086"
"82","12.746184349060059","12.746184349060059","12.746184349060059"
"83","22.383066177368164","22.383066177368164","22.383066177368164"
"84","41.715484619140625","41.715484619140625","41.715484619140625"
"85","17.833484649658203","17.833484649658203","17.833484649658203"
"86","34.12116622924805","34.12116622924805","34.12116622924805"
"87","35.302886962890625","35.302886962890625","35.302886962890625"
"88","21.199281692504883","21.199281692504883","21.199281692504883"
"89","25.171180725097656","25.171180725097656","25.171180725097656"
"90","22.980165481567383","22.980165481567383","22.980165481567383"
"91","22.678991317749023","22.678991317749023","22.678991317749023"
"92","21.19711685180664","21.19711685180664","21.19711685180664"
"93","19.1772518157959","19.1772518157959","19.1772518157959"
"94","16.539875030517578","16.539875030517578","16.539875030517578"
"95","25.13852310180664","25.13852310180664","25.13852310180664"
"96","15.274201393127441","15.274201393127441","15.274201393127441"
"97","16.583009719848633","16.583009719848633","16.583009719848633"
"98","31.715147018432617","31.715147018432617","31.715147018432617"
"99","18.431259155273438","18.431259155273438","18.431259155273438"
"100","30.07323455810547","30.07323455810547","30.07323455810547"
"101","28.494924545288086","28.494924545288086","28.494924545288086"
"102","18.810365676879883","18.810365676879883","18.810365676879883"
"104","30.509868621826172","30.509868621826172","30.509868621826172"
"105","21.065155029296875","21.065155029296875","21.065155029296875"
