"Step","phase1-reasoning - train/mse","phase1-reasoning - train/mse__MIN","phase1-reasoning - train/mse__MAX"
"0","21.35747241973877","21.35747241973877","21.35747241973877"
"1","25.15158486366272","25.15158486366272","25.15158486366272"
"2","26.027851581573486","26.027851581573486","26.027851581573486"
"3","23.28594398498535","23.28594398498535","23.28594398498535"
"4","28.063531637191772","28.063531637191772","28.063531637191772"
"5","29.902618169784546","29.902618169784546","29.902618169784546"
"6","24.60882329940796","24.60882329940796","24.60882329940796"
"7","25.06269097328186","25.06269097328186","25.06269097328186"
"8","24.98716926574707","24.98716926574707","24.98716926574707"
"9","23.566393613815308","23.566393613815308","23.566393613815308"
"10","21.127504348754883","21.127504348754883","21.127504348754883"
"11","24.028040170669556","24.028040170669556","24.028040170669556"
"12","21.364248275756836","21.364248275756836","21.364248275756836"
"13","21.872052669525146","21.872052669525146","21.872052669525146"
"14","22.216394186019897","22.216394186019897","22.216394186019897"
"15","21.234018325805664","21.234018325805664","21.234018325805664"
"16","21.699898719787598","21.699898719787598","21.699898719787598"
"17","21.91295552253723","21.91295552253723","21.91295552253723"
"18","21.946361541748047","21.946361541748047","21.946361541748047"
"19","20.81998324394226","20.81998324394226","20.81998324394226"
"20","21.90934467315674","21.90934467315674","21.90934467315674"
"21","21.945930004119873","21.945930004119873","21.945930004119873"
"22","23.260820388793945","23.260820388793945","23.260820388793945"
"23","19.70313596725464","19.70313596725464","19.70313596725464"
"24","23.793291330337524","23.793291330337524","23.793291330337524"
"26","20.68166995048523","20.68166995048523","20.68166995048523"
"27","21.260539054870605","21.260539054870605","21.260539054870605"
"28","20.914271354675293","20.914271354675293","20.914271354675293"
"29","21.862940549850464","21.862940549850464","21.862940549850464"
"30","21.74510169029236","21.74510169029236","21.74510169029236"
"31","21.428105115890503","21.428105115890503","21.428105115890503"
"32","21.076529264450073","21.076529264450073","21.076529264450073"
"33","20.353090524673462","20.353090524673462","20.353090524673462"
"34","20.73151135444641","20.73151135444641","20.73151135444641"
"35","20.487481832504272","20.487481832504272","20.487481832504272"
"36","19.75728464126587","19.75728464126587","19.75728464126587"
"37","21.23032855987549","21.23032855987549","21.23032855987549"
"38","20.2898108959198","20.2898108959198","20.2898108959198"
"39","19.550728917121887","19.550728917121887","19.550728917121887"
"40","20.44706130027771","20.44706130027771","20.44706130027771"
"41","20.525787591934204","20.525787591934204","20.525787591934204"
"42","18.840778827667236","18.840778827667236","18.840778827667236"
"43","20.06201446056366","20.06201446056366","20.06201446056366"
"44","21.304884433746338","21.304884433746338","21.304884433746338"
"45","21.082014560699463","21.082014560699463","21.082014560699463"
"46","22.00346326828003","22.00346326828003","22.00346326828003"
"47","20.356486558914185","20.356486558914185","20.356486558914185"
"48","21.092401266098022","21.092401266098022","21.092401266098022"
"49","19.570080995559692","19.570080995559692","19.570080995559692"
"50","21.028656482696533","21.028656482696533","21.028656482696533"
"52","20.039186477661133","20.039186477661133","20.039186477661133"
"53","18.845384120941162","18.845384120941162","18.845384120941162"
"54","21.106563091278076","21.106563091278076","21.106563091278076"
"55","20.07059121131897","20.07059121131897","20.07059121131897"
"56","20.898444414138794","20.898444414138794","20.898444414138794"
"57","21.85318899154663","21.85318899154663","21.85318899154663"
"58","20.908093690872192","20.908093690872192","20.908093690872192"
"59","19.761776447296143","19.761776447296143","19.761776447296143"
"60","19.70125949382782","19.70125949382782","19.70125949382782"
"61","19.951966524124146","19.951966524124146","19.951966524124146"
"62","19.48716914653778","19.48716914653778","19.48716914653778"
"63","20.87048316001892","20.87048316001892","20.87048316001892"
"64","20.654765605926514","20.654765605926514","20.654765605926514"
"65","19.666942358016968","19.666942358016968","19.666942358016968"
"66","19.84291410446167","19.84291410446167","19.84291410446167"
"67","21.304933547973633","21.304933547973633","21.304933547973633"
"68","19.398640394210815","19.398640394210815","19.398640394210815"
"69","20.080209016799927","20.080209016799927","20.080209016799927"
"70","20.089500188827515","20.089500188827515","20.089500188827515"
"71","18.867180585861206","18.867180585861206","18.867180585861206"
"72","20.769097328186035","20.769097328186035","20.769097328186035"
"73","19.78040909767151","19.78040909767151","19.78040909767151"
"74","20.87856101989746","20.87856101989746","20.87856101989746"
"75","19.86759614944458","19.86759614944458","19.86759614944458"
"76","21.029797077178955","21.029797077178955","21.029797077178955"
"78","20.97086477279663","20.97086477279663","20.97086477279663"
"79","20.487443208694458","20.487443208694458","20.487443208694458"
"80","20.299099683761597","20.299099683761597","20.299099683761597"
"81","20.344844579696655","20.344844579696655","20.344844579696655"
"82","19.252434968948364","19.252434968948364","19.252434968948364"
"83","19.245272874832153","19.245272874832153","19.245272874832153"
"84","19.87911629676819","19.87911629676819","19.87911629676819"
"85","20.569239854812622","20.569239854812622","20.569239854812622"
"86","20.50643825531006","20.50643825531006","20.50643825531006"
"87","20.81876564025879","20.81876564025879","20.81876564025879"
"88","20.2887864112854","20.2887864112854","20.2887864112854"
"89","20.786264181137085","20.786264181137085","20.786264181137085"
