"Step","phase1-reasoning - train/kl","phase1-reasoning - train/kl__MIN","phase1-reasoning - train/kl__MAX"
"0","306.7780227661133","306.7780227661133","306.7780227661133"
"1","315.8897514343262","315.8897514343262","315.8897514343262"
"2","315.7104911804199","315.7104911804199","315.7104911804199"
"3","319.77062225341797","319.77062225341797","319.77062225341797"
"4","315.950740814209","315.950740814209","315.950740814209"
"5","315.6838912963867","315.6838912963867","315.6838912963867"
"6","320.72943115234375","320.72943115234375","320.72943115234375"
"7","319.9364776611328","319.9364776611328","319.9364776611328"
"8","319.74381256103516","319.74381256103516","319.74381256103516"
"9","324.00395584106445","324.00395584106445","324.00395584106445"
"10","328.303524017334","328.303524017334","328.303524017334"
"11","328.58875274658203","328.58875274658203","328.58875274658203"
"12","328.7919273376465","328.7919273376465","328.7919273376465"
"13","330.71490478515625","330.71490478515625","330.71490478515625"
"14","331.901611328125","331.901611328125","331.901611328125"
"15","333.6841583251953","333.6841583251953","333.6841583251953"
"16","333.3113822937012","333.3113822937012","333.3113822937012"
"17","331.71678924560547","331.71678924560547","331.71678924560547"
"18","332.80503845214844","332.80503845214844","332.80503845214844"
"19","335.2041358947754","335.2041358947754","335.2041358947754"
"20","336.6859664916992","336.6859664916992","336.6859664916992"
"21","338.3345260620117","338.3345260620117","338.3345260620117"
"22","337.999080657959","337.999080657959","337.999080657959"
"23","335.84052658081055","335.84052658081055","335.84052658081055"
"24","336.31156158447266","336.31156158447266","336.31156158447266"
"26","340.9064521789551","340.9064521789551","340.9064521789551"
"27","338.68838119506836","338.68838119506836","338.68838119506836"
"28","340.1890563964844","340.1890563964844","340.1890563964844"
"29","339.0905342102051","339.0905342102051","339.0905342102051"
"30","339.4486999511719","339.4486999511719","339.4486999511719"
"31","340.97175216674805","340.97175216674805","340.97175216674805"
"32","341.7488784790039","341.7488784790039","341.7488784790039"
"33","346.3615074157715","346.3615074157715","346.3615074157715"
"34","348.02782821655273","348.02782821655273","348.02782821655273"
"35","347.45992279052734","347.45992279052734","347.45992279052734"
"36","350.2462348937988","350.2462348937988","350.2462348937988"
"37","350.66764068603516","350.66764068603516","350.66764068603516"
"38","353.3239402770996","353.3239402770996","353.3239402770996"
"39","353.16197967529297","353.16197967529297","353.16197967529297"
"40","353.1233215332031","353.1233215332031","353.1233215332031"
"41","354.7424545288086","354.7424545288086","354.7424545288086"
"42","358.58322525024414","358.58322525024414","358.58322525024414"
"43","356.7094192504883","356.7094192504883","356.7094192504883"
"44","356.7293701171875","356.7293701171875","356.7293701171875"
"45","359.3928451538086","359.3928451538086","359.3928451538086"
"46","359.3617973327637","359.3617973327637","359.3617973327637"
"47","362.17206954956055","362.17206954956055","362.17206954956055"
"48","361.089168548584","361.089168548584","361.089168548584"
"49","364.9410400390625","364.9410400390625","364.9410400390625"
"50","363.4277648925781","363.4277648925781","363.4277648925781"
"52","366.04737091064453","366.04737091064453","366.04737091064453"
"53","367.29740142822266","367.29740142822266","367.29740142822266"
"54","364.4004096984863","364.4004096984863","364.4004096984863"
"55","367.82984161376953","367.82984161376953","367.82984161376953"
"56","365.7860908508301","365.7860908508301","365.7860908508301"
"57","367.69292068481445","367.69292068481445","367.69292068481445"
"58","368.29927825927734","368.29927825927734","368.29927825927734"
"59","370.64688873291016","370.64688873291016","370.64688873291016"
"60","372.5613822937012","372.5613822937012","372.5613822937012"
"61","373.0335006713867","373.0335006713867","373.0335006713867"
"62","373.8648490905762","373.8648490905762","373.8648490905762"
"63","372.1064987182617","372.1064987182617","372.1064987182617"
"64","373.47649002075195","373.47649002075195","373.47649002075195"
"65","375.15078353881836","375.15078353881836","375.15078353881836"
"66","377.95956802368164","377.95956802368164","377.95956802368164"
"67","376.0049743652344","376.0049743652344","376.0049743652344"
"68","377.86651611328125","377.86651611328125","377.86651611328125"
"69","377.6517562866211","377.6517562866211","377.6517562866211"
"70","380.83091735839844","380.83091735839844","380.83091735839844"
"71","379.69860458374023","379.69860458374023","379.69860458374023"
"72","379.4702568054199","379.4702568054199","379.4702568054199"
"73","384.2626304626465","384.2626304626465","384.2626304626465"
"74","383.3021430969238","383.3021430969238","383.3021430969238"
"75","382.79935455322266","382.79935455322266","382.79935455322266"
"76","384.84902572631836","384.84902572631836","384.84902572631836"
"78","385.0947952270508","385.0947952270508","385.0947952270508"
"79","385.5718421936035","385.5718421936035","385.5718421936035"
"80","386.8226737976074","386.8226737976074","386.8226737976074"
"81","387.1807403564453","387.1807403564453","387.1807403564453"
