"Step","phase1-reasoning - val/layers/l40_cos","phase1-reasoning - val/layers/l40_cos__MIN","phase1-reasoning - val/layers/l40_cos__MAX"
"25","0.2822874599695206","0.2822874599695206","0.2822874599695206"
"51","0.2766776633262634","0.2766776633262634","0.2766776633262634"
"77","0.26609213531017306","0.26609213531017306","0.26609213531017306"
"103","0.25707191348075864","0.25707191348075864","0.25707191348075864"
"129","0.2577503490447998","0.2577503490447998","0.2577503490447998"
"155","0.24948087632656096","0.24948087632656096","0.24948087632656096"
"181","0.24470354080200196","0.24470354080200196","0.24470354080200196"
"207","0.24111538290977477","0.24111538290977477","0.24111538290977477"
"233","0.2403530728816986","0.2403530728816986","0.2403530728816986"
