"Step","phase1-reasoning - val/layers/l30_cos","phase1-reasoning - val/layers/l30_cos__MIN","phase1-reasoning - val/layers/l30_cos__MAX"
"25","0.31638025760650634","0.31638025760650634","0.31638025760650634"
"51","0.3085767579078674","0.3085767579078674","0.3085767579078674"
"77","0.30668259382247925","0.30668259382247925","0.30668259382247925"
"103","0.3039490282535553","0.3039490282535553","0.3039490282535553"
"129","0.3023916459083557","0.3023916459083557","0.3023916459083557"
"155","0.3006770211458206","0.3006770211458206","0.3006770211458206"
"181","0.2989004188776016","0.2989004188776016","0.2989004188776016"
"207","0.29780505239963534","0.29780505239963534","0.29780505239963534"
"233","0.29559992253780365","0.29559992253780365","0.29559992253780365"
