"Step","phase1-reasoning - train/layers/l30_cos","phase1-reasoning - train/layers/l30_cos__MIN","phase1-reasoning - train/layers/l30_cos__MAX"
"0","0.32677043974399567","0.32677043974399567","0.32677043974399567"
"1","0.354908250272274","0.354908250272274","0.354908250272274"
"2","0.3684975355863571","0.3684975355863571","0.3684975355863571"
"3","0.3337709680199623","0.3337709680199623","0.3337709680199623"
"4","0.3539162129163742","0.3539162129163742","0.3539162129163742"
"5","0.3548644185066223","0.3548644185066223","0.3548644185066223"
"6","0.324949286878109","0.324949286878109","0.324949286878109"
"7","0.3554568216204643","0.3554568216204643","0.3554568216204643"
"8","0.3574586510658264","0.3574586510658264","0.3574586510658264"
"9","0.3451441451907158","0.3451441451907158","0.3451441451907158"
"10","0.31024111062288284","0.31024111062288284","0.31024111062288284"
"11","0.3277048021554947","0.3277048021554947","0.3277048021554947"
"12","0.31011704355478287","0.31011704355478287","0.31011704355478287"
"13","0.31826890259981155","0.31826890259981155","0.31826890259981155"
"14","0.32129983603954315","0.32129983603954315","0.32129983603954315"
"15","0.31835485249757767","0.31835485249757767","0.31835485249757767"
"16","0.3211979642510414","0.3211979642510414","0.3211979642510414"
"17","0.3251737207174301","0.3251737207174301","0.3251737207174301"
"18","0.3336559310555458","0.3336559310555458","0.3336559310555458"
"19","0.29773692786693573","0.29773692786693573","0.29773692786693573"
"20","0.3348833993077278","0.3348833993077278","0.3348833993077278"
"21","0.31577782332897186","0.31577782332897186","0.31577782332897186"
"22","0.2937183082103729","0.2937183082103729","0.2937183082103729"
"23","0.2913936674594879","0.2913936674594879","0.2913936674594879"
"24","0.33314454555511475","0.33314454555511475","0.33314454555511475"
"26","0.30407529324293137","0.30407529324293137","0.30407529324293137"
"27","0.3134726583957672","0.3134726583957672","0.3134726583957672"
"28","0.30845995992422104","0.30845995992422104","0.30845995992422104"
"29","0.32214778661727905","0.32214778661727905","0.32214778661727905"
"30","0.3275119215250015","0.3275119215250015","0.3275119215250015"
"31","0.3166054040193558","0.3166054040193558","0.3166054040193558"
"32","0.31081222742795944","0.31081222742795944","0.31081222742795944"
"33","0.30514901876449585","0.30514901876449585","0.30514901876449585"
"34","0.3130132555961609","0.3130132555961609","0.3130132555961609"
"35","0.3078816160559654","0.3078816160559654","0.3078816160559654"
"36","0.2951815500855446","0.2951815500855446","0.2951815500855446"
"37","0.30417992174625397","0.30417992174625397","0.30417992174625397"
"38","0.30802246183156967","0.30802246183156967","0.30802246183156967"
"39","0.2963941842317581","0.2963941842317581","0.2963941842317581"
"40","0.3032800704240799","0.3032800704240799","0.3032800704240799"
"41","0.3027476966381073","0.3027476966381073","0.3027476966381073"
"42","0.27688246220350266","0.27688246220350266","0.27688246220350266"
