"Step","phase1-reasoning - val/layers/l40_mse","phase1-reasoning - val/layers/l40_mse__MIN","phase1-reasoning - val/layers/l40_mse__MAX"
"25","4.317663993835449","4.317663993835449","4.317663993835449"
"51","4.151930756568909","4.151930756568909","4.151930756568909"
"77","3.9131161522865296","3.9131161522865296","3.9131161522865296"
"103","3.8029008173942564","3.8029008173942564","3.8029008173942564"
"129","3.832922704219818","3.832922704219818","3.832922704219818"
"155","3.693837833404541","3.693837833404541","3.693837833404541"
"181","3.665726945400238","3.665726945400238","3.665726945400238"
"207","3.57941205739975","3.57941205739975","3.57941205739975"
"233","3.5668956208229066","3.5668956208229066","3.5668956208229066"
